#,Name,NameShort,ExpReward,CeruleumTankReq,SurveyDurationmin,SurveyDistance,X,Y,RankReq,Unknown0,Unknown1,SurveillanceReq,Unknown2,Passengers
0,Mer de nuages - secteur 1,Nuages 1,10610,1,180,13,371,831,1,0,0,0,0,False
1,Mer de nuages - secteur 2,Nuages 2,10610,1,180,13,615,800,1,0,0,0,0,False
2,Mer de nuages - secteur 3,Nuages 3,27840,1,180,13,156,800,4,0,0,0,0,False
3,Mer de nuages - secteur 4,Nuages 4,46660,1,180,13,787,834,7,0,0,0,0,False
4,Mer de nuages - secteur 5,Nuages 5,75920,2,360,13,492,720,10,0,0,0,0,False
5,Mer de nuages - secteur 6,Nuages 6,102600,2,360,13,334,653,14,0,0,0,0,False
6,Mer de nuages - secteur 7,Nuages 7,118350,2,360,13,587,645,17,0,0,0,0,False
7,Mer de nuages - secteur 8,Nuages 8,146210,3,540,13,516,544,20,0,0,0,0,False
8,Mer de nuages - secteur 9,Nuages 9,174980,3,540,13,380,493,24,0,0,0,0,False
9,Mer de nuages - secteur 10,Nuages 10,200430,3,540,13,721,629,27,0,0,0,0,False
10,Mer de nuages - secteur 11,Nuages 11,231750,4,720,13,185,567,30,0,0,0,0,False
11,Mer de nuages - secteur 12,Nuages 12,263530,4,720,13,906,642,34,0,0,0,0,False
12,Mer de nuages - secteur 13,Nuages 13,292170,4,720,13,202,434,37,0,0,0,0,False
13,Mer de nuages - secteur 14,Nuages 14,338330,5,900,13,77,689,40,0,0,0,0,False
14,Mer de nuages - secteur 15,Nuages 15,374020,5,900,13,103,348,44,0,0,0,0,False
15,Mer de nuages - secteur 16,Nuages 16,406590,5,900,13,886,445,47,0,0,0,0,False
16,Mer de nuages - secteur 17,Nuages 17,0,6,1440,13,721,335,50,0,0,90,0,False
17,Mer de nuages - secteur 18,Nuages 18,0,6,1440,13,540,371,50,0,0,90,0,False
18,Mer de nuages - secteur 19,Nuages 19,0,6,1440,13,248,234,50,0,0,90,0,False
19,Mer de nuages - secteur 20,Nuages 20,0,6,1440,13,421,141,50,0,0,90,0,False
20,Mer de nuages - secteur 21,Nuages 21,0,6,1440,13,556,208,50,0,0,90,0,False
21,Mer de nuages - secteur 22,Nuages 22,0,6,1440,13,663,105,50,0,0,90,0,False
22,Le Diadème (brutal),Diadème (brutal),0,1,20,1,0,0,50,0,0,90,0,True
23,Mer de nuages - secteur 23,Nuages 23,0,6,1440,13,130,120,50,0,0,90,0,False
24,Mer de nuages - secteur 24,Nuages 24,0,6,1440,13,390,380,50,0,0,90,0,False
25,,,0,0,0,0,0,0,0,0,0,0,0,False
127,,,0,0,0,0,483,927,0,0,0,0,0,False
128,,,0,0,0,0,0,0,0,0,0,0,0,False
