#,Singular,Plural,NameRank,Unknown0,Adjective,PossessivePronoun,StartsWithVowel,Unknown1,Pronoun,Article
0,,,,,0,0,0,0,0,0
1,soldat 3e classe,soldats 3e classe,soldat,soldat 3e classe du serpent,0,0,0,0,0,0
2,soldat 2e classe,soldats 2e classe,soldat,soldat 2e classe du serpent,0,0,0,0,0,0
3,soldat 1re classe,soldats 1re classe,soldat,soldat 1re classe du serpent,0,0,0,0,0,0
4,caporal,caporaux,caporal,caporal du serpent,0,0,0,0,0,0
5,adjudant,adjudants,adjudant,adjudant du serpent,0,0,1,0,0,0
6,sergent,sergents,sergent,sergent du serpent,0,0,0,0,0,0
7,sergent-major,sergents-majors,sergent-major,sergent-major du serpent,0,0,0,0,0,0
8,major,majors,major,major du serpent,0,0,0,0,0,0
9,sous-lieutenant,sous-lieutenants,sous-lieutenant,sous-lieutenant du serpent,0,0,0,0,0,0
10,lieutenant,lieutenants,lieutenant,lieutenant du serpent,0,0,0,0,0,0
11,capitaine,capitaines,capitaine,capitaine du serpent,0,0,0,0,0,0
12,sous-commandant,sous-commandants,sous-commandant,sous-commandant du serpent,0,0,0,0,0,0
13,commandant,commandants,commandant,commandant du serpent,0,0,0,0,0,0
14,colonel,colonels,colonel,colonel du serpent,0,0,0,0,0,0
15,sous-maréchal,sous-maréchaux,sous-maréchal,sous-maréchal du serpent,0,0,0,0,0,0
16,vice-maréchal,vice-maréchaux,vice-maréchal,vice-maréchal du serpent,0,0,0,0,0,0
17,maréchal,maréchaux,maréchal,maréchal du serpent,0,0,0,0,0,0
18,grand maréchal,grand maréchaux,grand maréchal,grand maréchal du serpent,0,0,0,0,0,0
19,général,généraux,général,général du serpent,0,0,0,0,0,0
