#,Singular,Plural,Title,Adjective,PossessivePronoun,StartsWithVowel,Unknown0,Pronoun,Article,Map,Unknown1
1000000,,,,0,0,0,1,0,0,3,False
1000001,,,,0,0,0,0,0,0,0,False
1000002,,,,0,0,0,0,0,0,0,False
1000003,,,,0,0,0,0,0,0,0,False
1000004,,,,0,0,0,0,0,0,0,False
1000005,,,,0,0,0,0,0,0,0,False
1000006,,,,0,0,0,0,0,0,0,False
1000007,,,,0,0,0,0,0,0,0,False
1000008,,,,0,0,0,0,0,0,0,False
1000009,,,,0,0,0,0,0,0,0,False
1000010,,,,0,0,0,0,0,0,0,False
1000011,,,,0,0,0,0,0,0,0,False
1000012,,,,0,0,0,0,0,0,0,False
1000013,,,,0,0,0,0,0,0,0,False
1000014,,,,0,0,0,0,0,0,0,False
1000015,,,,0,0,0,0,0,0,0,False
1000016,,,,0,0,0,0,0,0,0,False
1000017,,,,0,0,0,0,0,0,0,False
1000018,,,,0,0,0,0,0,0,0,False
1000019,,,,0,0,0,0,0,0,0,False
1000020,,,,0,0,0,0,0,0,0,False
1000021,,,,0,0,0,0,0,0,0,False
1000022,,,,0,0,0,0,0,0,0,False
1000023,,,,0,0,0,0,0,0,0,False
1000024,,,,0,0,0,0,0,0,0,False
1000025,,,,0,0,0,0,0,0,0,False
1000026,,,,0,0,0,0,0,0,0,False
1000027,,,,0,0,0,0,0,0,0,False
1000028,,,,0,0,0,0,0,0,0,False
1000029,,,,0,0,0,0,0,0,0,False
1000030,,,,0,0,0,0,0,0,0,False
1000031,,,,0,0,0,0,0,0,0,False
1000032,,,,0,0,0,0,0,0,0,False
1000033,,,,0,0,0,0,0,0,0,False
1000034,,,,0,0,0,0,0,0,0,False
1000035,,,,0,0,0,0,0,0,0,False
1000036,,,,0,0,0,0,0,0,0,False
1000037,,,,0,0,0,0,0,0,0,False
1000038,,,,0,0,0,0,0,0,0,False
1000039,,,,0,0,0,0,0,0,0,False
1000040,,,,0,0,0,0,0,0,0,False
1000041,,,,0,0,0,0,0,0,0,False
1000042,,,,0,0,0,0,0,0,0,False
1000043,,,,0,0,0,0,0,0,0,False
1000044,,,,0,0,0,0,0,0,0,False
1000045,,,,0,0,0,0,0,0,0,False
1000046,,,,0,0,0,0,0,0,0,False
1000047,,,,0,0,0,0,0,0,0,False
1000048,,,,0,0,0,0,0,0,0,False
1000049,,,,0,0,0,0,0,0,0,False
1000050,,,,0,0,0,0,0,0,0,False
1000051,,,,0,0,0,0,0,0,0,False
1000052,,,,0,0,0,0,0,0,0,False
1000053,,,,0,0,0,0,0,0,0,False
1000054,,,,0,0,0,0,0,0,0,False
1000055,,,,0,0,0,0,0,0,0,False
1000056,,,,0,0,0,0,0,0,0,False
1000057,,,,0,0,0,0,0,0,0,False
1000058,,,,0,0,0,0,0,0,0,False
1000059,,,,0,0,0,0,0,0,0,False
1000060,,,,0,0,0,0,0,0,0,False
1000061,,,,0,0,0,0,0,0,0,False
1000062,,,,0,0,0,0,0,0,0,False
1000063,Mog postier,Mogs postiers,,0,0,0,0,0,0,3,True
1000064,,,,0,0,0,0,0,0,0,False
1000065,,,,0,0,0,0,0,0,0,False
1000066,,,,0,0,0,0,0,0,0,False
1000067,,,,0,0,0,0,0,0,0,False
1000068,,,,0,0,0,0,0,0,0,False
1000069,,,,0,0,0,0,0,0,0,False
1000070,,,,0,0,0,0,0,0,0,False
1000071,,,,0,0,0,0,0,0,0,False
1000072,,,,0,0,0,0,0,0,0,False
1000073,,,,0,0,0,0,0,0,0,False
1000074,,,,0,0,0,0,0,0,0,False
1000075,,,,0,0,0,0,0,0,0,False
1000076,,,,0,0,0,0,0,0,0,False
1000077,,,,0,0,0,0,0,0,0,False
1000078,,,,0,0,0,0,0,0,0,False
1000079,,,,0,0,0,0,0,0,0,False
1000080,,,,0,0,0,1,0,0,3,False
1000081,,,,0,0,0,1,0,0,3,False
1000082,,,,0,0,0,1,0,0,3,False
1000083,,,,0,0,0,1,0,0,3,False
1000084,,,,0,0,0,1,0,0,3,False
1000085,,,,0,0,0,1,0,0,3,False
1000086,,,,0,0,0,1,0,0,3,False
1000087,,,,0,0,0,1,0,0,3,False
1000088,,,,0,0,0,1,0,0,3,False
1000089,,,,0,0,0,1,0,0,3,False
1000090,,,,0,0,0,1,0,0,3,False
1000091,,,,0,0,0,1,0,0,3,False
1000092,,,,0,0,0,1,0,0,3,False
1000093,,,,0,0,0,1,0,0,3,False
1000094,,,,0,0,0,1,0,0,3,False
1000095,,,,0,0,0,1,0,0,3,False
1000096,,,,0,0,0,1,0,0,3,False
1000097,,,,0,0,0,1,0,0,3,False
1000098,,,,0,0,0,1,0,0,3,False
1000099,,,,0,0,0,1,0,0,3,False
1000100,Miounne,Miounne,Tavernière,0,0,0,0,1,1,3,True
1000101,Gontrant,Gontrant,Mandant,0,0,0,0,0,1,3,True
1000102,Antoinaut,Antoinaut,Aubergiste,0,0,1,0,0,1,3,True
1000103,,,,0,0,0,0,0,0,0,False
1000104,Gyles,Gyles,,0,0,0,0,0,1,5,False
1000105,Tierney,Tierney,Mandante,0,0,0,0,1,1,3,True
1000106,Lionnellais,Lionnellais,Billets d'aéronef,0,0,0,0,0,1,3,True
1000107,Hida,Hida,,0,0,0,0,1,1,3,False
1000108,,,,0,0,0,1,0,0,5,False
1000109,agent d'accueil,agents d'accueil,,0,0,1,0,1,0,3,True
1000110,,,,0,0,0,1,0,0,5,False
1000111,,,,0,0,0,1,0,0,5,False
1000112,,,,0,0,0,1,0,0,5,False
1000113,,,SHOP,0,0,0,1,0,0,5,False
1000114,,,,0,0,0,1,0,0,5,False
1000115,,,,0,0,0,1,0,0,5,False
1000116,,,,0,0,0,1,0,0,5,False
1000117,,,,0,0,0,1,0,0,5,False
1000118,,,,0,0,0,1,0,0,5,False
1000119,,,,0,0,0,1,0,0,5,False
1000120,,,,0,0,0,1,0,0,5,False
1000121,,,,0,0,0,1,0,0,5,False
1000122,Honoraint,Honoraint,,0,0,1,0,0,1,3,False
1000123,Bertennant,Bertennant,Vigile sombre,0,0,0,0,0,1,3,False
1000124,,,,0,0,0,1,0,0,5,False
1000125,Gairhard,Gairhard,,0,0,0,0,0,1,3,False
1000126,,,,0,0,0,1,0,0,5,False
1000127,Ulta,Ulta,Vigile sombre,0,0,1,0,0,1,3,False
1000128,,,,0,0,0,0,0,0,0,False
1000129,Solyeux,Solyeux,,0,0,0,0,0,1,3,False
1000130,,,,0,0,0,1,0,0,5,False
1000131,,,,0,0,0,1,0,0,5,False
1000132,,,,0,0,0,1,0,0,5,False
1000133,,,,0,0,0,1,0,0,5,False
1000134,Estrelaint,Estrelaint,,0,0,1,0,0,1,3,False
1000135,,,,0,0,0,1,0,0,5,False
1000136,Cingur,Cingur,Palefrenier,0,0,0,0,0,1,3,True
1000137,,,,0,0,0,1,0,0,5,False
1000138,,,,0,0,0,1,0,0,5,False
1000139,Adalhard,Adalhard,,0,0,1,0,0,1,3,False
1000140,Pfarahr,Pfarahr,,0,0,0,0,0,1,3,False
1000141,Memama,Memama,,0,0,0,0,1,1,3,False
1000142,,,,0,0,0,1,0,0,5,False
1000143,,,,0,0,0,1,0,0,5,False
1000144,,,,0,0,0,1,0,0,5,False
1000145,,,,0,0,0,1,0,0,5,False
1000146,Bernadette,Bernadette,,0,0,0,0,1,1,3,False
1000147,,,,0,0,0,1,0,0,5,False
1000148,Corgg,Corgg,Réception de la guilde,0,0,0,0,0,1,3,False
1000149,Mera Pamera,Mera Pamera,,0,0,0,0,0,1,3,False
1000150,,,,0,0,0,1,0,0,5,False
1000151,,,,0,0,0,1,0,0,5,False
1000152,,,,0,0,0,1,0,0,5,False
1000153,Beatin,Beatin,Maître de guilde,0,0,0,0,0,1,3,True
1000154,Hartford,Hartford,,0,0,0,0,0,1,3,False
1000155,,,,0,0,0,1,0,0,5,False
1000156,Aedan,Aedan,Vigile sombre,0,0,1,0,0,1,3,False
1000157,,,,0,0,0,1,0,0,5,False
1000158,,,,0,0,0,1,0,0,5,False
1000159,Nicia,Nicia,Vigile sombre,0,0,0,0,1,1,3,True
1000160,,,,0,0,0,1,0,0,5,False
1000161,Aunillie,Aunillie,,0,0,1,0,1,1,3,False
1000162,Nicoliaux,Nicoliaux,,0,0,0,0,0,1,3,False
1000163,,,,0,0,0,1,0,0,5,False
1000164,,,,0,0,0,1,0,0,5,False
1000165,officier de la logistique,officiers de la logistique,Compagnies libres,0,0,1,0,1,0,3,True
1000166,,,,0,0,0,1,0,0,3,False
1000167,,,,0,0,0,1,0,0,3,False
1000168,Vorsaile Heuloix,Vorsaile Heuloix,Colonel du serpent,0,0,0,0,0,1,3,True
1000169,,,,0,0,0,1,0,0,5,False
1000170,Camillain,Camillain,,0,0,0,0,0,1,3,False
1000171,Franchemontiaux,Franchemontiaux,Vigile sombre,0,0,0,0,0,1,3,True
1000172,Paulemont,Paulemont,Vigile sombre,0,0,0,0,0,1,3,False
1000173,Grimbald,Grimbald,,0,0,0,0,0,1,3,False
1000174,,,,0,0,0,1,0,0,5,False
1000175,,,,0,0,0,1,0,0,5,False
1000176,,,,0,0,0,1,0,0,5,False
1000177,,,,0,0,0,1,0,0,5,False
1000178,,,,0,0,0,1,0,0,5,False
1000179,Pimoh Nelhah,Pimoh Nelhah,Vigile sombre,0,0,0,0,1,1,3,False
1000180,Kinnison,Kinnison,Vigile sombre,0,0,0,0,0,1,3,False
1000181,Heral,Heral,,0,0,0,0,0,1,3,False
1000182,,,,0,0,0,1,0,0,5,False
1000183,,,,0,0,0,1,0,0,5,False
1000184,Oswold,Oswold,,0,0,1,0,0,1,3,True
1000185,Tanie,Tanie,Fleuriste,0,0,0,0,1,1,3,True
1000186,,,,0,0,0,1,0,0,5,False
1000187,,,,0,0,0,1,0,0,5,False
1000188,,,,0,0,0,1,0,0,5,False
1000189,,,,0,0,0,1,0,0,5,False
1000190,,,,0,0,0,1,0,0,5,False
1000191,,,,0,0,0,1,0,0,5,False
1000192,,,,0,0,0,1,0,0,5,False
1000193,Gavin,Gavin,Sous-lieutenant du serpent,0,0,0,0,0,1,3,False
1000194,Idele,Idele,,0,0,1,0,1,1,3,False
