#,Name,Description,Icon,FCRank
0,,,0,0
1,Coffre,Permet d'utiliser le coffre de la compagnie.,64301,1
2,Blason,Permet de modifier l'apparence du blason de la compagnie.,64302,2
3,Ornementation,Permet d'ajouter le blason de la compagnie sur des pièces d'équipement.,64303,4
4,Bienfaits,Permet d'utiliser les bienfaits de la compagnie.,64304,5
5,Expansion,Permet d'obtenir deux compartiments de stockage sup­plé­men­tai­res.,64305,3
6,Ajout de blasons,Permet d'augmenter le nombre de blasons de la compagnie.,64306,7
7,Ajout de bienfaits,Permet d'augmenter le nombre de bienfaits actifs et inactifs de la compagnie.,64307,8
8,Possession de terrain,Permet d'acheter un terrain dans les quartiers résidentiels.,64308,6
9,Expansion,Permet d'obtenir un compartiment de stockage sup­plé­men­tai­re.,64305,9
10,Ajout de bienfaits inactifs,Permet d'augmenter le nombre de bienfaits inactifs de la compagnie.,64307,10
11,Expansion,Permet d'obtenir un compartiment de stockage sup­plé­men­tai­re.,64305,11
12,Ajout de bienfaits inactifs,Permet d'augmenter le nombre de bienfaits inactifs de la compagnie.,64307,12
13,Ajout de bienfaits inactifs,Permet d'augmenter le nombre de bienfaits inactifs de la compagnie.,64307,13
