#,Unknown0,Unknown1,Unknown2
0,無効,無効,False
100,Aventures :,Partez en voyage comme le cœur vous en dit.,True
101,,Vous devriez aller visiter un endroit pour la première fois.,True
102,,Ouvrez votre carnet d'exploration et revisitez un lieu de vos souvenirs.,True
103,,Vos voyages se dérouleront sous un ciel clément.,True
104,,Visiter une cité fréquentée vous sera bénéfique.,True
105,,Une heureuse rencontre vous attend dans un lointain salon de thé.,True
106,,Vous gagnerez à fréquenter une personne de forte carrure.,True
200,Relations :,Soyez là pour ceux qui croient en vous et vous encouragent.,True
201,,Il sera bon de renouer avec des liaisons du passé.,True
202,,N'oubliez pas de remercier vos compagnons de voyage pour leur aide.,True
203,,Une personne guidée par les étoiles se trouve près de vous.,True
204,,Accorder vos pas à ceux de vos camarades vous sera bénéfique.,True
205,,Vous serez toujours en bonne compagnie. Avancez sans crainte vers l'inconnu.,True
206,,De bonnes relations avec les peuples alliés vous assureront la richesse.,True
300,Fortune :,Oubliez toute cupidité pour remporter quantité de trophées.,True
301,,La fortune vous tend les bras au Gold Saucer.,True
302,,Ouvrez une carte au trésor pour découvrir des merveilles.,True
303,,Ouvrez des coffres au trésor au gré de vos envies.,True
304,,Soyez honnête en affaires pour remporter un franc succès.,True
305,,La fidélité en amitié est toujours récompensée.,True
306,,Remerciez votre servant quand vous obtiendrez un bien précieux.,True
400,Combats :,N'ayez pas peur de défier de puissants ennemis pour progresser.,True
401,,Travaillez in­las­sa­ble­ment vos techniques pour trouver la vérité.,True
402,,Observez at­ten­ti­ve­ment vos alliés pour accomplir des progrès.,True
403,,Apprendre une nouvelle discipline vous permettra de grandir.,True
404,,Travaillez in­las­sa­ble­ment vos techniques pour trouver la vérité.,True
405,,,False
406,,,False
500,Destinée :,Combattez telle Halone pour remporter la victoire.,True
501,,Aimez telle Menphina pour conquérir les cœurs.,True
502,,Embrasez-vous telle Azeyma pour trouver la voie.,True
503,,Persévérez telle Llymlaen et les vents vous seront favorables.,True
504,,Soyez curieuse tel Oschon et vos voyages seront passionnants.,True
1100,Aventures :,Voyagez seule pour trouver le calme et la sérénité.,True
1101,,Revivez une épopée passée pour faire de nouvelles découvertes.,True
1102,,Prenez part à une célébration éphémère au tournant des saisons.,True
1103,,Soyez à l'écoute des habitants pour entendre de nouvelles histoires.,True
1104,,Explorez un endroit inconnu pour faire une découverte inattendue.,True
1105,,Prêtez attention aux noms des gens et vous ferez une belle rencontre.,True
1106,,Une trépidante aventure vous attend dans un lieu baigné de lumière.,True
1200,Relations :,Préparez-vous à faire une rencontre surprenante.,True
