#,Stats,Description,Icon,RequiredForQuest,PreviousQuest,Location,Number,LocationKey,TargetsEnemy,TargetsSelfOrAlly,CauseSlow,CausePetrify,CauseParalysis,CauseInterrupt,CauseBlind,CauseStun,CauseSleep,CauseBind,CauseHeavy,CauseDeath
0,,,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False
1,"**Type : **Magique
**Élément : **Vent
**Rang : **★★★★
","Technique secrète de maître Typhon.
Cette puissante expulsion nasale permet de déchaîner des vents violents sur les ennemis devant soi. Ces derniers subissent bien sûr de multiples blessures, mais l'expérience les marque aussi psy­cho­lo­gi­quement.",72201,0,0,81,25,4,True,False,False,False,False,False,False,False,False,False,False,False
2,"**Type : **Physique / Contondant
**Élément : **Aucun
**Rang : **★★★★
","Technique spéciale d'Orthros.
Ce sort permet de faire apparaître un poids venu de nulle part au-dessus de ses ennemis, puis la gravité fait le reste. Son nom parle de quatre tonz, mais personne ne l'a pesé pour en avoir le cœur net.",72202,0,0,81,26,4,True,False,False,False,False,False,False,False,False,False,True,False
3,"**Type : **Magique
**Élément : **Eau
**Rang : **★
","Sort appris sur un Kraken.
Ce sort inflige des dégâts en projetant un jet d'eau sous haute pression sur sa cible. Le lanceur capte l'énergie éthérée en suspension, ce qui lui permet d'utiliser cette technique même dans les environnements dépourvus d'eau liquide.",72203,0,0,0,1,3,True,False,False,False,False,False,False,False,False,False,False,False
4,"**Type : **Magique
**Élément : **Aucun
**Rang : **★★
","Sort fétiche de la sirène.
Cette incantation revient à entonner un chant nocif qui détériore la santé mentale de son adversaire. L'impact psychique est si néfaste que le corps est affecté et subit des lésions.",72204,0,0,17,9,4,True,False,False,False,False,False,False,False,False,False,False,False
5,"**Type : **Magique
**Élément : **Foudre
**Rang : **★★★★
","Technique de magie mécanique de l'empire d'Allag.
Ce sort est le fruit des recherches conduites par les Allagois afin de permettre à leurs automates d'utiliser la magie. Il puise dans l'éther de foudre environnant pour libérer un courant de forte intensité autour de soi.",72205,0,0,93,6,4,True,False,False,False,True,False,False,False,False,False,False,False
6,"**Type : **Magique
**Élément : **Aucun
**Rang : **★★★
","Sort prin­ci­pa­le­ment utilisé par les morbols.
La plus pestilentielle de toutes les incantations de magie bleue, selon les praticiens. Ces effluves buccaux malodorants sont obtenus en manipulant éther de vent et de terre afin de se rapprocher de l'énergie ombrale.",72206,0,0,54,28,1,True,False,True,False,True,True,True,False,False,False,True,False
7,"**Type : **Physique / Contondant
**Élément : **Aucun
**Rang : **★★★
","Sort utilisé par les zus.
Le lanceur s'envoûte lui-même afin d'attiser grandement sa colère et de refouler son sentiment de peur. La combinaison de ces effets permet de dépasser les limites physiques imposées par l'esprit.",72207,0,0,17,4,4,True,False,False,False,False,False,False,False,False,False,False,False
8,"**Type : **Magique
**Élément : **Eau
**Rang : **★★★★
","Le sort aqueux de magie bleue par excellence.
Aquasouffle crée un torrent de bulles à partir de l'éther d'eau environnant. Elles enveloppent la cible, la blessent, et comme si ça ne suffisait pas, inoculent un poison pour finir le travail.",72208,0,0,81,3,4,True,False,False,False,False,False,False,False,False,False,False,False
9,"**Type : **Magique
**Élément : **Terre
**Rang : **★★
","Sort utilisé par les créatures liées à la terre.
L'éther de terre peut être manipulé afin de créer un séisme localisé. Les mages bleus les plus talentueux peuvent rivaliser avec Mère Nature et déclencher de véritables cataclysmes.",72209,0,0,18,11,4,True,False,False,False,False,False,False,False,False,False,False,False
10,"**Type : **Magique
**Élément : **Aucun
**Rang : **★
","Sort utilisé par les tréants et autres végétaux.
Propulse sur l'ennemi un amas d'énergie magique en forme de gland qui explose au contact et se fragmente en un nuage somnifère. Cette méthode de protection découlerait de la course à l'armement entre insectes nuisibles et plantes.",72210,0,0,57,18,1,True,False,False,False,False,False,False,False,True,False,False,False
11,"**Type : **Magique
**Élément : **Aucun
**Rang : **★★
","Instinct combatif propre aux bêtes sauvages.
Permet d'accroître sa puissance magique en laissant exploser sa colère. Cette capacité n'étant pas propre aux animaux, les mages bleus peuvent l'apprendre et y faire appel pour amplifier leurs propres sorts.",72211,0,0,55,12,1,False,True,False,False,False,False,False,False,False,False,False,False
