#,Content,UnlockQuest0,UnlockQuest1,UnlockQuest2,Unknown6,Map,ContentLinkType,Unknown2
0,0,0,0,0,0,0,0,False
1,9,66300,0,0,0,0,1,False
2,12,66457,0,0,0,0,1,False
3,13,66515,0,0,0,0,1,False
4,25,67061,0,0,0,0,1,False
5,28,65630,0,0,0,0,1,False
6,26,65632,0,0,0,0,1,False
7,30,65967,0,0,0,0,1,False
8,38,67205,0,0,0,0,1,False
9,56,68089,0,0,0,0,1,False
10,59,68551,0,0,0,0,1,False
11,67,69190,0,0,0,0,1,False
12,84,70000,0,0,0,0,1,False
13,30001,66738,0,0,0,0,1,False
14,30011,67010,0,0,0,0,1,False
15,30020,66030,0,0,0,0,1,False
16,30058,68540,0,0,0,0,1,False
17,30068,68628,0,0,0,0,1,False
18,30077,68725,0,0,0,0,1,False
19,30049,68465,0,0,0,0,1,False
20,30050,68466,0,0,0,0,1,False
21,30051,68467,0,0,0,0,1,False
22,30052,68468,0,0,0,0,1,False
23,30059,68568,0,0,0,0,1,False
24,30060,68569,0,0,0,0,1,False
25,30061,68570,0,0,0,0,1,False
26,30062,68571,0,0,0,0,1,False
27,30069,68690,0,0,0,0,1,False
28,30070,68691,0,0,0,0,1,False
29,30071,68692,0,0,0,0,1,False
30,30072,68692,0,0,0,0,1,False
31,30078,68792,0,0,0,0,1,False
32,30082,68793,0,0,0,0,1,False
33,30080,68794,0,0,0,0,1,False
34,30084,68795,0,0,0,0,1,False
35,30088,69324,0,0,0,0,1,False
36,30090,69325,0,0,0,0,1,False
37,30092,69326,0,0,0,0,1,False
38,30094,69327,0,0,0,0,1,False
39,30097,69512,0,0,0,0,1,False
40,30099,69513,0,0,0,0,1,False
41,30101,69514,0,0,0,0,1,False
42,30103,69514,0,0,0,0,1,False
43,20037,67766,0,0,0,0,1,False
44,20041,67868,0,0,0,0,1,False
45,20043,67930,0,0,0,0,1,False
46,20051,68551,0,0,0,0,1,False
47,20057,68688,0,0,0,0,1,False
48,20060,68701,0,0,0,0,1,False
49,15,66672,0,0,0,0,1,False
50,86,66060,0,0,0,0,1,False
51,20082,66060,0,0,0,0,1,False
52,41001,67063,67064,67065,0,0,1,True
53,41004,67063,67064,67065,0,0,1,True
54,41005,67063,67064,67065,0,0,1,True
55,41006,67063,67064,67065,0,0,1,True
56,42002,68543,0,0,0,0,1,False
57,1,65970,0,0,0,5673555,2,False
58,4,65970,0,0,0,5673555,2,False
59,5,65970,0,0,0,5673555,2,False
60,6,65970,0,0,0,5673555,2,False
61,7,65970,0,0,0,5673555,2,False
62,8,65970,0,0,0,5673555,2,False
63,0,69379,0,0,0,0,0,False
64,60010,67923,0,0,0,6286408,1,False
65,813,0,0,0,0,1496,3,False
66,815,0,0,0,0,1511,3,False
67,816,0,0,0,0,1488,3,False
68,814,0,0,0,0,1462,3,False
69,817,0,0,0,0,1451,3,False
70,818,0,0,0,0,1426,3,False
71,956,0,0,0,0,1743,3,False
72,957,0,0,0,0,1763,3,False
73,958,0,0,0,0,1783,3,False
74,959,0,0,0,0,1803,3,False
75,961,0,0,0,0,1823,3,False
76,960,0,0,0,0,1843,3,False
77,4,67099,67100,67101,99,0,4,True
78,5,0,0,0,0,5892509,4,False
79,9,0,0,0,0,6928982,4,False
80,3,66747,0,0,0,0,5,False
81,4,66747,0,0,0,0,5,False
82,196,66643,0,0,0,0,6,False
83,236,66643,0,0,0,0,6,False
84,247,66643,0,0,0,0,6,False
85,208,66643,0,0,0,0,6,False
86,1002058,65973,0,0,0,3629823,7,False
87,1011789,65973,0,0,0,5663701,7,False
88,1000590,65973,0,0,0,1146551,7,False
89,1006273,65973,0,0,0,4258385,7,False
90,29,65966,0,0,0,0,1,False
91,33,67648,0,0,0,0,1,False
92,30021,67626,0,0,0,0,1,False
93,30022,67627,0,0,0,0,1,False
94,30023,67628,0,0,0,0,1,False
95,30024,67629,0,0,0,0,1,False
96,30030,67785,0,0,0,0,1,False
97,30031,67786,0,0,0,0,1,False
98,30032,67787,0,0,0,0,1,False
99,30033,67788,0,0,0,0,1,False
100,30039,67871,0,0,0,0,1,False
101,30040,67872,0,0,0,0,1,False
102,30041,67873,0,0,0,0,1,False
103,30042,67874,0,0,0,0,1,False
104,20059,68703,0,0,0,0,1,False
105,20068,69319,0,0,0,0,1,False
106,20073,69516,0,0,0,0,1,False
107,20075,69567,0,0,0,0,1,False
108,1002236,65973,0,0,0,3766212,7,False
109,1006189,65973,0,0,0,4249634,7,False
110,187,66643,0,0,0,0,6,False
111,0,66747,0,0,0,0,5,False
112,3,68614,0,0,0,7171992,8,False
113,27,69477,0,0,0,8368386,8,False
114,60025,68668,0,0,0,7397070,1,False
115,1011055,65973,0,0,0,5581186,7,False
116,223,66643,0,0,0,0,6,False
117,5,66550,0,0,0,0,1,False
118,35,67649,0,0,0,0,1,False
119,41,67738,0,0,0,0,1,False
120,20035,67205,0,0,0,0,1,False
121,20039,67781,0,0,0,0,1,False
122,20045,68089,0,0,0,0,1,False
123,20055,68610,0,0,0,0,1,False
124,20066,69190,0,0,0,0,1,False
125,20071,69314,0,0,0,0,1,False
126,20079,70000,0,0,0,0,1,False
127,20084,70133,0,0,0,0,1,False
128,20086,70213,0,0,0,0,1,False
129,20089,70278,0,0,0,0,1,False
130,20091,70284,0,0,0,0,1,False
131,36001,70182,0,0,0,0,1,False
132,0,67634,0,0,0,0,0,False
133,0,66488,0,0,0,0,0,False
134,1011192,65973,0,0,0,5581899,7,False
135,214,66643,0,0,0,0,6,False
136,10,66406,0,0,0,0,1,False
137,14,66671,0,0,0,0,1,False
138,40,67737,0,0,0,0,1,False
139,42,67818,0,0,0,0,1,False
140,62,68678,0,0,0,0,1,False
141,82,69973,0,0,0,0,1,False
142,81,69985,0,0,0,0,1,False
143,30087,69254,0,0,0,0,1,False
144,30096,69489,0,0,0,0,1,False
145,30105,69571,0,0,0,0,1,False
146,30111,70012,0,0,0,0,1,False
147,30113,70013,0,0,0,0,1,False
148,30109,70014,0,0,0,0,1,False
149,30107,70015,0,0,0,0,1,False
150,30116,70172,0,0,0,0,1,False
151,30120,70173,0,0,0,0,1,False
152,30118,70174,0,0,0,0,1,False
153,30122,70175,0,0,0,0,1,False
154,30126,70292,0,0,0,0,1,False
155,30128,70293,0,0,0,0,1,False
156,30130,70294,0,0,0,0,1,False
157,30132,70295,0,0,0,0,1,False
158,17,66744,0,0,0,0,1,False
159,18,66752,0,0,0,0,1,False
160,45,67784,0,0,0,0,1,False
161,47,67922,0,0,0,0,1,False
162,30029,67741,0,0,0,0,1,False
163,30038,67821,0,0,0,0,1,False
164,30047,67909,0,0,0,0,1,False
165,36002,70269,0,0,0,0,1,False
166,1000856,65973,0,0,0,1673577,7,False
167,201,66643,0,0,0,0,6,False
168,19,66751,0,0,0,0,1,False
169,22,66925,0,0,0,0,1,False
