#,Unknown0,Unknown1,Unknown2,Unknown3
0,,0,0,0
1,L'équipe JcJ “” a été formée.,0,1,0
2,Vous avez rejoint l'équipe JcJ.,2,0,0
3,Vous avez quitté l'équipe JcJ.,2,0,0
4,Vous avez quitté l'équipe JcJ.,2,0,0
5,,2,0,0
6,,2,0,0
7,L'équipe JcJ a été renommée “”.,0,1,0
8,Le blason de l'équipe JcJ a été modifié.,0,0,0
9,L'équipe JcJ a été promue à l'échelon “”.,0,3,0
10,L'équipe JcJ a été rétrogradée à l'échelon “”.,0,3,0
11,Une nouvelle saison a débuté.,0,0,0
12,"Du fait d'une absence prolongée du chef d'**équipe JcJ**, vous avez été promue à ce rang.",2,0,0
13,Vous avez été promue au rang de sous-chef.,2,0,0
14,Vous avez été promue au rang de chef.,2,0,0
