#,Name,Icon,JournalCategory,Unknown0
0,,0,0,False
1,Chroniques de la 7e ère ombrale,61412,1,True
2,Chroniques de la 7e ère astrale,61412,2,True
3,Chroniques ishgardaises,61412,3,True
4,Guerre du chant des dragons - Épilogue,61412,4,True
5,Après-guerre du chant des dragons,61412,5,True
6,Récits d'une tempête de sang,61412,6,True
7,Après la tempête de sang,61412,7,True
8,Chroniques des Ténèbres,61412,8,True
9,Le retour des Héritiers,61412,9,True
10,Prélude à l'apocalypse,61412,10,True
11,Chroniques de l'apocalypse,61412,11,True
12,Récits d'une nouvelle aventure,61412,12,True
13,Chroniques de l'aurore,61412,13,True
14,Chroniques de l'aurore - Épilogue,61412,14,True
15,Les machinations des Hivernautes,61412,15,True
16,Primordiaux (A Realm Reborn),61411,16,True
17,Bahamut,61411,17,True
18,Tour de Cristal,61411,18,True
19,Alexander,61411,19,True
20,Primordiaux (Heavensward),61411,20,True
21,Ombre de Mhach,61411,21,True
22,Oméga,61411,22,True
23,Oméga - En quête de réponses,61411,22,True
24,Retour à Ivalice,61411,23,True
25,Quatre animaux sacrés,61411,24,True
26,Éden,61411,25,True
27,YoRHa: Dark Apocalypse,61411,26,True
28,Complainte de Werlyt,61411,27,True
29,Pandæmonium,61411,28,True
30,Pandæmonium - Épilogue,61411,28,True
31,Le Mythe éorzéen,61411,29,True
32,L'Arcadion,61411,30,True
33,Échos de Vana'diel,61411,31,True
34,Histoire principale,61411,32,True
35,Quêtes quotidiennes,61411,32,True
36,Histoire principale,61411,33,True
37,Quêtes quotidiennes,61411,33,True
38,Histoire principale,61411,34,True
39,Quêtes quotidiennes,61411,34,True
40,Histoire principale,61411,36,True
41,Quêtes quotidiennes,61411,36,True
42,Histoire principale,61411,37,True
43,Quêtes quotidiennes,61411,37,True
44,Histoire principale,61411,38,True
45,Quêtes quotidiennes,61411,38,True
46,Histoire principale,61411,39,True
47,Quêtes quotidiennes,61411,39,True
48,Histoire principale,61411,40,True
49,Quêtes quotidiennes,61411,40,True
50,Histoire principale,61411,41,True
51,Quêtes quotidiennes,61411,41,True
52,Histoire principale,61411,42,True
53,Quêtes quotidiennes,61411,42,True
54,Histoire principale,61411,43,True
55,Quêtes quotidiennes,61411,43,True
56,Histoire principale,61411,44,True
57,Quêtes quotidiennes,61411,44,True
58,Histoire principale,61411,45,True
59,Quêtes quotidiennes,61411,45,True
60,Histoire principale,61411,46,True
61,Quêtes quotidiennes,61411,46,True
62,Histoire principale,61411,47,True
63,Quêtes quotidiennes,61411,47,True
64,Histoire principale,61411,48,True
65,Quêtes quotidiennes,61411,48,True
66,Histoire principale,61411,49,True
67,Quêtes quotidiennes,61411,49,True
68,Histoire principale,61411,50,True
69,Quêtes quotidiennes,61411,50,True
70,Histoire principale,61411,51,True
71,Quêtes quotidiennes,61411,51,True
72,Histoire principale,61411,52,True
73,Quêtes quotidiennes,61411,52,True
74,Quêtes des peuples alliés,61411,53,True
75,Quêtes des peuples alliés (Heavensward),61411,53,True
76,Quêtes des peuples alliés (Stormblood),61411,53,True
77,Quêtes des peuples alliés (Endwalker),61411,53,True
78,Guerre du chant des dragons - Réminiscences,61411,54,True
79,Sur le chemin du retour des Héritiers,61411,54,True
80,Sur la route d'une nouvelle aventure,61411,54,True
81,"Hildibrand, gentilhomme détective",61411,55,True
82,"Hildibrand, gentilhomme détective (Heavensward)",61411,55,True
83,"Hildibrand, gentilhomme détective (Stormblood)",61411,55,True
84,"Hildibrand, le retour",61411,55,True
85,Armes des Manderville,61411,55,True
86,"Hildibrand, le retour (Dawntrail)",61411,55,True
87,Armes du zodiaque,61411,56,True
88,Armes anima,61411,56,True
89,La terre interdite d'Eurêka,61411,56,True
90,Garde-la-Reine,61411,56,True
91,Armes fantômes,61411,56,True
92,Mémoires du septième fléau,61411,58,True
93,Quêtes du Mog postier,61411,58,True
94,Scolasticat Saint-Endalim,61411,58,True
95,L'appel du néant,61411,58,True
96,La Tarufacture de Tataru,61411,58,True
97,Clan des aventuriers de Doma,61411,57,True
98,Reconstruction du quartier enclavé,61411,57,True
99,Reconstruction d'Ishgard,61411,57,True
100,Reconstruction d'Ishgard : quêtes annexes,61411,57,True
101,Outils des merveilles,61411,57,True
102,Le Palais des morts,61411,57,True
103,Le Pilier des Cieux,61411,57,True
104,Eurêka Orthos,61411,57,True
105,Le Sanctuaire des pèlerins,61411,57,True
106,Quêtes de la Félicité insulaire,61411,57,True
107,Donjons à embranchements,61411,57,True
108,Exploration cosmique : quêtes principales,61411,57,True
109,Exploration cosmique : quêtes annexes,61411,57,True
110,Île de Lunule,61411,57,True
111,Noscea,61411,59,True
112,Sombrelinceul,61411,60,True
113,Thanalan,61411,61,True
114,Coerthas,61411,62,True
115,Mor Dhona,61411,63,True
116,Ishgard,61411,64,True
117,Abalathia,61411,65,True
118,Avant-pays dravanien,61411,66,True
119,Arrière-pays dravanien,61411,66,True
120,Écume des cieux de Dravania,61411,66,True
121,Idyllée,61411,66,True
122,Azys Lla,61411,67,True
123,L'Étendue de Rhalgr,61411,68,True
124,Les Marges,61411,68,True
125,Les Pics,61411,68,True
126,Les Lacs,61411,68,True
127,Kugane,61411,70,True
128,Mer de Rubis,61411,69,True
129,Yanxia,61411,69,True
130,Steppe d'Azim,61411,69,True
131,Cristarium,61411,71,True
132,Eulmore,61411,72,True
133,Grand-Lac,61411,71,True
134,Kholusia,61411,72,True
135,Amh Araeng,61411,73,True
136,Il Mheg,61411,74,True
137,Rak'tika,61411,75,True
138,La Tempête,61411,76,True
139,Vieille Sharlayan,61411,77,True
140,Radz-at-Han,61411,78,True
141,Le Labyrinthos,61411,77,True
142,Thavnair,61411,78,True
143,Garlemald,61411,79,True
144,Mare Lamentorum,61411,80,True
145,Elpis,61411,81,True
146,Ultima Thulé,61411,82,True
147,Tuliyollal,61411,83,True
148,Urqopacha,61411,83,True
149,Kozama'uka,61411,83,True
150,Yak T'el,61411,83,True
151,Shaaloani,61411,84,True
152,L'Hoirie recouvrée,61411,84,True
153,Solution Neuf,61411,84,True
154,La Mémoire vivante,61411,85,True
155,Quêtes de gladiateur,62301,86,True
156,Quêtes de pugiliste,62302,86,True
157,Quêtes de maraudeur,62303,86,True
158,Quêtes de maître d'hast,62304,86,True
159,Quêtes d'archer,62305,86,True
160,Quêtes de surineur,62309,86,True
161,Quêtes d'élémentaliste,62306,87,True
162,Quêtes d'occultiste,62307,87,True
163,Quêtes d'arcaniste,62308,87,True
164,Quêtes de menuisier,62310,88,True
165,Quêtes de forgeron,62311,88,True
166,Quêtes d'armurier,62312,88,True
167,Quêtes d'orfèvre,62313,88,True
168,Quêtes de tanneur,62314,88,True
169,Quêtes de couturier,62315,88,True
170,Quêtes d'alchimiste,62316,88,True
171,Quêtes de cuisinier,62317,88,True
172,Quêtes de mineur,62318,89,True
173,Quêtes de botaniste,62319,89,True
174,Quêtes de pêcheur,62320,89,True
175,Quêtes de paladin,62401,93,True
176,Quêtes de moine,62402,93,True
177,Quêtes de guerrier,62403,93,True
178,Quêtes de chevalier dragon,62404,93,True
179,Quêtes de barde,62405,93,True
180,Quêtes de ninja,62410,93,True
181,Quêtes de mage blanc,62406,94,True
182,Quêtes de mage noir,62407,94,True
183,Quêtes d'invocateur,62408,94,True
184,Quêtes d'érudit,62409,94,True
185,Quêtes de chevalier noir,62412,93,True
186,Quêtes de machiniste,62411,93,True
187,Quêtes d'astromancien,62413,94,True
188,Quêtes de samouraï,62414,93,True
189,Quêtes de mage rouge,62415,94,True
