#,DevelopmentLogText,DevelopmentLogName,DevelopmentLogDescription
0,,,
1,N°1,Début du projet,"Moi, Reportingway, ai l'immense honneur d'avoir été désigné pour consigner par écrit les tribulations du programme d'exploration cosmique et les découvertes qui en découleront. J'espère que vous aurez plaisir à me lire !

Cette entreprise grandiose, fondée par Searchingway, notre chef de projet, vient justement de débuter ! Si elle ne dispose encore que de quelques machines et équipements, la station sélénienne, comme nous l'avons nommée, est vouée à s'agrandir pour devenir le principal point de départ de la lune vers l'infini du firmament.
Pour le moment, nos rares ins­tal­la­tions sont sommaires : elles incluent des échoppes qui ont pour rôle de fournir du matériel aux nombreux volontaires participant au projet, ainsi que le hangar qui accueillera les véhicules lourds destinés à arpenter la surface de la lune – et peut-être bien celle d'autres planètes. Tout ceci est temporaire, mais a le mérite d'exister.

Une chose me chiffonne tout de même... Il arrive que des pluies de météorites de petite taille tombent ici, à Sinus Ardorum. La toile de nos tentes a beau être conçue dans un matériau robuste en vue de nos futures activités dans l'espace, il est impensable que nous nous contentions éter­nel­le­ment de si peu ! Aussi, nous comptons solliciter l'aide de nos chers collaborateurs d'Ætherys afin d'améliorer nos infrastructures et bâtir une station digne de ce nom !"
2,N°2,Campement bêta,"De plus en plus de collaborateurs venus d'Ætherys nous rejoignent sur le chantier !
Qu'il s'agisse de chercheurs du Labyrinthos ayant travaillé sur le projet Lune, d'académiciens de Sharlayan qui étudient les théories les plus pointues sur l'espace, de glaneurs renommés, d'aventuriers, d'artisans et j'en passe, nous accueillons maintenant des personnes d'horizons très variés ! Et grâce aux efforts acharnés de tout ce beau monde, nous avons pu agrandir la station sélénienne et l'agrémenter de nouvelles ins­tal­la­tions !

Ainsi, nos tentes de fortune ont laissé la place à de magnifiques bâtiments aux toits en métal renforcé ! Nous n'avons plus à craindre qu'un quelconque objet tombé du ciel ne vienne réduire en miettes nos précieuses ressources. Nous allons enfin pouvoir aborder sereinement la suite du programme.

Les nombreux volontaires venus nous soutenir ont permis au projet d'exploration cosmique d'évoluer dans la bonne direction. La station est à présent suf­fi­sam­ment opérationnelle pour servir de tremplin afin d'élargir nos activités, notamment en vue d'arpenter les différents recoins de Sinus Ardorum."
3,N°3,Premier réseau de cosmo-navettes,"Il peut sembler curieux aux yeux de certains que les Loporrites décident sou­dai­ne­ment d'explorer la lune, eux qui ont vécu sur place durant des millénaires. Mais il faut comprendre que le but de nos travaux à Sinus Ardorum n'est pas seulement de préparer ce qui sera notre point de départ vers l'espace, mais aussi d'ex­pé­ri­men­ter des machines et des ins­tal­la­tions qui nous permettront de poursuivre nos activités sur d'autres planètes.

C'est ainsi que nous avons mis au point le système de cosmo-navette, qui devrait également être utile pour nous déplacer à la surface d'autres astres que la lune. Car rien ne garantit la bonne stabilité des flux éthérés sur les mondes que nous visiterons ; nous avons donc préféré compter sur un moyen de transport rapide plutôt que sur la magie de téléportation. Notre objectif, à présent, est d'étendre notre réseau de cosmo-navettes au reste de Sinus Ardorum et de nous assurer de sa fiabilité."
4,N°4,Modules d'habitation et cosmoport,"Ça y est, la con­struc­tion des modules d'habitation et du cosmoport est terminée ! Nous allons enfin pouvoir offrir un toit digne de ce nom à tous les gentils volontaires qui sont venus nous prêter main-forte ! Certes, ces ins­tal­la­tions ne disposent pour le moment que des fonctions les plus basiques, mais nous projetons de les améliorer et de les agrandir lors d'une future étape du chantier.

Par ailleurs, concernant les modules d'habitation, nous avons tiré parti de notre triste échec avec Risette-sur-lune pour proposer de véritables petits coins de paradis où il fait bon vivre. Promis, juré, craché, tout le monde pourra y séjourner en toute sécurité !

Quant au cosmoport, nous avons pu profiter des dernières avancées de la recherche en matière d'éthérologie. Ainsi, notre fier astronef disposera d'une fonction qui lui permettra de suivre au­to­ma­ti­que­ment les flux éthérés présents dans l'espace ! Pour le moment, seule la base du cosmoport est prête, mais c'est toujours un pas de plus qui nous rapproche des étoiles !"
5,N°5,Amélioration des hangars,"Pour faciliter l'exploration et les diverses tâches sur des planètes lointaines, nous, les Loporrites, avons travaillé sur un projet secret en col­la­bo­ra­tion avec nos chercheurs : des robots d'un nouveau genre !

Ces machines sont déjà utilisées lors d'in­ter­ven­tions mécaniques. Elles étaient auparavant entreposées sous des tentes, ce qui permettait à la poussière et au sable de s'insinuer dans leurs ar­ti­cu­la­tions, entraînant parfois des dysfonc­tion­ne­ments. Cependant, grâce à la conception de hangars sous la forme de conteneurs hermétiques, leur mécanique n'est désormais plus affectée par les conditions environnementales.

Nous allons pouvoir améliorer les capacités de nos robots en toute quiétude, ce qui devrait contribuer à une meilleure efficacité opérationnelle !"
6,N°6,Cosmo-navette nord-ouest,"Le réseau de cosmo-navettes s'étend désormais jusqu'à La Gourde, au nord-ouest de Sinus Ardorum !

De plus, nous avons équipé les points intermédiaires de commodités, telles que des aires de repos pour les par­ti­ci­pants au projet ainsi que des stations de ra­vi­tail­le­ment pour les machines. Ces avant-postes serviront de bases pour l'exploration de zones plus lointaines.

N'hésitez pas à en profiter lors de votre prochain trajet en cosmo-navette !"
7,N°7,Cosmo-navette sud-est,"Le réseau de cosmo-navettes s'étend désormais jusqu'à la Pépinière de Weddingway, au sud-est de Sinus Ardorum !

Cette zone nous sert à ex­pé­ri­men­ter différentes façons d'améliorer le sol de la lune, peu propice à la croissance des végétaux, notamment grâce à une mousse fertilisatrice. Le responsable de ce projet est un Loporrite nommé Weddingway, qui collabore avec les botanistes de Sharlayan pour étudier la reproduction et l'hybridation de différentes espèces végétales et fongiques.

Il semble que Lovingway, qui affectionne les champignons étranges de Mare Lamentorum, fréquente également cet endroit... Ceci explique peut-être pourquoi il y a tant de fongus dans la région ?"
8,N°8,Tunnel de Piercingway,"Le tunnel de Piercingway traverse désormais le cratère sud-ouest : le Mont scintillant !

Cette formation rocheuse étant composée de couches de cristaux très durs mélangés à des roches plus tendres, la con­struc­tion du tunnel a été une excellente occasion de démontrer notre savoir-faire technique. Nous devons notre réussite aux scien­ti­fi­ques de Sharlayan, qui nous ont aidés à développer des barrières efficaces pour protéger nos ins­tal­la­tions pendant les travaux.

L'expérience acquise grâce à cet ouvrage sera cer­tai­ne­ment utile pour nos futures explorations cosmiques !"
9,N°9,Cosmo-navette sud-ouest,"Le réseau de cosmo-navettes s'étend désormais jusqu'au tunnel de Piercingway, au sud-ouest de Sinus Ardorum !

Nous estimons que les alentours du Mont scintillant recèlent des filons de minerais rares, mais les rapports mentionnent également des vestiges allagois qui se seraient écrasés dans cette zone. Utilisées à bon escient, ces ressources pourraient permettre au projet d'exploration cosmique d'évoluer encore davantage."
10,N°10,Campement gamma,"La surface de la lune accueille désormais une véritable petite cité ! Qui l'eût cru ? Grâce aux efforts de tous, la station sélénienne possède à présent un campement flambant neuf !

Afin de relier plus efficacement les ins­tal­la­tions dispersées à de multiples endroits, nous avons amélioré les voies d'accès et les cloisons, ainsi que la plomberie de la base. Outre l'amélioration du cadre de vie, des stations de ra­vi­tail­le­ment ont aussi été installées afin de faciliter la tâche aux nombreux travailleurs.

Toutefois, il serait trop hâtif de croire que cette station est entièrement finalisée. De nombreuses améliorations peuvent encore être apportées et j'ai hâte de voir ce que les équipes du projet vont concocter ! "
