#,Quest,Map,TerritoryType,Unknown4,Unknown7,Unknown8,Unknown5,Unknown6,QuestSequence
0.0,0,0,0,0,0,0,0,0,0
1.0,70137,796,0,0,0,0,0,0,6
1.1,70138,797,0,0,0,0,0,0,0
1.2,70139,798,0,0,0,0,0,0,0
1.3,70140,799,0,0,0,0,0,0,0
1.4,70141,800,0,0,0,0,0,0,0
1.5,70142,801,0,0,0,0,0,0,0
2.0,0,0,0,0,0,0,0,0,0
2.1,0,0,0,0,0,0,0,0,0
3.0,65575,94,0,0,0,0,0,0,1
3.1,65643,94,0,0,0,0,0,0,1
3.2,66130,94,0,0,0,0,0,0,1
3.3,66216,80,0,0,0,0,0,0,0
3.4,66217,80,0,0,0,0,0,0,0
3.5,66218,80,0,0,0,0,0,0,0
3.6,66053,94,0,0,0,0,0,0,2
3.7,70057,107,0,0,0,0,0,0,1
3.8,70058,94,0,0,0,0,0,0,7
3.9,70058,107,0,0,0,0,0,0,0
4.0,463,780,0,0,0,0,0,0,0
4.1,464,781,0,0,0,0,0,0,0
4.2,465,793,0,0,0,0,0,0,0
5.0,0,794,0,0,0,0,0,0,0
5.1,468,866,0,0,0,0,0,0,0
6.0,0,949,0,5147,0,0,1,0,0
6.1,0,950,0,5148,0,0,1,1,0
7.0,0,949,0,5152,0,0,1,0,0
7.1,0,950,0,19,0,0,1,1,0
8.0,0,1004,0,0,1,0,0,0,0
8.1,0,1004,0,0,1,1,0,0,0
8.2,0,1004,0,0,1,2,0,0,0
8.3,0,1004,0,0,1,3,0,0,0
8.4,0,1005,0,0,1,4,0,0,0
8.5,0,1005,0,0,1,5,0,0,0
8.6,0,1005,0,0,1,6,0,0,0
8.7,0,1005,0,0,1,7,0,0,0
8.8,0,1006,0,0,1,8,0,0,0
8.9,0,1006,0,0,1,9,0,0,0
8.10,0,1006,0,0,1,10,0,0,0
8.11,0,1006,0,0,1,11,0,0,0
8.12,0,1007,0,0,1,12,0,0,0
8.13,0,1007,0,0,1,13,0,0,0
8.14,0,1008,0,0,1,14,0,0,0
8.15,0,1008,0,0,1,15,0,0,0
8.16,0,1008,0,0,1,16,0,0,0
8.17,0,1008,0,0,1,17,0,0,0
8.18,0,1009,0,0,1,18,0,0,0
8.19,0,1009,0,0,1,19,0,0,0
8.20,0,1009,0,0,1,20,0,0,0
8.21,0,1010,0,0,1,21,0,0,0
8.22,0,1010,0,0,1,22,0,0,0
8.23,0,1010,0,0,1,23,0,0,0
8.24,0,1011,0,0,1,24,0,0,0
8.25,0,1011,0,0,1,25,0,0,0
8.26,0,1011,0,0,1,26,0,0,0
8.27,0,1011,0,0,1,27,0,0,0
8.28,0,1012,0,0,1,28,0,0,0
8.29,0,1012,0,0,1,29,0,0,0
8.30,0,1013,0,0,1,30,0,0,0
8.31,0,1013,0,0,1,31,0,0,0
8.32,0,1013,0,0,1,32,0,0,0
8.33,0,1014,0,0,1,33,0,0,0
8.34,0,1014,0,0,1,34,0,0,0
8.35,0,1014,0,0,1,35,0,0,0
8.36,0,1014,0,0,1,36,0,0,0
8.37,0,1015,0,0,1,37,0,0,0
8.38,0,1015,0,0,1,38,0,0,0
8.39,0,1015,0,0,1,39,0,0,0
8.40,0,1015,0,0,1,40,0,0,0
8.41,0,1016,0,0,1,41,0,0,0
