#,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9
0,,,0,0,0,0,0,0,0,0
1,Flamme pompon,"Inflige UNKNOWN point de dégâts à un ennemi en face de vous.
Coût en PM : UNKNOWN    Recharge : UNKNOWN tour",20,0,15,30,3,1,1,1
2,Mini-météore pompon,"Inflige UNKNOWN point de dégâts aux ennemis dans l'aire d'effet située UNKNOWN cases en face de vous.
Coût en PM : UNKNOWN    Recharge : UNKNOWN tour",10,8,25,40,4,3,3,2
3,Météore pompon,"Inflige UNKNOWN point de dégâts à tous les ennemis.
Coût en PM : UNKNOWN    Recharge : UNKNOWN tour",15,0,50,80,10,0,0,3
4,Soin pompon,"Restaure UNKNOWN PV.
Coût en PM : UNKNOWN    Recharge : UNKNOWN tour",50,0,0,10,1,0,0,4
5,Guérison pompon,"Dissipe toutes les altérations d'état hormis Glas.
Coût en PM : UNKNOWN    Recharge : UNKNOWN tour",0,0,0,20,3,0,0,5
6,Barrière pompon,"Crée sur vous une barrière absorbant les dégâts.
Durée de l'effet : UNKNOWN tour
Coût en PM : UNKNOWN    Recharge : UNKNOWN tour",0,0,0,30,3,0,0,6
7,Lévitation pompon,"Permet d'éviter les attaques au sol.
Durée de l'effet : UNKNOWN tour
Coût en PM : UNKNOWN    Recharge : UNKNOWN tour",0,0,0,20,3,0,0,7
8,Résurrection pompon,"Permet de ressusciter au­to­ma­ti­que­ment en cas de K.O. pendant la durée de l'effet.
Durée de l'effet : permanent
Coût en PM : UNKNOWN    Recharge : UNKNOWN tour",0,0,0,50,99,0,0,8
9,,,100,0,0,0,0,0,0,0
10,,,100,0,0,0,0,0,0,0
11,,,0,0,0,0,0,0,0,0
12,,,0,0,0,0,0,0,0,0
13,,,100,0,0,0,0,0,7,0
14,,,10,2,0,0,0,0,1,0
15,,,100,0,0,0,0,0,1,0
16,,,0,0,0,0,0,0,0,0
17,,,0,0,0,0,0,0,0,0
18,,,9999,0,0,0,0,0,0,0
