#,Name,Icon,SortOrder
0,,0,0
1,1re cible à attaquer,61201,1
2,2e cible à attaquer,61202,2
3,3e cible à attaquer,61203,3
4,4e cible à attaquer,61204,4
5,5e cible à attaquer,61205,5
6,1re cible à entraver,61211,9
7,2e cible à entraver,61212,10
8,3e cible à entraver,61213,11
9,1re cible à ignorer,61221,12
10,2e cible à ignorer,61222,13
11,Carré,61231,14
12,Cercle,61232,15
13,Croix,61233,16
14,Triangle,61234,17
15,6e cible à attaquer,61206,6
16,7e cible à attaquer,61207,7
17,8e cible à attaquer,61208,8
