#,Text,LogKind,DisplayFlags,Unknown1,Duration,Unknown2
0,,0,0,0,0,False
1,Vous invitez vous dans l'équipe.,57,1,0,0,False
2,L'invitation dans l'équipe envoyée par vous est annulée.,57,1,0,0,False
3,Vous invitez dans votre équipe.,57,33,0,0,False
4,Vous quittez l'équipe.,57,1,0,0,False
5,L'équipe est dissoute.,57,1,0,0,False
6,,0,0,0,0,False
7,,0,0,0,0,False
8,Vous est ajouté à la liste noire.,57,1,0,0,False
9,Vous est retiré de la liste noire.,57,1,0,0,False
10,Vous envoyez une requête d'ami à vous.,57,33,0,0,False
11,Vous vous a envoyé une requête d'ami.,57,33,0,0,False
12,Vous est retiré de la liste d'amis.,57,1,0,0,False
13,Vous invitez vous dans la linkshell “”.,57,1,0,0,False
14,Vous vous invite dans la linkshell “”.,57,33,0,0,False
15,Vous est maintenant officier de la linkshell “”.,57,1,0,0,False
16,Vous est maintenant membre de la linkshell “”.,57,1,0,0,False
17,Vous quittez la linkshell “”.,57,1,0,0,False
18,La linkshell “” est dissoute.,57,33,0,0,False
19,Vous excluez vous de la linkshell “”.,57,1,0,0,False
20,Vous ne faites plus partie de la linkshell “”.,57,1,0,0,False
21,Vous nommez vous chef de la linkshell “”.,57,1,0,0,False
22,Vous êtes maintenant chef de la linkshell “”.,57,33,0,0,False
23,Vous êtes maintenant officier de la linkshell “”.,57,33,0,0,False
24,Vous n'êtes plus officier de la linkshell “”.,57,1,0,0,False
25,Lettre envoyée.,57,33,0,0,False
26,Lettre effacée.,57,1,0,0,False
27,Vous recevez UNKNOWN .,57,1,0,0,False
28,Vous recevez 0 gil.,57,1,0,0,False
29,Le nombre maximum d'objets joints aux lettres d'amis est atteint. Transférez-en dans votre inventaire afin de pouvoir en recevoir de nouveaux.,60,9,0,0,False
30,Vous ne pouvez pas échanger en ce moment.,60,8,0,0,False
31,Cet objet ne peut pas être échangé.,60,8,0,0,False
32,Vous proposez un échange vous.,57,1,0,0,False
33,Vous considérez la proposition.,57,1,0,0,False
34,Vous vous propose un échange.,57,1,0,0,False
35,L'échange commence.,57,1,0,0,False
36,L'échange a été annulé.,57,1,0,0,False
37,L'échange a été modifié.,57,1,0,0,False
38,L'échange est terminé.,57,33,0,0,False
39,Impossible d'échanger. Il n'y a pas assez de place dans votre inventaire.,60,8,0,0,False
40,Impossible d'échanger. Votre interlocuteur n'a pas assez de place dans son inventaire.,60,8,0,0,False
41,Seuls les objets en parfaite condition peuvent être échangés.,60,8,0,0,False
42,Impossible d'échanger. Vous possédez déjà un objet unique proposé.,60,8,0,0,False
43,Impossible d'échanger. Votre interlocuteur possède déjà un objet unique proposé.,60,8,0,0,False
44,L'échange sera interrompu si vous vous éloignez trop de votre interlocuteur.,57,8,0,0,False
45,La limite de caractères est dépassée.,60,8,0,0,False
46,Impossible d'échanger. Vous ne pouvez pas posséder davantage de gils.,60,8,0,0,False
47,Impossible d'échanger. Votre interlocuteur ne peut pas posséder davantage de gils.,60,8,0,0,False
48,Impossible d'échanger. Votre interlocuteur est occupé.,60,8,0,0,False
49,Impossible d'envoyer le murmure. Votre interlocuteur est occupé.,60,1,0,0,False
50,Votre murmure à UNKNOWN n'a pas pu être envoyé.,60,1,0,0,False
51,Aucun personnage n'a été ciblé.,60,8,0,0,False
52,Vous suivez .,57,33,0,0,False
53,Poursuite automatique annulée.,57,33,0,0,False
54,L'échange n'a pas pu s'effectuer.,60,8,0,0,False
55,Impossible d'envoyer un murmure. Ce personnage est dans votre liste noire.,60,8,0,0,False
56,Impossible d'échanger. Ce personnage est dans votre liste noire.,60,8,0,0,False
57,Impossible d'inviter dans l'équipe. Ce personnage est dans votre liste noire.,60,8,0,0,False
58,Impossible d'inviter dans la linkshell. Ce personnage est dans votre liste noire.,60,8,0,0,False
59,Vous n'avez plus aucun emplacement libre dans votre inventaire.,60,8,0,0,False
60,Vous rejoignez l'équipe.,57,33,1,0,False
61,Vous rejoignez l'équipe vous.,57,33,1,0,False
62,Vous refusez de rejoindre l'équipe.,57,1,0,0,False
63,Vous refusez de rejoindre l'équipe vous.,57,1,0,0,False
64,Vous nommez vous chef d'équipe.,57,1,1,0,False
65,Vous vous a nommée chef d'équipe.,57,33,1,0,False
66,Vous êtes maintenant chef d'équipe.,57,33,1,0,False
67,Vous êtes exclu de l'équipe.,57,1,1,0,False
68,Vous quittez l'équipe vous.,57,1,1,0,False
69,Vous avez quitté l'équipe.,57,33,1,0,False
70,Vous quittez l'équipe.,57,33,1,0,False
71,Vous avez quitté l'équipe. Vous êtes maintenant chef d'équipe.,57,33,1,0,False
72,L'équipe est dissoute.,57,33,1,0,False
73,L'équipe a été dissoute.,57,33,1,0,False
74,Vous êtes maintenant membre de la linkshell “”.,57,33,0,0,False
75,Vous êtes maintenant membre de la linkshell “”.,57,33,1,0,False
76,Vous refusez d'être membre de la linkshell “”.,57,1,0,0,False
77,Vous avez quitté la linkshell “”.,57,33,1,0,False
78,Vous est maintenant dans votre liste d'amis.,57,33,1,0,False
79,Vous avez refusé la requête d'ami envoyée par vous.,57,1,0,0,False
80,Votre profil de recherche a été actualisé.,57,32,0,0,False
81,Les résultats de la recherche ont été mis à jour.,57,32,0,0,False
82,Vous avez annulé la requête d'ami envoyée vous.,57,1,0,0,False
83,La requête d'ami envoyée par vous a été annulée.,57,1,1,0,False
84,Vous êtes déconnecté.,57,33,1,0,False
85,Vous êtes de nouveau dans l'équipe.,57,33,1,0,False
86,Vous ne pouvez pas faire de demande sertissage à un joueur enregistré dans votre liste noire.,60,8,0,0,False
87,Vous ne pouvez pas faire de demande de sertissage à un joueur qui n'est pas disciple de la main.,60,8,0,0,False
88,Vous avez découvert une nouvelle zone !,57,33,1,0,False
89,La liste des personnages n'a pas pu être obtenue. Réessayez plus tard ou avec un autre centre de traitement de données.,60,8,0,0,False
90,Vous refusez d'être membre de la linkshell “”.,57,1,1,0,False
91,Vous annulez l'invitation de vous dans la linkshell “”.,57,33,0,0,False
92,L'invitation dans la linkshell “” a été annulée.,57,33,1,0,False
93,Le traitement du courrier est en cours. Veuillez patienter.,60,8,0,0,False
94,"UNKNOWN équipe recrute ac­tu­el­le­ment, mais aucune ne correspond à vos critères de recherche.",72,1,0,0,False
95,Toutes les invitations dans l'équipe ont été annulées.,57,1,1,0,False
96,Impossible d'utiliser les coiffures ou maquillages exclusifs de l'esthéticien. Les paramètres par défaut ont été appliqués.,60,8,0,0,False
97,L'état “Absent(e)” a été au­to­ma­ti­que­ment activé suite à une période d'inactivité prolongée.,57,1,0,0,False
98,État “Absent(e)” annulé.,57,1,0,0,False
99,Impossible de rejoindre l'équipe. Ce recruteur est dans votre liste noire. ,60,8,0,0,False
100,Vous regardez vous avec surprise.,29,1,0,0,False
101,Vous êtes en colère contre vous.,29,1,0,0,False
102,Vous êtes furieux contre vous.,29,1,0,0,False
103,Vous regardez vous et rougissez d'embarras.,29,1,0,0,False
104,Vous vous inclinez devant vous.,29,1,0,0,False
105,Vous encouragez vous.,29,1,0,0,False
106,Vous applaudissez vous.,29,1,0,0,False
107,Vous faites signe vous de venir.,29,1,0,0,False
108,Vous réconfortez vous d'une tape amicale.,29,1,0,0,False
109,Vous pleurez devant vous.,29,1,0,0,False
110,Vous dansez pour vous.,29,1,0,0,False
111,Vous questionnez vous.,29,1,0,0,False
112,Vous somnolez près de vous.,29,1,0,0,False
113,Vous faites part vous de votre dépit.,29,1,0,0,False
