#,Name,Question,PopRange,ConditionSuccessEvent,ConditionFailEvent,ConfirmEvent,TerritoryType,WarpCondition,WarpLogic,StartCutscene,EndCutscene,CanSkipCutscene
131072,,,0,0,0,0,0,1,1,0,0,False
131073,,,2040811,0,0,0,148,2,2,0,0,False
131074,,Entrer dans la salle de commandement du Carquois ?,3884000,590352,590353,0,204,3,1,0,0,False
131075,,Sortir de la salle de commandement du Carquois ?,3884182,0,0,0,132,1,1,0,0,False
131076,,Sortir de la Chaire du Lotus ?,3878860,0,0,0,133,1,1,0,0,False
131077,Aller à la jetée du Bouquet,Embarquer vers la jetée du Bouquet ?,1381039,590354,590355,0,152,4,1,0,0,False
131078,,Embarquer vers Vieille Gridania ?,1381038,590356,590259,0,133,4,1,0,0,False
131079,,,4124796,0,0,0,177,5,3,0,0,False
131080,,,1359058,0,0,0,179,5,4,0,0,False
131081,,,4124801,0,0,0,178,5,5,0,0,False
131082,,Voulez-vous sortir ?,4125264,0,0,0,128,1,1,0,0,False
131083,,Voulez-vous sortir ?,2232680,0,0,0,132,1,1,0,0,False
131084,,Voulez-vous sortir ?,4125288,0,0,0,130,1,1,0,0,False
131085,,Sortir du Hall d'argent ?,4107979,0,0,0,131,1,1,0,0,False
131086,,"Embarquer pour la crique du Croissant ?
Coût : 40 gils",4143657,590441,590620,590448,140,6,1,0,0,False
131087,,"Embarquer pour le Bazar argenté ?
Coût : 40 gils",4143677,590442,590621,590449,140,6,1,0,0,False
131088,,Entrer dans le Refuge des sables ?,4107477,0,590450,0,212,7,1,0,0,False
131089,,Sortir du Refuge des sables ?,4132388,0,0,0,140,1,1,0,0,False
131090,,Entrer dans le salon de l'Aube ?,4148347,0,590564,0,212,21,1,0,0,False
131091,,Sortir du salon de l'Aube ?,4148350,0,0,0,212,1,1,0,0,False
131092,Aérodrome de Limsa Lominsa (3e étage),Aller à l'aérodrome de Limsa Lominsa ?,4158063,0,0,0,128,1,1,0,0,False
131093,Guilde des aventuriers (1er étage),Aller à la guilde des aventuriers ?,4158069,0,0,0,128,1,1,0,0,False
131094,Bastingage (RDC),Aller au Bastingage ?,4161445,0,0,0,129,1,1,0,0,False
131095,Aérodrome d'Ul'dah (3e étage),Aller à l'aérodrome d'Ul'dah ?,4164411,0,0,0,130,1,1,0,0,False
131096,District politique (1er étage),Aller au district politique ?,4164414,0,0,0,131,1,1,0,0,False
131097,Marchés de l'allée du Rubis (RDC),Aller aux marchés de l'allée du Rubis ?,4164413,0,0,0,130,1,1,0,0,False
131098,,Entrer dans le Hall d'argent ?,4087066,590451,590452,0,210,8,1,0,0,False
131099,,Entrer dans la zone ?,4165046,590611,0,0,146,1,1,0,0,False
131100,,Quitter la zone ?,4165037,590610,0,0,145,1,1,0,0,False
131101,Aller à Gridania,"Embarquer pour Gridania ?
Coût : 120 gils",4103382,0,590530,590453,132,9,1,227,232,True
131102,Aller à Limsa Lominsa,"Embarquer pour Limsa Lominsa ?
Coût : 120 gils",4103399,0,590530,590453,128,9,1,227,230,True
131103,Aller à Ul'dah,"Embarquer pour Ul'dah ?
Coût : 120 gils",4103339,0,589916,590454,130,9,1,231,228,True
131104,Aller à Limsa Lominsa,"Embarquer pour Limsa Lominsa ?
Coût : 120 gils",4103399,0,589916,590454,128,9,1,231,230,True
131105,Aller à Ul'dah,"Embarquer pour Ul'dah ?
Coût : 120 gils",4103339,0,590531,590455,130,9,1,229,228,True
131106,Aller à Gridania,"Embarquer pour Gridania ?
Coût : 120 gils",4103382,0,590531,590455,132,9,1,229,232,True
131107,,"Aller à Limsa Lominsa ?
Coût : 80 gils",4165398,0,591076,590456,129,10,1,235,234,True
131108,,"Aller à la baie des Vêpres ?
Coût : 80 gils",4165376,0,591077,590457,140,10,1,233,236,True
131109,Aller à Port-aux-Ales,"Aller à Port-aux-Ales ?
Coût : 40 gils",4165794,590514,590515,590622,138,11,1,0,0,False
131110,Aller à Limsa Lominsa,"Aller à Limsa Lominsa ?
Coût : 40 gils",4165749,590516,590517,590623,129,11,1,0,0,False
131111,Aller à Costa del Sol,"Aller à Costa del Sol ?
Coût : 40 gils",4165755,590518,590519,590624,137,12,1,0,0,False
131112,Aller à Limsa Lominsa,"Aller à Limsa Lominsa ?
Coût : 40 gils",4165749,590520,590521,590625,129,12,1,0,0,False
131113,Aller au comptoir de Jijiroon,"Aller au comptoir de Jijiroon ?
Coût : 40 gils",4165801,590510,0,590511,139,13,1,0,0,False
131114,Aller au comptoir de Memeroon,"Aller au comptoir de Memeroon ?
Coût : 40 gils",4165797,590512,0,590513,139,13,1,0,0,False
131115,Aller à Port-aux-Ales,"Aller à Port-aux-Ales ?
Coût : 40 gils",4165794,590522,590626,590628,138,14,1,0,0,False
131116,Aller au quai de la Torche,"Aller au quai de la Torche ?
Coût : 40 gils",4165877,590523,590627,590629,135,14,1,0,0,False
131117,Aller au-delà de la porte du Loup blanc,Sortir par la porte du Loup blanc ?,1317627,590524,590525,0,148,15,1,0,0,False
131118,,Entrer dans Gridania ?,1317561,590529,590526,0,132,15,1,0,0,False
131119,Aller à la ravine des Cueillepluies,"Aller à la ravine des Cueillepluies ?
Coût : 40 gils",4165759,590527,0,590630,137,16,1,0,0,False
131120,Aller à la Chute cachée,"Aller à la Chute cachée ?
Coût : 40 gils",4165758,590528,0,590631,137,16,1,0,0,False
131121,Aller à la Chaire du Lotus,Aller à la Chaire du Lotus ?,3877982,590535,590536,0,205,19,1,0,0,False
131122,Aller au salon de l'Amiral,Aller au salon de l'Amiral ?,4146949,590563,0,0,198,20,1,0,0,False
131123,,Sortir du salon de l'Amiral ?,4169071,0,0,0,129,1,1,0,0,False
131124,,,4190590,0,0,0,134,2,2,0,0,False
131125,,,4189532,0,0,0,141,2,2,0,0,False
131126,,Aller au Malm du Minotaure ?,4165939,590603,0,0,146,1,1,0,0,False
131127,,Aller à la Thébaïde de Nald ?,4165935,590604,0,0,146,1,1,0,0,False
131128,,Retourner à la salle d'attente ?,4103339,590607,0,0,130,1,1,0,0,False
131129,,Retourner à la salle d'attente ?,4103382,590608,0,0,132,1,1,0,0,False
131130,,Retourner à la salle d'attente ?,4103399,590609,0,0,128,1,1,0,0,False
131131,Aller à l'Antre des loups,Aller à l'Antre des loups ?,4264415,590632,0,0,250,1,1,0,0,False
131132,Aller au chantier naval de Moraby,Aller au chantier naval de Moraby ?,4264426,590633,0,0,135,1,1,0,0,False
131133,Aller à Port-aux-Ales,Aller à Port-aux-Ales ?,4165794,590634,0,0,138,1,1,0,0,False
131134,Aller aux îles d'Ombra,"Aller aux îles d'Ombra ?
Coût : 40 gils",4264587,590635,590636,590637,138,22,1,0,0,False
131135,Aller à Port-aux-Ales,Aller à Port-aux-Ales ?,4165794,0,0,0,138,1,1,0,0,False
131136,Aller au Nid de serpents,"Aller au Nid de serpents ?
Coût : 40 gils",4264605,590638,590639,590640,138,23,1,0,0,False
131137,,Quitter l'atelier de Cid ?,4321669,0,0,0,156,1,1,0,0,False
131138,,Aller à Gridania ?,4102803,590843,0,0,132,1,1,0,0,False
131139,,Quitter le Labyrinthe de Bahamut ?,4332112,0,0,0,137,1,1,0,0,False
131140,,Quitter le Labyrinthe de Bahamut ?,4332121,0,0,0,147,1,1,0,390,False
131141,,Activer l'ascenseur ?,4331241,0,0,0,247,1,1,389,0,False
131142,,Entrer dans le salon de l'Aube ?,4498658,0,0,0,351,1,1,0,0,False
131143,,Sortir du salon de l'Aube ?,4498656,0,0,0,351,1,1,0,0,False
131144,,Entrer dans le Refuge des roches ?,4498659,0,0,0,351,1,1,0,0,False
131145,,Sortir du Refuge des roches ?,4498857,0,0,0,156,1,1,0,0,False
131146,,Accéder aux Huit Sentinelles ?,4506602,0,0,0,156,1,1,0,0,False
131147,,Quitter Les Huit Sentinelles ?,4506605,0,0,0,156,1,1,0,0,False
131148,,Entrer dans la maison ?,0,0,0,0,0,1,6,0,0,False
131149,,Sortir de la maison ?,0,0,0,0,0,1,7,0,0,False
131150,,,4549235,591149,0,0,340,1,1,0,0,False
131151,,,4549391,591150,0,0,148,1,1,0,0,False
131152,,Sortir du laboratoire d'alchimie du 13e ordre ?,4618997,0,0,0,180,1,1,0,0,False
131153,,Retourner à la Couvée de Novv ?,4629135,0,0,0,138,1,1,0,0,False
131154,,Retourner à la Couvée de Novv ?,4629135,0,0,0,138,1,1,0,0,False
131155,,Retourner à la Couvée de Novv ?,4629135,0,0,0,138,1,1,0,0,False
131156,,Retourner à la Couvée de Novv ?,4629135,0,0,0,138,1,1,0,0,False
131157,,Retourner à la Couvée de Novv ?,4629135,0,0,0,138,1,1,0,0,False
131158,Aller à Lavandière,,4549235,591254,591260,0,340,24,1,0,0,False
131159,,,1381038,591255,591261,0,133,24,1,0,0,False
131160,Aller à Brumée,,4664433,591256,591262,0,339,25,1,0,0,False
131161,,,4165749,591257,591263,0,129,25,1,0,0,False
131162,,,4656744,591258,591264,0,341,26,1,0,0,False
131163,,,4660251,591259,591265,0,131,26,1,0,0,False
131164,,Sortir du sous-sol éorzéen ?,4678209,0,0,0,154,1,1,0,0,False
131165,,Sortir des Méandres de Bahamut ?,4332121,0,0,0,147,1,1,0,0,False
131166,,Entrer dans la salle de réception ?,5036036,591750,0,0,395,1,1,0,0,False
131167,,Sortir de la salle de réception ?,5036025,0,0,0,155,1,1,0,0,False
131168,,Sortir de la chapelle d'ivoire ?,5038695,0,0,0,152,1,1,0,0,False
131169,Aller à bord du navire au large,Aller à bord du navire au large ?,5049372,590097,0,0,137,1,1,0,0,False
131170,Retourner à Costa del Sol,Retourner à Costa del Sol ?,4165755,590098,0,0,137,1,1,0,0,False
131171,,Sortir de la guilde des surineurs ?,5341046,0,0,0,129,1,1,0,0,False
131172,Entrer dans la guilde des surineurs,Entrer dans la guilde des surineurs ?,5341051,591865,0,0,129,27,1,0,0,False
131173,,Sortir de l'entrepôt ?,5341521,0,0,0,137,1,1,0,0,False
131174,Entrer dans l'entrepôt,Entrer dans l'entrepôt ?,5341524,591889,591888,0,137,28,1,0,0,False
131175,,Sortir du sous-sol éorzéen ?,5404445,0,0,0,147,1,1,0,0,False
131176,,Entrer dans la chapelle d'ivoire ?,5038252,0,0,0,392,1,8,0,0,False
131177,,Aller au square des chocobos ?,5448900,591975,0,0,388,1,1,0,0,False
131178,,Retourner au hall d'accueil ?,5448873,591981,0,0,144,1,1,0,0,False
131179,Aller au Gold Saucer,"Embarquer pour le Gold Saucer ?
Coût : gratuit",5649379,0,591990,0,144,29,1,0,0,False
131180,Aller au Gold Saucer,"Embarquer pour le Gold Saucer ?
Coût : gratuit",5649379,0,591990,0,144,29,1,0,0,False
131181,Aller au Gold Saucer,"Embarquer pour le Gold Saucer ?
Coût : gratuit",5649379,0,591990,0,144,29,1,0,0,False
131182,Aller à Limsa Lominsa,"Embarquer pour Limsa Lominsa ?
Coût : 120 gils",4103399,0,0,592264,128,30,1,0,0,False
131183,Aller à Ul'dah,"Embarquer pour Ul'dah ?
Coût : gratuit",4103339,0,0,0,130,1,1,0,0,False
131184,Aller à Gridania,"Embarquer pour Gridania ?
Coût : 120 gils",4103382,0,0,592264,132,30,1,0,0,False
131185,,Aller à l'Arc des Valeureux ?,5827477,592249,0,0,418,1,1,0,0,False
131186,,Aller aux Portes du Jugement ?,5835896,592250,0,0,155,1,1,0,0,False
131187,Aller à la carrière de Lesteplume,Aller à la carrière de Lesteplume ?,5822019,592251,0,0,439,1,1,0,0,False
131188,Aller au camp de Cime-des-nuages,"Embarquer pour le camp de Cime-des-nuages ?
Coût : gratuit",5835987,0,0,0,401,1,1,0,0,False
131189,,Aller à La Fenêtre bleue ?,5836049,592253,0,0,401,1,1,0,0,False
131190,Aller à Azys Lla,Aller à Azys Lla ?,5836085,592254,0,0,402,1,1,0,0,False
131191,,Entrer dans le scolasticat Saint-Endalim ?,5821242,592255,0,0,427,1,1,0,0,False
131192,,Entrer dans le manoir des Fortemps ?,5822004,592256,0,0,433,1,1,0,0,False
131193,,Sortir du scolasticat Saint-Endalim ?,5827748,0,0,0,419,1,1,0,0,False
131194,,Sortir du siège du capitaine général ?,5827491,0,0,0,418,1,1,0,0,False
131195,,Sortir du manoir des Fortemps ?,5827750,0,0,0,419,1,1,0,0,False
131196,,Quitter la carrière de Lesteplume ?,5827495,0,0,0,418,1,1,0,0,False
131197,,"Aller à Ishgard ?
Coût : gratuit",5835975,592257,0,0,419,1,1,0,0,False
131198,,Aller à Ishgard ?,5835975,0,0,0,419,1,1,0,0,False
131199,,Aller à L'Écume des cieux de Dravania ?,5836077,592259,0,0,400,1,1,0,0,False
131200,,Aller dans l'Avant-pays dravanien ?,5836076,0,0,0,398,1,1,0,0,False
131201,,Entrer dans la caverne de Matoya ?,5851087,0,0,0,463,1,1,0,0,False
131202,,Sortir de la caverne de Matoya ?,5822097,0,0,0,399,1,1,0,0,False
131203,,Aller à Ishgard ?,5835975,0,0,0,419,1,1,0,0,False
131204,,,5878288,0,0,0,429,5,9,0,0,False
131205,,Voulez-vous sortir ?,5878405,0,0,0,418,1,1,0,0,False
