#,Description,Unknown1,Unknown2,PreviewIcon,Transformation,Unknown5,Expansion
0,,0,0,0,0,0,0
1,Une Padjale au cœur pur et charitable,0,0,73801,219,76,0
2,Une Roegadyne courageuse avec une volonté inébranlable,1,0,73802,220,76,0
3,Un général hyur imposant et combatif,2,0,73803,221,76,0
4,Une jolie Lalafelle aristocrate aux cheveux couleur pêche,3,0,73804,222,76,0
5,Un ingénieur magitek garlemaldais habile et adoré par ses hommes,4,66054,73805,355,91,0
6,Un Garlemaldais ambitieux et insaisissable,5,66737,73806,354,91,0
7,Un ingénieur lalafell éperdument amoureux d'une trésorière,6,66737,73807,532,152,0
8,Un ingénieur roegadyn ayant fui l'Empire avec son meilleur ami,7,66737,73808,533,152,0
9,Un Miqo'te aux cheveux et aux yeux pourpres,8,66737,73809,356,91,0
10,Une Hyure à la tête d'une société secrète,9,66046,73810,395,105,0
11,Un Roegadyn préfet de légion garlemaldaise,10,70058,73811,392,105,0
12,"Une Miqo'te devenue célèbre sous le surnom de ""rose d'Ul'dah""",11,66729,73812,391,105,0
13,"Un Hyur intelligent, audacieux et surtout gentilhomme",12,66740,73813,393,105,0
14,"Une Miqo'te fouineuse, fidèle acolyte d'un détective",13,66740,73814,394,105,0
15,Un Hyur réputé pour être l'orfèvre le plus balèze d'Éorzéa,14,66740,73815,508,142,0
16,Une Lalafelle responsable des finances d'une organisation secrète,15,66045,73816,507,142,0
17,Un Hyur ayant obtenu une nouvelle existence,99,70058,73817,484,132,0
18,Un Élézen brun avec une grande détermination dans le regard,0,67205,73818,217,76,1
19,"Une Élézenne métisse digne, avec un sens aigu de la justice",1,67205,73819,357,91,1
20,Une Lalafelle vêtue d'une robe jaune à capuche,2,67699,73820,218,76,1
21,Un Élézen maître d'hast talentueux et solitaire,3,68089,73821,358,91,1
22,"Un pirate hyur, amoureux de la liberté",4,67740,73822,359,91,1
23,Une pirate des cieux qui garde toujours un œil sur les frasques de son partenaire,5,67910,73823,534,152,1
24,Une ingénieure lalafelle spécialisée dans les machines volantes,6,67910,73824,535,152,1
25,Un noble élézen qui raffole des rumeurs,7,67205,73825,482,132,1
26,Un Hyur qui porte l'azur à merveille,99,67205,73826,483,132,1
27,Un seigneur hyur oriental au caractère franc et généreux,0,68089,73827,214,76,2
28,Une shinobi aoranne fidèle et dévouée,1,68089,73828,215,76,2
29,Un Ao Ra solitaire et arrogant qui vit pour se battre,2,68089,73829,213,76,2
30,Une Ao Ra fière et déterminée au grand cœur,3,68089,73830,212,76,2
31,Une charmante Ao Ra délicate et pieuse,4,68089,73831,211,76,2
32,Une Hyure très sportive vêtue d'une magnifique robe écarlate,5,68089,73832,216,76,2
33,"Un Roegadyn imposant, à la tête de la Confédération",6,68089,73833,536,152,2
34,"Un Hyur de la Confédération, fier pirate de la Mer de Rubis",7,68089,73834,537,152,2
35,"Un Hyur héroïque, toujours entouré de quatre animaux sacrés",8,68702,73835,361,91,2
36,"Un Hyur très turbulent, qui joue le rôle d'un ambassadeur plénipotentiaire",9,68610,73836,360,91,2
37,Un puissant Garlemaldais ayant vaincu de nombreux Asciens,10,68717,73837,478,132,2
38,Une Ao Ra très érudite ayant un statut de Preux,11,68725,73838,479,132,2
39,"Un Hyur fier de ses aptitudes en combat, qui porte le rouge à merveille",98,68089,73839,480,132,2
40,"Un Hyur équipé d'un katana, qui porte le rouge à merveille",99,68089,73840,481,132,2
