#,Text,Label,Unknown0,Param,Platform,Category,BacklightColor,Required
0,,,0,255,255,0,0,False
1,,,0,0,0,0,0,False
2,,,0,0,0,0,0,False
3,,,0,0,0,0,0,False
4,,,0,0,0,0,0,False
5,,,0,0,0,0,0,False
6,,,0,0,0,0,0,False
7,,,0,0,0,0,0,False
8,,,0,0,0,0,0,False
9,,,0,0,0,0,0,False
10,,,0,0,0,0,0,False
11,Mode Avancer et tourner,MOVE_AND_STEER,1,255,255,1,0,False
12,Avancer,MOVE_FORE,2,255,255,1,3,False
13,Reculer,MOVE_BACK,3,255,255,1,3,False
14,Tourner vers la gauche/Avancer à gauche,MOVE_LEFT,4,255,255,1,3,False
15,Tourner vers la droite/Avancer à droite,MOVE_RIGHT,5,255,255,1,3,False
16,Déplacement vers la gauche,MOVE_STRIFE_L,6,255,255,1,3,False
17,Déplacement vers la droite,MOVE_STRIFE_R,7,255,255,1,3,False
18,Sauter,JUMP,8,255,255,1,3,False
19,Alterner course/marche,WALK,9,255,255,1,3,False
20,Activer/Désactiver la course automatique,AUTORUN_KEY,10,255,255,1,3,False
21,Dégainer/Rengainer,SWARD,11,255,255,1,3,False
22,Verrouiller la caméra sur la cible,CAMERA_FOCUS,12,255,255,1,6,False
23,Vol/Plongée - descente,MOVE_DESCENT,13,255,255,1,3,False
24,Vol/Plongée - maintien d'élévation,MOVE_RETENTION,14,255,255,1,3,False
25,Vol/Plongée - montée angulaire,MOVE_ANGLE_RISING,15,255,255,1,3,False
26,Vol/Plongée - descente angulaire,MOVE_ANGLE_DESCENT,16,255,255,1,3,False
27,,,0,0,0,0,0,False
28,,,0,0,0,0,0,False
29,,,0,0,0,0,0,False
30,,,0,0,0,0,0,False
31,,,0,0,0,0,0,False
32,,,0,0,0,0,0,False
33,,,0,0,0,0,0,False
34,,,0,0,0,0,0,False
35,,,0,0,0,0,0,False
36,,,0,0,0,0,0,False
37,,,0,0,0,0,0,False
38,,,0,0,0,0,0,False
39,,,0,0,0,0,0,False
40,,,0,0,0,0,0,False
41,,,0,0,0,0,0,False
42,,,0,0,0,0,0,False
43,,,0,0,0,0,0,False
44,,,0,0,0,0,0,False
45,,,0,0,0,0,0,False
46,,,0,0,0,0,0,False
47,,,0,0,0,0,0,False
48,,,0,0,0,0,0,False
49,,,0,0,0,0,0,False
50,,,0,0,0,0,0,False
51,Bouger la caméra vers le haut,CAMERA_UP,17,255,255,1,6,False
