#,NameAction,Icon,Addon,Unknown0,QuickChatTransient
0,Expression figée supprimée,783,0,0,0
1,Salut,9901,11030,1,1
2,Beau combat,9902,11031,2,2
3,Merci,9903,11032,3,3
4,Bien joué,9904,11033,4,5
5,Disponibilité : [talent 1],9927,11034,0,6
6,Disponibilité : Transcendance,9906,11035,6,23
7,Objectif : ravitaillement offensif,9907,11036,0,10
8,Objectif : ravitaillement défensif,9908,11037,0,11
9,Objectif : ravitaillement adrénergique,9909,11038,0,12
10,Objectif : ravitaillement cœur-de-loup,9910,11039,0,13
11,Attaque : tank,9911,11040,0,14
12,Attaque : soigneur,9912,11041,0,15
13,Attaque : DPS de mêlée,9913,11042,0,16
14,Attaque : DPS à distance,9914,11043,0,17
15,Immobilisation : tank,9915,11044,0,19
16,Immobilisation : soigneur,9916,11045,0,20
17,Immobilisation : DPS de mêlée,9917,11046,0,21
18,Immobilisation : DPS à distance,9918,11047,0,22
19,À moi les médailles,9919,11048,0,24
20,À vous les médailles,9920,11049,0,25
21,Attaque,9921,11050,21,53
22,Repli,9922,11051,22,55
23,PM,9923,11052,23,22
24,PT,9924,11053,0,9
25,Attaque : cible,9925,11054,25,50
26,Entrave : cible,9926,11055,26,51
27,Disponibilité : [talent 2],9928,11056,0,7
28,Attaque focalisée,9935,11057,0,28
29,Attaque libre,9936,11058,0,29
30,Pardon,9965,11713,30,4
31,Positionnement : avant,9966,11714,31,40
32,Positionnement : arrière,9967,11715,32,41
33,Cristal tactique : escorte,9968,11716,33,56
34,Cristal tactique : demande d'escorte,9969,11717,34,57
35,Soutien : cible,9964,11718,35,52
36,Activation : Transcendance,9970,14904,36,24
37,Regroupement,9971,14905,37,54
38,Disponibilité : Dépuration,9905,11034,0,20
39,Disponibilité : Garde,9972,11034,39,21
