#,Name,ENPC,Unknown0,Unknown1
0,,0,0,0
1,,0,0,0
2,Le niveau de ressources requis vient d'être atteint. Veuillez consulter l'horaire du prochain ouvrage collectif sur le panneau d'in­for­ma­tions.,0,0,8
3,"Au prochain ouvrage collectif, on essaye de terminer la con­struc­tion des guichets côté ouest ! Oubliez pas d'aller voir l'horaire sur le panneau !",1032493,3,8
4,"La première phase des travaux est terminée, bien joué ! Maintenant, à vos dons pour préparer la suivante !",1032493,3,8
5,Le niveau de ressources requis vient d'être atteint. Veuillez consulter l'horaire du prochain ouvrage collectif sur le panneau d'in­for­ma­tions.,0,0,8
6,Je compte sur vous pour finir le boulot pendant le prochain ouvrage collectif ! L'horaire est indiqué sur le panneau !,1032493,3,8
7,"Deuxième phase terminée, c'est du bon boulot ! On attend vos dons pour préparer la troisième !",1032493,3,8
8,Le niveau de ressources requis vient d'être atteint. Veuillez consulter l'horaire du prochain ouvrage collectif sur le panneau d'in­for­ma­tions.,0,0,8
9,Encore un petit effort au prochain ouvrage collectif pour terminer les dernières ins­tal­la­tions ! Et vérifiez bien l'horaire sur le panneau !,1032493,3,8
10,"Ça y est, l'Esplanade des démunis est terminée ! Bravo à tous, c'était du vrai travail de pro !",1032493,8,8
11,,0,0,0
12,Le niveau de ressources requis vient d'être atteint. Veuillez consulter l'horaire du prochain ouvrage collectif sur le panneau d'in­for­ma­tions.,0,0,10
13,"La première phase de recon­struc­tion du Hoyau est terminée, bien joué ! Maintenant, à vos dons pour préparer la suivante !",1032493,3,10
14,Le niveau de ressources requis vient d'être atteint. Veuillez consulter l'horaire du prochain ouvrage collectif sur le panneau d'in­for­ma­tions.,0,0,10
15,"Deuxième phase de recon­struc­tion du Hoyau terminée, c'est du bon boulot ! On attend vos dons pour préparer la troisième !",1032493,3,10
16,Le niveau de ressources requis vient d'être atteint. Veuillez consulter l'horaire du prochain ouvrage collectif sur le panneau d'in­for­ma­tions.,0,0,10
17,Encore un petit effort au prochain ouvrage collectif pour terminer la troisième phase ! Et vérifiez bien l'horaire sur le panneau !,1032493,3,10
18,"Troisième phase de recon­struc­tion du Hoyau terminée ! Il n'en reste plus qu'une, et elle attend vos dons avec impatience !",1032493,3,10
19,Le niveau de ressources requis vient d'être atteint. Veuillez consulter l'horaire du prochain ouvrage collectif sur le panneau d'in­for­ma­tions.,0,0,10
20,Encore un petit effort au prochain ouvrage collectif pour terminer la quatrième phase ! Et vérifiez bien l'horaire sur le panneau !,1032493,3,10
21,"Ça y est, Le Hoyau est terminé ! Bravo à tous, c'était du vrai travail de pro ! À présent, au tour de l'estrade de Sainte Roelle ! Nous comptons plus que jamais sur vos dons !",1032493,8,10
22,Le niveau de ressources requis vient d'être atteint. Veuillez consulter l'horaire du prochain ouvrage collectif sur le panneau d'in­for­ma­tions.,0,0,10
23,"La première phase de recon­struc­tion de l'estrade de Sainte Roelle est terminée, bien joué ! Maintenant, à vos dons pour préparer la suivante !",1032493,3,10
24,Le niveau de ressources requis vient d'être atteint. Veuillez consulter l'horaire du prochain ouvrage collectif sur le panneau d'in­for­ma­tions.,0,0,10
25,"Deuxième phase de recon­struc­tion de l'estrade de Sainte Roelle terminée, c'est du bon boulot ! On attend vos dons pour préparer la troisième !",1032493,3,10
26,Le niveau de ressources requis vient d'être atteint. Veuillez consulter l'horaire du prochain ouvrage collectif sur le panneau d'in­for­ma­tions.,0,0,10
27,Encore un petit effort au prochain ouvrage collectif pour terminer la troisième phase ! Et vérifiez bien l'horaire sur le panneau !,1032493,3,10
28,"Troisième phase de recon­struc­tion de l'estrade de Sainte Roelle terminée ! Il n'en reste plus qu'une, et elle attend vos dons avec impatience !",1032493,3,10
