#,TextLong,TextShort,TextCommentary,Quest,Section,Unknown0,Unknown1
3604480,,,,0,0,0,False
3604481,,,,0,0,0,False
3604482,Consulter les règles du mahjong domien,Mahjong domien,,68737,2,0,True
3604483,Consulter les règles d'Ailes rivales,Ailes rivales,,0,3,0,True
3604484,Se renseigner sur le logement,Logement,,0,4,0,True
3604485,Se renseigner sur le mode Nouvelle partie +,Nouvelle partie +,,0,2,0,True
3604486,Se renseigner sur le Front,Le Front,,0,7,0,True
3604487,Se renseigner sur la pêche en mer,Pêche en mer,,0,8,0,True
3604488,Consulter les règles de Touché-tourné,Touché-tourné,,0,9,0,True
3604489,Se renseigner sur le Front sud de Bozja,Le Front sud de Bozja,,0,10,0,True
3604490,Se renseigner sur le rang de résistant,Le rang de résistant,,0,11,0,True
3604491,Se renseigner sur les actions oubliées,Les actions oubliées,,0,13,0,True
3604492,Se renseigner sur les cristaux bozjiens,Les cristaux bozjiens,,0,12,0,True
3604493,Se renseigner sur les tournois officiels et libres de Triple Triade,Tournois officiels et libres de Triple Triade,,0,14,0,True
3604494,,,,0,15,0,True
3604495,,,,0,16,0,True
3604496,Se renseigner sur les médailles de la résistance,Les médailles de la résistance,,0,17,0,True
3604497,Se renseigner sur les Hauts plateaux de Zadnor,Les Hauts plateaux de Zadnor,,0,18,0,True
3604498,Se renseigner sur le mode JcJ,Mode JcJ,,0,19,0,True
3604499,Se renseigner sur Crystalline Conflict,Crystalline Conflict,,0,20,0,True
3604500,Se renseigner sur les donjons sans fond,Donjon sans fond,,0,25,2,True
3604501,Se renseigner sur les donjons sans fond,Donjon sans fond,,0,26,2,True
3604502,Se renseigner sur les donjons sans fond,Donjon sans fond,,0,27,2,True
3604503,Se renseigner sur le Blunderville,Blunderville,,0,31,0,True
3604504,Voir le guide du combat,Guide du combat,,0,33,0,True
3604505,Se renseigner sur les donjons sans fond,Donjon sans fond,,0,37,2,True
3604506,,,,0,36,0,True
3604507,Se renseigner sur l'île de Lunule méridionale,Guide de l'île de Lunule,,0,35,0,True
3604508,Se renseigner sur le désherbage de printemps,Guide du désherbage de printemps,,0,39,0,True
