#,Name,SilverStarRequirement,GoldStarRequirement,WKSMissionText,ClassJobCategory[0],ClassJobCategory[1],Unknown1,MissionTime,MissionReward,MissionToDo[0],MissionToDo[1],MissionToDo[2],LockedBehind,WKSMissionSupplyItem,WKSMissionRecipe,PlaceName,SortKey,WKSFunction,LevelGroup,MissionLotteryCond,WKSMissionLotterySpecialCond,IsSynced,IsSpecialQuest,Unknown2
0,,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
1, Planches en bois aggloméré multi-usage,1200,2400,17,9,0,100,0,1,143,0,0,0,50,2,0,0,0,1,0,0,1,False,False
2, Combustible pour l'exploration,1200,2400,20,9,0,100,0,2,144,0,0,0,51,3,0,0,0,1,0,0,1,False,False
3, Accessoires de récolte,1200,2400,22,9,0,100,0,3,145,0,0,0,52,4,0,0,0,1,0,0,1,False,False
4, Matériaux pour la recherche,1200,2400,29,9,0,100,0,4,146,0,0,0,53,5,0,0,0,1,0,0,1,False,False
5, Traitement longue durée pour charbon de bois,1200,2400,20,9,0,100,0,5,147,0,0,0,54,6,0,0,0,1,0,0,1,False,False
6, Literie classique,1200,2400,19,9,0,100,0,6,148,0,0,0,55,7,0,0,0,1,0,0,1,False,False
7, Fines planches en bois aggloméré,1200,2400,17,9,0,100,0,7,149,0,0,0,56,8,0,0,0,2,0,0,1,False,False
8, Matériel de menuiserie,1200,2400,20,9,0,100,0,8,150,0,0,0,57,9,0,0,0,2,0,0,1,False,False
9, Nécessaires de couture,1300,3000,26,9,0,100,0,9,151,0,0,0,58,10,0,0,3,2,0,0,1,False,False
10, Papier pour l'enregistrement de données,700,1500,18,9,0,100,0,10,152,0,0,0,59,11,0,0,3,2,0,0,1,False,False
11, Isolation thermique intérieure,1100,2500,19,9,0,100,0,11,153,0,0,0,60,12,0,0,3,2,0,0,1,False,False
12, Matériaux pour cosmo-navette,1200,2250,28,9,0,100,0,12,154,0,0,0,61,13,0,0,3,2,0,0,1,False,False
13, Boucles d'oreilles en matière nouvelle,700,1500,22,9,0,100,0,13,155,0,0,0,62,14,0,0,3,2,0,0,1,False,False
14, Conteneurs de transport,1600,2400,20,9,0,100,0,14,156,0,0,0,63,15,0,0,0,3,0,0,1,False,False
15, Épaisses planches en bois aggloméré,1600,2400,17,9,0,100,0,15,157,0,0,0,64,16,0,0,0,3,0,0,1,False,False
16, Isolation thermique d'excellente qualité,1700,2000,19,9,0,100,0,16,158,0,0,0,65,17,0,0,3,3,0,0,1,False,False
17, Résine thermorésistante,2700,3000,31,9,0,100,0,17,159,0,0,0,66,18,0,0,3,3,0,0,1,False,False
18, Papier longue conservation,1600,2400,18,9,0,100,0,18,160,0,0,0,67,19,0,0,0,3,0,0,1,False,False
19, Mobilier d'intérieur,2700,3000,30,9,0,100,0,19,161,0,0,0,68,20,0,0,3,3,0,0,1,False,False
20, Outils de récolte expérimentaux,1000,1300,22,9,0,100,0,20,162,0,0,0,69,21,0,0,0,3,0,0,1,False,False
21, Literie d'excellente qualité,1000,1300,24,9,0,100,0,21,163,0,0,0,70,22,0,0,0,3,0,0,1,False,False
22,Planches en bois aggloméré résistantes,1800,2400,17,9,0,100,1200,22,164,0,0,0,71,23,0,1200,0,4,0,0,0,False,False
23,Papier de qualité supérieure,2300,3000,18,9,0,100,1200,23,165,0,0,0,72,24,0,1200,3,4,0,0,0,False,False
24,Isolation thermique pour vaisseau spatial,700,1000,19,9,0,100,0,24,166,0,0,0,73,25,0,1200,3,4,0,0,0,False,False
25,Charbon pour haute température,700,1000,20,9,0,100,1200,25,167,0,0,0,74,26,0,1200,3,4,0,0,0,False,False
26,Traitement expérimental de végétaux lunaires,2600,3000,21,9,0,100,1200,26,168,0,0,0,75,27,0,1200,3,4,0,0,0,False,False
27,EX : Traitement final de matériaux d'essai,2500,3000,22,9,0,100,1200,27,169,0,0,0,76,28,0,1100,3,5,0,0,0,False,False
28,EX : Plateaux de service,840,1000,23,9,0,100,1200,28,170,0,0,0,77,29,0,1100,3,5,0,0,0,False,False
29,EX : Lits superposés,840,1000,24,9,0,100,1200,29,171,0,0,0,78,30,0,1100,3,5,2,0,0,False,False
30,EX : Infrastructures d'assistance,2800,3000,25,9,0,100,1200,30,172,0,0,0,79,31,0,1100,3,5,1,13,0,False,False
31,EX+ : Approvisionnement en outils d'artisanat,560,880,26,9,0,100,420,31,173,0,0,0,80,32,0,1000,0,6,0,14,0,False,False
32,EX+ : Structures de travail en hauteur,560,880,27,9,0,100,330,32,174,0,0,0,81,33,0,1000,0,6,0,13,0,False,False
33,Préparation de cardan de transmission,2300,3000,28,9,0,100,1200,33,175,0,0,0,82,34,0,1200,3,4,0,0,0,False,False
34,EX : Amélioration de cardan de transmission,2500,3000,28,9,0,100,1200,34,176,0,0,33,83,35,0,1100,3,5,0,0,0,False,False
35,Préparation de matériaux de perfectionnement,1000,1600,29,9,0,100,1200,35,177,0,0,0,84,36,0,1200,0,4,0,0,0,False,False
36,EX : Amélioration de matériaux de perfectionnement,1000,1600,29,9,0,100,1200,36,178,0,0,35,85,37,0,1100,0,5,0,0,0,False,False
