#,Text,Unknown6,BalloonTime,Unknown0,Unknown7,Unknown8,OutputType,Unknown_70,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,IsBalloonSlow,BattleTalkTime
0,0,0,1,0,0,0,1,0,1,25,False,False,False,False,False
1,0,0,1,0,0,0,3,0,1,25,False,False,False,False,False
2,Ohé ! Aidez-moi !,0,5,0,0,0,3,0,1,25,False,False,False,False,False
3,Attention ! Les anolis approchent !,0,5,0,0,0,3,0,1,25,False,False,False,False,False
4,Les imps arrivent ! Ne les laissez surtout pas s'échapper !,0,5,0,0,0,3,0,1,25,False,False,False,False,False
5,Bordel ! Y en a trop !,0,5,0,0,0,3,0,1,25,False,False,False,False,False
6,Les taons ! Il y en a parrrtout !,0,5,0,0,0,3,0,1,25,False,False,False,False,False
7,Sylphes en approche ! Tous à vos armes !,0,5,0,0,0,3,0,1,25,False,False,False,False,False
8,Mais d'où viennent toutes ces créatures !?,0,5,0,0,0,3,0,1,25,False,False,False,False,False
9,Il faut sécuriser les routes !,0,5,0,0,0,3,0,1,25,False,False,False,False,False
10,Donnons une leçon à ces racailles !,0,5,0,0,0,3,0,1,25,False,False,False,False,False
11,Attention ! Ils en ont après les fèves !,0,5,0,0,0,3,0,1,25,False,False,False,False,False
12,Haro ! Haro ! Des Ixali nous attaquent !,0,5,0,0,0,3,0,1,25,False,False,False,False,False
13,Des ziz... ici !?,0,5,0,0,0,3,0,1,25,False,False,False,False,False
14,"Regardez, ils reviennent à la charge !",0,5,0,0,0,3,0,1,25,False,False,False,False,False
15,Prudence. Quelque chose excite les opo-opo.,0,5,0,0,0,3,0,1,25,False,False,False,False,False
16,Ça va pas ! Il faut changer de stratégie !,0,5,0,0,0,3,0,1,25,False,False,False,False,False
17,Pas de quartier !,0,5,0,0,0,3,0,1,25,False,False,False,False,False
18,Quelqu'un pourrait-il nous aider ?,0,5,0,0,0,3,0,1,25,False,False,False,False,False
19,Mes mar­chan­di­ses ! Ces fichus Gobelins se sont enfuis avec !,0,5,0,0,0,3,0,1,25,False,False,False,False,False
20,Mazette ! Regardez tous ces golems !,0,5,0,0,0,3,0,1,25,False,False,False,False,False
21,Les imps sont revenus ! Protégez les ruches !,0,5,0,0,0,3,0,1,25,False,False,False,False,False
22,"À ce rythme, on n'aura plus aucune fleur d'ici demain !",0,5,0,0,0,3,0,1,25,False,False,False,False,False
23,À l'assaut ! Interceptez les pilleurs ixali !,0,5,0,0,0,3,0,1,25,False,False,False,False,False
24,"Aidez-moi, s'il vous plaît !",0,5,0,0,0,3,0,1,25,False,False,False,False,False
25,À l'attaaaque !,0,5,0,0,0,3,0,1,25,False,False,False,False,False
26,Aaarrh !,0,5,0,0,0,2,0,1,25,False,False,False,False,False
27,Yaaah !,0,5,0,0,0,2,0,1,25,False,False,False,False,False
28,"Crève, charogne !",0,5,0,0,0,2,0,1,25,False,False,False,False,False
29,Sale bête !,0,5,0,0,0,2,0,1,25,False,False,False,False,False
30,C'est pas fini !,0,5,0,0,0,2,0,1,25,False,False,False,False,False
31,Misérable vermine !,0,5,0,0,0,2,0,1,25,False,False,False,False,False
32,T'en veux encore !?,0,5,0,0,0,2,0,1,25,False,False,False,False,False
33,Prends ça !,0,5,0,0,0,2,0,1,25,False,False,False,False,False
34,Raaaaaah !,0,5,0,0,0,2,0,1,25,False,False,False,False,False
35,Prépare-toi à mourir !,0,5,0,0,0,2,0,1,25,False,False,False,False,False
36,"Dégage, minable !",0,5,0,0,0,2,0,1,25,False,False,False,False,False
37,Je vais t'arracher les yeux !,0,5,0,0,0,2,0,1,25,False,False,False,False,False
38,Je vais te fairrre danser !,0,5,0,0,0,2,0,1,25,False,False,False,False,False
39,Tu veux une audience avec le rrroi ?,0,5,0,0,0,2,0,1,25,False,False,False,False,False
40,Agenouille-toi devant ton souverrrain !,0,3,0,0,0,2,0,1,25,False,False,False,False,False
41,Je veux t'entendrrre chanter !,0,3,0,0,0,2,0,1,25,False,False,False,False,False
42,Approche un peu...,0,3,0,0,0,2,0,1,25,False,False,False,False,False
