#,Destination,Location,ExpReward,SurveyDurationmin,X,Y,Z,Map,Stars,RankReq,CeruleumTankReq,SurveyDistance,StartingPoint
0,,,0,0,483,927,0,1,0,0,0,0,True
1,Écueils d'Ivoire (A),A,10610,180,640,880,100,1,1,1,1,10,False
2,Mer des noyades 1 (B),B,10610,180,570,750,300,1,1,1,1,10,False
3,Mer des noyades 2 (C),C,27840,240,740,700,300,1,1,4,1,10,False
4,Bassin sans lumière (D),D,27840,240,400,850,500,1,1,4,2,10,False
5,Mer des noyades 3 (E),E,46660,300,650,610,200,1,1,7,2,11,False
6,Sud de la fosse de Rimilala (F),F,46660,300,850,850,600,1,1,7,3,11,False
7,Détroit du Parapluie (G),G,75920,360,260,760,100,1,1,10,1,11,False
8,Trou de l'Agresseur (H),H,102600,420,120,840,100,1,2,14,1,12,False
9,Île des Néolithes (I),I,118350,420,380,660,100,1,2,17,1,12,False
10,Épave sans nom (J),J,146210,480,900,600,600,1,2,20,3,12,False
11,Haut-fond indigo (K),K,146210,480,520,550,300,1,2,20,6,12,False
12,Bassin mystérieux (L),L,174980,540,260,570,600,1,3,24,6,13,False
13,Mer des noyades 4 (M),M,200430,600,90,630,100,1,3,27,6,13,False
14,Flanc de la fosse de Rimilala (N),N,200430,600,800,550,400,1,3,27,6,13,False
15,Épave du *Découverte I* (O),O,231750,660,630,490,500,1,3,30,6,14,False
16,Île verdoyante (P),P,231750,660,290,365,100,1,3,30,6,14,False
17,Île aux monts métallifère (Q),Q,263530,720,115,350,0,1,4,34,6,14,False
18,Repaire de l'armada (R),R,292170,780,150,540,600,1,4,37,6,15,False
19,Mer des noyades 5 (S),S,292170,780,320,230,200,1,4,37,6,15,False
20,Île du purgatoire (T),T,338330,840,130,180,100,1,4,40,6,15,False
21,Mer des noyades 6 (U),U,338330,840,465,330,100,1,4,40,6,15,False
22,Large talus de la fosse de Rimilala (V),V,374020,900,555,225,600,1,5,44,6,16,False
23,Mer des noyades 7 (W),W,374020,900,710,370,300,1,5,44,6,16,False
24,Bassin des sables scintillants (X),X,406590,960,900,355,800,1,5,47,6,16,False
25,Vallée écumeuse du crépuscule (Y),Y,406590,960,210,90,100,1,5,47,6,16,False
26,Épave de *L'Avancée* (Z),Z,440990,1020,430,100,1000,1,5,50,6,17,False
27,Zone des contre-courants (AA),AA,440990,1020,830,210,800,1,5,50,6,17,False
28,Fin fond de la fosse de Rimilala (AB),AB,440990,1020,750,90,1000,1,5,50,6,17,False
29,Ruines du temple de pierre (AC),AC,440990,1020,895,100,1000,1,5,50,6,17,False
30,Ancien écrin (AD),AD,440990,1020,595,100,800,1,5,50,6,17,False
31,,,0,0,483,927,0,2,0,0,0,0,True
32,Rive sud de l'Île Zozonan (A),A,440990,480,290,750,100,2,1,50,6,12,False
33,Épave du *Marche-Vent* (B),B,440990,480,150,840,100,2,1,50,6,12,False
34,Rive nord de l'Île Zozonan (C),C,480270,540,280,570,100,2,2,54,6,13,False
35,Mer de Cendre 1 (D),D,480270,540,430,660,300,2,2,54,6,13,False
36,Sud de la Fosse crématoire (E),E,522300,600,590,750,600,2,2,57,6,14,False
37,Mer de Cendre 2 (F),F,522300,600,180,440,300,2,2,57,6,14,False
38,Mer de Cendre 3 (G),G,548410,660,350,480,300,2,3,60,6,15,False
