#,Name,Description,QuestRequirement,CRP,BSM,ARM,GSM,LTW,WVR,ALC,CUL,AnimationStart,AnimationEnd,Icon,RequiredStatus,ClassJobCategory,ClassJobLevel,Cost,ClassJob,Specialist
100000,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
100001,Travail de base,"Fait progresser la synthèse au détriment de la solidité.
Efficacité : 120
Taux de réussite : 100%",0,100001,100015,100030,100075,100045,100060,100090,100105,239,246,1501,0,9,1,0,8,False
100002,Ouvrage de base,"Augmente la qualité au détriment de la solidité.
Efficacité : 100
Taux de réussite : 100%",0,100002,100016,100031,100076,100046,100061,100091,100106,240,247,1502,0,9,5,18,8,False
100003,Réparation de maître,Restaure 30 points de solidité.,0,100003,100017,100032,100077,100047,100062,100092,100107,242,249,1952,0,9,7,88,8,False
100004,Ouvrage standard,"Augmente la qualité au détriment de la solidité.
Efficacité : 125
Taux de réussite : 100%
**Combo :** Ouvrage de base
**Bonus du combo :** coût réduit à 18 PS.",0,100004,100018,100034,100078,100048,100064,100093,100109,240,247,1516,0,9,18,32,8,False
100005,Réparation de maître II,Restaure 60 points de solidité.,0,100005,100019,100035,100079,100049,100065,100094,100110,242,249,786,0,0,1,0,-1,False
100006,Marque du vent,"Fait progresser la synthèse au détriment de la solidité.
L'efficacité est doublée si l'élément de la recette est le vent.
Efficacité : 100 (200)
Taux de réussite : 90%",0,100006,0,0,0,0,0,0,0,239,246,786,0,0,1,0,-1,False
100007,Travail standard,"Fait progresser la synthèse au détriment de la solidité.
Efficacité : 150
Taux de réussite : 90%",0,100007,100021,100037,100080,100051,100067,100096,100111,239,246,786,0,0,1,0,-1,False
100008,Ouvrage avancé,"Augmente la qualité au détriment de la solidité.
Efficacité : 150
Taux de réussite : 90%",0,100008,100022,100038,100081,100052,100068,100097,100112,240,247,786,0,0,1,0,-1,False
100009,Bénédiction de Byregot,"Augmente la qualité au détriment de la solidité.
Efficacité : 100 + 20 pour chaque bonus de contrôle accordé par Calme intérieur.
Taux de réussite : 90%
Met fin à l'effet Calme intérieur.",0,100009,0,0,0,0,0,0,0,240,247,786,0,0,1,0,-1,False
100010,Observation,Observe sans rien faire pendant un tour.,0,100010,100023,100040,100082,100053,100070,100099,100113,11586,11587,1954,0,9,13,7,8,False
100011,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
100012,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
100013,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
