#,Singular,Plural,Adjective,PossessivePronoun,StartsWithVowel,Unknown0,Pronoun,Article,Model,Action,Icon,Transient,Order,AttachmentPoint,Unknown3,Unknown4
0,,,0,0,0,1,0,0,0,0,0,0,-1,0,0,0
1,Ombrelle,Ombrelles,0,0,1,1,1,0,2939,2,8001,1,0,1,1,1
2,Ombrelle d'azur,Ombrelles d'azur,0,0,1,1,1,0,2940,2,8002,2,1,1,1,1
3,Parapluie pourpre laqué,Parapluies pourpres laqués,0,0,0,1,0,0,3007,2,8003,3,2,1,1,1
4,Parapluie mauve laqué,Parapluies mauves laqués,0,0,0,1,0,0,3008,2,8004,4,3,1,1,1
5,Parapluie doré laqué,Parapluies dorés laqués,0,0,0,1,0,0,3009,2,8005,5,4,1,1,1
6,Ombrelle à carreaux bleue,Ombrelles à carreaux bleues,0,0,1,1,1,0,3010,2,8006,6,5,1,1,1
7,Ombrelle à carreaux rouge,Ombrelles à carreaux rouges,0,0,1,1,1,0,3011,2,8007,7,6,1,1,1
8,Ombrelle à carreaux noire,Ombrelles à carreaux noires,0,0,1,1,1,0,3012,2,8008,8,7,1,1,1
9,Ailes angéliques,Ailes angéliques,0,0,1,1,1,0,3042,0,8013,100,8,2,0,2
10,Ombrelle du Gold Saucer,Ombrelles du Gold Saucer,0,0,1,1,1,0,3169,2,8012,9,9,1,1,1
11,Ombrelle bleue à pois,Ombrelles bleue à pois,0,0,1,1,1,0,3166,2,8009,10,10,1,1,1
12,Ombrelle rose à pois,Ombrelles rose à pois,0,0,1,1,1,0,3167,2,8010,11,11,1,1,1
13,Ombrelle vert d'eau à pois,Ombrelles vert d'eau à pois,0,0,1,1,1,0,3168,2,8011,12,12,1,1,1
14,Ombrelle gros minou,Ombrelles gros minou,0,0,1,1,1,0,3286,2,8014,13,13,1,1,1
15,Parapluie Serpent marin de Ronka ?,Parapluies Serpent marin de Ronka ?,0,0,0,1,0,0,3287,2,8015,14,14,1,1,1
16,Parapluie Dalamud,Parapluie Dalamud,0,0,0,1,0,0,3288,2,8016,15,15,1,1,1
17,Ailes d'ange déchu,Ailes d'ange déchu,0,0,1,1,1,0,3426,0,8017,100,16,2,0,2
18,Ailes d'archange,Ailes d'archange,0,0,1,1,1,0,3427,0,8018,100,17,2,0,2
19,Ailes de Diabolos,Ailes de Diabolos,0,0,1,1,1,0,3428,0,8019,101,18,3,0,2
20,Ailes de Pixie,Ailes de Pixie,0,0,1,1,1,0,3429,0,8020,102,19,6,0,2
21,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Mirage de lunettes ovales,Mirages de lunettes ovales,0,0,0,1,0,0,3431,0,786,200,21,5,0,2
23,Ombrelle à collerette blanche,Ombrelles à collerette blanche,0,0,1,1,1,0,3611,2,8023,16,22,1,1,1
24,Ombrelle à fleurs bleues,Ombrelles à fleurs bleues,0,0,1,1,1,0,3612,2,8024,17,23,1,1,1
25,Mirage de lunettes teintées,Mirages de lunettes teintées,0,0,0,1,0,0,3613,0,786,201,24,5,0,2
26,Mirage de lunettes classiques,Mirages de lunettes classiques,0,0,0,1,0,0,3614,0,786,202,25,7,0,2
27,Ombrelle pampa,Ombrelles pampa,0,0,1,1,1,0,3701,2,8027,18,26,1,1,1
28,Ailes de Pixie bleues,Ailes de Pixie bleues,0,0,1,1,1,0,3702,0,8028,102,27,6,0,2
29,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Parapluie Chamoiselle,Parapluies Chamoiselle,0,0,0,1,0,0,3815,2,8029,19,28,1,1,1
31,Système de protection anti-gouttes,Systèmes de protection anti-gouttes,0,0,0,1,0,0,3816,2,8030,20,29,1,1,1
32,Mirage de lunettes roses,Mirages de lunettes roses,0,0,0,1,0,0,3884,0,786,203,30,8,0,2
33,Parapluie Tsukumogami,Parapluies Tsukumogami,0,0,0,1,0,0,3885,2,8031,22,31,1,1,1
34,Parapluie Bernartisan,Parapluies Bernartisan,0,0,0,1,0,0,3886,2,8032,21,32,1,1,1
35,Sac d'explorateur,Sacs d'explorateur,0,0,0,1,0,0,3928,0,8037,300,33,9,0,2
36,Ailes de Statice,Ailes de Statice,0,0,1,1,1,0,4016,0,8034,103,34,6,0,2
37,Parapluie feuille,Parapluies feuille,0,0,0,1,0,0,4017,2,8035,24,35,1,1,1
38,Ombrelle carotte,Ombrelles carotte,0,0,1,1,1,0,4018,2,8036,23,36,1,1,1
39,Ombrelle à néons,Ombrelles à néons,0,0,1,1,1,0,4240,2,8038,25,37,1,1,1
40,Ombrelle à rubans,Ombrelles à rubans,0,0,1,1,1,0,4241,2,8039,26,38,1,1,1
41,Ombrelle bombo,Ombrelles bombo,0,0,1,1,1,0,4242,2,8040,27,39,1,1,1
42,Ombrelle mandragore,Ombrelles mandragore,0,0,1,1,1,0,4406,2,8041,28,40,1,1,1
43,Paraplœuf,Paraplœufs,0,0,0,1,0,0,4407,2,8042,29,41,1,1,1
44,Sac de voyage pelupelu,Sacs de voyage pelupelu,0,0,0,1,0,0,4408,0,8043,301,42,9,0,2
45,Ombrelle à dentelles noire,Ombrelles à dentelles noires,0,0,1,1,1,0,4512,2,8044,30,43,1,1,1
46,Ombrelle à dentelles blanche,Ombrelles à dentelles blanches,0,0,1,1,1,0,4511,2,8045,31,44,1,1,1
47,Ombrelle loporrite,Ombrelles loporrites,0,0,1,1,1,0,4513,2,8046,32,45,1,1,1
48,Torche,Torches,0,0,0,1,1,0,4577,3,8047,400,46,10,2,0
49,Ombrelle Mizutsune Felyne,Ombrelles Mizutsune Felyne,0,0,1,1,1,0,4677,2,8048,33,47,1,1,1
50,Ombrelle pixie,Ombrelles pixies,0,0,1,1,1,0,4678,2,8049,34,48,1,1,1
51,Ombrelle pixie bleue,Ombrelles pixies bleues,0,0,1,1,1,0,4679,2,8050,35,49,1,1,1
52,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,Ombrelle spriggan,Ombrelles spriggan,0,0,1,1,1,0,4817,2,8053,37,51,1,1,1
