#,EventRange,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5
4194304,0,0,0,0,0,0
4194305,10611851,0,0,0,255,0
4194306,10611861,0,0,0,255,0
4194307,10611862,0,0,0,255,0
4194308,10611864,0,0,0,255,0
4194309,10611868,0,0,0,255,0
4194310,10611881,0,0,0,255,0
4194311,11607156,0,159,0,255,0
4194312,11607157,0,159,0,255,0
4194313,11607158,0,159,0,255,0
4194314,11607159,0,159,0,255,0
4194315,11607160,0,159,0,255,0
4194316,11607161,0,159,0,255,0
4194317,0,0,159,0,255,0
4194318,0,0,159,0,255,0
4194319,0,0,159,0,255,0
4194320,0,0,159,0,255,0
