#,Tag,Icon,Order
0,Aucun,0,0
1,Échoppes,66401,1
2,Mannequins,66402,2
3,Intérieur recherché,66403,3
4,Livre de correspondance,66404,4
5,Tavernes,66405,5
6,Restaurants,66406,6
7,Jeu de rôle sérieux,66407,21
8,Café,66411,24
9,Aquarium,66408,22
10,Chapelle privée,66409,23
11,Événements,66410,50
12,Logement fleuri,66412,25
13,,0,0
14,Bibliothèque,66414,26
15,Studio photographique,66413,51
16,Maison hantée,66415,52
17,Atelier,66416,27
18,Bain public,66417,28
19,Jardin de plantes,66418,29
20,Style oriental,66419,80
21,Visiteurs bienvenus,66420,19
22,Boulangerie,66421,30
23,Intérieur en rénovation,66422,20
24,Salle de concert,66423,31
