#,StageFull,Stage,IndexText2,IndexText,IndexNpc,Unknown3,Unknown4,Unknown12,Unknown13,Unknown5,Unknown14,Unknown6,Unknown7,Unknown8,Unknown9,Unknown10,Unknown11,Unknown15,Unknown16,Unknown17,Unknown18,Unknown19,Unknown20,Unknown21,Unknown22,Unknown23,Unknown24
0,,,,,,0,0,0,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
1,"Campement bêta : coll. matériaux
**Participez aux missions cosmiques !**",Campement bêta : collecte des matériaux,Nous avons besoin de matériaux pour agrandir la station ! Merci de participer aux missions cosmiques !,"Le moment tant attendu est enfin arrivé ! Nous sommes en train de 
réunir les matériaux nécessaires à l'agrandissement de la station !",Searchingway,241001,0,0,0,158,0,0,1,0,0,2,3,0,0,0,0,0,0,0,0,0,False
2,"Campement bêta : préparation
**Tenez-vous prêts !**",Campement bêta : préparation du chantier,Un projet d'ouvrage collectif visant à agrandir la station va bientôt commencer ! Merci de participer !,"Un projet d'ouvrage collectif va bientôt être lancé en vue 
d'agrandir la station ! Venez nous filer un coup de main !",Searchingway,241001,0,0,1451,158,0,0,2,0,0,2,3,0,0,0,0,0,0,0,0,0,False
3,"Campement bêta : en cours
**Participez à l'effort collectif !**",Campement bêta : chantier en cours,Un projet d'ouvrage collectif visant à agrandir la station est en cours ! Merci de participer !,"Un projet d'ouvrage collectif vient d'être 
lancé afin d'agrandir la station !",Searchingway,241001,0,0,0,158,0,0,3,0,0,2,3,0,0,0,0,0,0,0,0,0,False
4,"Campement bêta : terminé
**Quartier libre !**",Campement bêta : chantier terminé,"L'agrandissement de la station est terminé ! L'exploration spatiale continue, merci de votre coopération !","L'agrandissement de la station est terminé ! 
Un grand merci à tous les par­ti­ci­pants !",Searchingway,241002,18,0,1406,158,0,1,4,6,0,2,3,0,0,0,0,0,0,0,0,0,False
5,"Cosmo-navette centrale : coll. matériaux
**Participez aux missions cosmiques !**",Cosmo-navette centrale : collecte des matériaux,Nous avons besoin de matériaux pour installer un système de navettes ! Merci de participer aux missions cosmiques !,"Un nouveau système de navettes pour se déplacer à travers la station 
est prévu ! Nous sommes en train de réunir les matériaux nécessaires !",Searchingway,241003,0,0,0,158,0,1,5,0,0,2,3,0,0,0,0,0,0,0,0,0,False
6,"Cosmo-navette centrale : préparation
**Tenez-vous prêts !**",Cosmo-navette centrale : préparation du chantier,Un projet d'ouvrage collectif visant à installer un système de navettes va bientôt commencer ! Merci de participer !,"Un projet d'ouvrage collectif va bientôt être lancé pour la con­struc­tion 
de la cosmo-navette centrale ! Venez nous filer un coup de main !",Searchingway,241003,0,0,1451,158,0,1,6,0,0,2,3,0,0,0,0,0,0,0,0,0,False
7,"Cosmo-navette centrale : en cours
**Participez à l'effort collectif !**",Cosmo-navette centrale : chantier en cours,Un projet d'ouvrage collectif visant à installer un système de navettes est en cours ! Merci de participer !,"Un projet d'ouvrage collectif vient d'être lancé pour 
la con­struc­tion de la cosmo-navette centrale !",Searchingway,241003,0,0,0,158,0,1,7,0,0,2,3,0,0,0,0,0,0,0,0,0,False
8,"Cosmo-navette centrale : terminée
**Quartier libre !**",Cosmo-navette centrale : chantier terminé,"L'installation du système de navettes est terminée ! L'exploration va pouvoir se poursuivre à grande vitesse, merci de votre coopération !","La con­struc­tion de la cosmo-navette centrale est terminée ! 
Un grand merci à tous les par­ti­ci­pants !",Searchingway,241004,18,1,1405,158,0,2,8,6,0,2,3,0,0,0,0,0,0,0,0,0,False
9,"Modules d'habitation/cosmoport : coll. matériaux
**Participez aux missions cosmiques !**",Modules d'habitation et cosmoport : collecte des matériaux,Nous avons besoin de matériaux pour construire des modules d'habitation et un cosmoport ! Merci de participer aux missions cosmiques !,"Nous souhaitons maintenant agrandir la station avec des modules d'habitation 
et un cosmoport ! Nous sommes en train de réunir les matériaux nécessaires !",Searchingway,241005,0,0,0,158,0,2,9,0,0,2,3,0,0,0,0,0,0,0,0,0,False
10,"Modules d'habitation : préparation
**Tenez-vous prêts !**",Modules d'habitation : préparation du chantier,Un projet d'ouvrage collectif visant à construire des modules d'habitation va bientôt commencer ! Merci de participer !,"Un projet d'ouvrage collectif va bientôt être lancé pour la con­struc­tion 
des modules d'habitation ! Venez nous filer un coup de main !",Searchingway,241005,0,0,1451,158,0,2,10,0,0,2,3,0,0,0,0,0,0,0,0,0,False
11,"Modules d'habitation : en cours
**Participez à l'effort collectif !**",Modules d'habitation : chantier en cours,Un projet d'ouvrage collectif visant à construire des modules d'habitation est en cours ! Merci de participer !,"Un projet d'ouvrage collectif vient d'être lancé pour 
la con­struc­tion des modules d'habitation !",Searchingway,241005,0,0,0,158,0,2,11,0,0,2,3,0,0,0,0,0,0,0,0,0,False
12,"Cosmoport : coll. matériaux
**Tenez-vous prêts !**",Cosmoport : collecte des matériaux,Un projet d'ouvrage collectif visant à construire un cosmoport va bientôt commencer ! Merci de participer !,"Un projet d'ouvrage collectif va bientôt être lancé pour 
la con­struc­tion du cosmoport ! Venez nous filer un coup de main !",Searchingway,241006,18,2,1401,158,0,3,12,5,0,2,3,0,0,0,0,0,0,0,0,0,False
13,"Cosmoport : en cours
**Participez à l'effort collectif !**",Cosmoport : chantier en cours,Un projet d'ouvrage collectif visant à construire un cosmoport est en cours ! Merci de participer !,"Un projet d'ouvrage collectif vient d'être lancé 
pour la con­struc­tion du cosmoport !",Searchingway,241006,0,0,0,158,0,3,12,0,0,2,3,0,0,0,0,0,0,0,0,0,False
14,"Modules d'habitation/cosmoport : terminés
**Quartier libre !**",Modules d'habitation et cosmoport : chantiers terminés,"La con­struc­tion des modules d'habitation et du cosmoport est terminée ! Notre base s'agrandit, merci de votre coopération !","La con­struc­tion des modules d'habitation et du cosmoport 
est terminée ! Un grand merci à tous les par­ti­ci­pants !",Searchingway,241007,18,3,1401,158,0,4,13,5,0,2,3,0,0,0,0,0,0,0,0,0,False
15,"Hangar bêta : coll. matériaux
**Participez aux missions cosmiques !**",Hangar bêta : collecte des matériaux,Nous avons besoin de matériaux pour agrandir le hangar des machines ! Merci de participer aux missions cosmiques !,"Nous projetons d'agrandir le hangar des machines ! 
Nous sommes en train de réunir les matériaux nécessaires !",Searchingway,241008,0,0,0,158,0,4,14,0,0,2,3,0,0,0,0,0,0,0,0,0,False
16,"Hangar bêta : préparation
**Tenez-vous prêts !**",Hangar bêta : préparation du chantier,Un projet d'ouvrage collectif visant à agrandir le hangar des machines va bientôt commencer ! Merci de participer !,"Un projet d'ouvrage collectif va bientôt être lancé pour 
l'agrandissement du hangar ! Venez nous filer un coup de main !",Searchingway,241008,0,0,1451,158,0,4,15,0,0,2,3,0,0,0,0,0,0,0,0,0,False
17,"Hangar bêta : en cours
**Participez à l'effort collectif !**",Hangar bêta : chantier en cours,Un projet d'ouvrage collectif visant à agrandir le hangar des machines est en cours ! Merci de participer !,"Un projet d'ouvrage collectif vient d'être lancé 
pour l'agrandissement du hangar !",Searchingway,241008,0,0,0,158,0,4,16,0,0,2,3,0,0,0,0,0,0,0,0,0,False
18,"Hangar bêta : terminé
**Quartier libre !**",Hangar bêta : chantier terminé,"L'agrandissement du hangar est terminé ! Les machines seront maintenant plus à l'aise, merci de votre coopération !","L'agrandissement du hangar est terminé ! 
Un grand merci à tous les par­ti­ci­pants !",Searchingway,241009,18,4,1402,158,0,5,17,5,0,2,3,0,0,0,0,0,0,0,0,0,False
19,"Cosmo-navette nord-ouest : coll. matériaux
**Participez aux missions cosmiques !**",Cosmo-navette nord-ouest : collecte des matériaux,Nous avons besoin de matériaux pour construire une cosmo-navette au nord-ouest ! Merci de participer aux missions cosmiques !,"Nous prévoyons de construire une nouvelle cosmo-navette au nord-ouest 
de la station ! Nous sommes en train de réunir les matériaux nécessaires !",Searchingway,241010,0,0,0,158,0,5,18,0,0,2,3,0,0,0,0,0,0,0,0,0,False
20,"Cosmo-navette nord-ouest : en cours
**Encore un peu de patience !**",Chantier en cours : Cosmo-navette nord-ouest,"La fin du chantier pour la con­struc­tion de la cosmo-navette nord-ouest approche ! Encore un peu de patience, et nous pourrons tous en profiter !","La fin du chantier pour la con­struc­tion de 
la cosmo-navette nord-ouest est prévue pour bientôt !",Searchingway,241010,0,0,1452,158,0,5,18,0,0,2,3,0,0,0,0,0,0,0,0,0,False
