#,Name,AchievementKind,Order,ShowComplete,HideCategory
0,,0,0,True,False
1,Général,1,1,True,False
2,Donjons,1,2,True,False
3,Défis,1,3,True,False
4,Raids,1,4,True,False
5,Contrats de chasse,1,5,True,False
6,Chasse aux trésors,1,6,True,False
7,Général,2,1,True,False
8,Classement,2,2,True,True
9,L'Antre des loups,2,3,True,False
10,Front,2,4,True,False
11,Ailes rivales,2,5,True,False
12,Général,3,1,True,False
13,Disciples de la guerre,3,2,True,False
14,Disciples de la magie,3,3,True,False
15,Disciples de la main,3,4,True,False
16,Disciples de la terre,3,5,True,False
17,Honneurs,3,6,True,False
18,Gold Saucer,3,7,True,False
19,Général,4,1,True,False
20,Devises,4,2,True,False
21,Recyclage,4,3,True,False
22,Objets collectionnables,4,4,True,False
23,Matérias,4,5,True,False
24,Menuisier,5,2,True,False
25,Forgeron,5,3,True,False
26,Armurier,5,4,True,False
27,Orfèvre,5,5,True,False
28,Tanneur,5,6,True,False
29,Couturier,5,7,True,False
30,Alchimiste,5,8,True,False
31,Cuisinier,5,9,True,False
32,Mineur,5,10,True,False
33,Botaniste,5,11,True,False
34,Pêcheur,5,12,True,False
35,Général,8,1,True,False
36,Mandats,8,4,True,False
37,Quêtes des peuples alliés,8,5,True,False
38,Événements saisonniers,8,99,True,True
39,Carnet d'exploration,11,1,True,False
40,Noscea,11,2,True,False
41,Forêt de Sombrelinceul,11,3,True,False
42,Thanalan,11,4,True,False
43,Coerthas,11,5,True,False
44,Mor Dhona,11,6,True,False
45,Abalathia,11,7,True,False
46,Dravania,11,8,True,False
47,Gyr Abania,11,9,True,False
48,Othard,11,10,True,False
49,Instances,11,100,True,False
50,Général,12,1,True,False
51,Maelstrom,12,2,True,False
52,Ordre des Deux Vipères,12,3,True,False
53,Immortels,12,4,True,False
54,Combats,13,1,True,False
55,Devises,13,2,True,False
56,Récolte,13,3,True,False
57,Quêtes,13,4,True,False
58,Événements saisonniers,13,5,True,False
59,Donjons,13,6,True,False
60,Exploration,13,7,True,False
61,Grandes compagnies,13,8,True,False
62,Armes antiques,4,6,True,False
63,Armes du zodiaque,4,7,True,False
64,Armes anima,4,8,True,False
65,Armes Donjons sans fond,4,9,True,False
66,Armes Eurêka,4,10,True,False
67,Norvrandt,11,11,True,False
68,Armes de la résistance,4,11,True,False
69,Toutes classes,5,1,True,False
70,Outils de Cielacier,4,51,True,False
71,Missions d'exploration,1,7,True,False
72,Mers du Nord,11,12,True,False
73,Ilsabard,11,13,True,False
74,Autres,11,99,True,False
75,Armes des Manderville,4,12,True,False
76,Épopée,8,2,True,False
77,Quêtes de job/rôle,8,3,True,False
78,Outils des merveilles,4,52,True,False
79,Yok Tural,11,14,True,False
80,Xak Tural,11,15,True,False
81,Armes fantômes,4,13,True,False
82,Outils cosmiques,4,53,True,False
