#,Singular,Plural,Adjective,PossessivePronoun,StartsWithVowel,Unknown0,Pronoun,Article
2000000,,,0,0,0,1,0,0
2000001,透明君※α未使用,,0,0,0,1,0,0
2000002,草むらテスト※α未使用,,0,0,0,1,0,0
2000003,クエストツールテスト※α未使用,,0,0,0,1,0,0
2000004,クエストツールテスト２※α未使用,,0,0,0,1,0,0
2000005,,,0,0,0,0,0,0
2000006,草むら※α未使用,,0,0,0,1,0,0
2000007,草むら※α未使用,,0,0,0,1,0,0
2000008,arbre de l'Orée,arbres de l'Orée,0,0,1,1,0,0
2000009,destination,destinations,0,0,0,1,1,0
2000010,œuf d'anolis,œufs d'anolis,0,0,1,1,0,0
2000011,œuf d'anolis,œufs d'anolis,0,0,1,1,0,0
2000012,œuf d'anolis,œufs d'anolis,0,0,1,1,0,0
2000013,œuf d'anolis,œufs d'anolis,0,0,1,1,0,0
2000014,œuf d'anolis,œufs d'anolis,0,0,1,1,0,0
2000015,lettre parfumée,lettres parfumées,0,0,0,1,1,0
2000016,arbre infecté,arbres infectés,0,0,1,1,0,0
2000017,arbre infecté,arbres infectés,0,0,1,1,0,0
2000018,arbre infecté,arbres infectés,0,0,1,1,0,0
2000019,épingle à cheveux,épingles à cheveux,0,0,1,1,1,0
2000020,potiron,potirons,0,0,0,1,0,0
2000021,potimarron,potimarrons,0,0,0,1,0,0
2000022,cougourde,cougourdes,0,0,0,1,1,0
2000023,citrouille,citrouilles,0,0,0,1,1,0
2000024,giraumon,giraumons,0,0,0,1,0,0
2000025,coloquinte,coloquintes,0,0,0,1,1,0
2000026,baie de rosier d'Azeyma,baies de rosier d'Azeyma,0,0,0,1,1,0
2000027,baie de rosier d'Azeyma,baies de rosier d'Azeyma,0,0,0,1,1,0
2000028,baie de rosier d'Azeyma,baies de rosier d'Azeyma,0,0,0,1,1,0
2000029,baie de rosier d'Azeyma,baies de rosier d'Azeyma,0,0,0,1,1,0
2000030,baie de rosier d'Azeyma,baies de rosier d'Azeyma,0,0,0,1,1,0
2000031,baie de rosier d'Azeyma,baies de rosier d'Azeyma,0,0,0,1,1,0
2000032,,,0,0,0,1,0,0
2000033,porte,portes,0,0,0,1,1,0
2000034,,,0,0,0,1,0,0
2000035,,,0,0,0,1,0,0
2000036,,,0,0,0,0,0,0
2000037,,,0,0,0,1,0,0
2000038,,,0,0,0,1,0,0
2000039,cellule magitek,cellules magitek,0,0,0,1,1,0
2000040,,,0,0,0,1,0,0
2000041,,,0,0,0,1,0,0
2000042,destination,destinations,0,0,0,1,1,0
2000043,cavité humide,cavités humides,0,0,0,1,1,0
2000044,cavité humide,cavités humides,0,0,0,1,1,0
2000045,cavité humide,cavités humides,0,0,0,1,1,0
2000046,sortie,sorties,0,0,0,1,1,0
2000047,,,0,0,0,1,0,0
2000048,téléporteur,téléporteurs,0,0,0,1,0,0
2000049,,,0,0,0,0,0,0
2000050,,,0,0,0,0,0,0
2000051,,,0,0,0,1,0,0
2000052,,,0,0,0,1,0,0
2000053,œuf de Leia,œufs de Leia,0,0,1,1,0,0
2000054,,,0,0,0,1,0,0
2000055,rosaire de culte,rosaires de culte,0,0,0,1,0,0
2000056,rosaire de culte,rosaires de culte,0,0,0,1,0,0
2000057,rosaire de culte,rosaires de culte,0,0,0,1,0,0
2000058,barrière magique,barrières magiques,0,0,0,1,1,0
2000059,barrière magique,barrières magiques,0,0,0,1,1,0
2000060,barrière magique,barrières magiques,0,0,0,1,1,0
2000061,orbe de culte,orbes de culte,0,0,1,1,0,0
2000062,orbe de culte,orbes de culte,0,0,1,1,0,0
2000063,orbe de culte,orbes de culte,0,0,1,1,0,0
2000064,cocon des abysses,cocons des abysses,0,0,0,1,0,0
2000065,pont de pierre,ponts de pierre,0,0,0,1,0,0
2000066,sortie,sorties,0,0,0,1,1,0
2000067,orbe de culte,orbes de culte,0,0,1,1,0,0
2000068,,,0,0,0,1,0,0
2000069,,,0,0,0,1,0,0
2000070,brûle-parfum,brûle-parfums,0,0,0,1,0,0
2000071,brûle-parfum,brûle-parfums,0,0,0,1,0,0
2000072,sonnette,sonnettes,0,0,0,1,1,0
2000073,tableau des ventes,tableaux des ventes,0,0,0,1,0,0
2000074,,,0,0,0,0,0,0
2000075,destination,destinations,0,0,0,1,1,0
2000076,destination,destinations,0,0,0,1,1,0
2000077,destination,destinations,0,0,0,1,1,0
2000078,destination,destinations,0,0,0,1,1,0
2000079,,,0,0,0,0,0,0
2000080,,,0,0,0,0,0,0
2000081,,,0,0,0,0,0,0
2000082,,,0,0,0,0,0,0
2000083,,,0,0,0,0,0,0
2000084,,,0,0,0,0,0,0
2000085,,,0,0,0,0,0,0
2000086,,,0,0,0,0,0,0
2000087,sortie,sorties,0,0,0,1,1,0
2000088,lit confortable,lits confortables,0,0,0,1,0,0
2000089,terre foulée,terres foulées,0,0,0,1,1,0
2000090,,,0,0,0,0,0,0
2000091,,,0,0,0,0,0,0
2000092,,,0,0,0,0,0,0
2000093,affiche humide,affiches humides,0,0,1,1,1,0
2000094,affiche humide,affiches humides,0,0,1,1,1,0
2000095,affiche humide,affiches humides,0,0,1,1,1,0
2000096,affiche humide,affiches humides,0,0,1,1,1,0
2000097,affiche humide,affiches humides,0,0,1,1,1,0
2000098,affiche humide,affiches humides,0,0,1,1,1,0
2000099,affiche humide,affiches humides,0,0,1,1,1,0
2000100,cellule magitek,cellules magitek,0,0,0,1,1,0
2000101,cellule magitek,cellules magitek,0,0,0,1,1,0
2000102,cellule magitek,cellules magitek,0,0,0,1,1,0
2000103,cellule magitek,cellules magitek,0,0,0,1,1,0
2000104,cellule magitek,cellules magitek,0,0,0,1,1,0
2000105,cellule magitek,cellules magitek,0,0,0,1,1,0
2000106,cellule magitek,cellules magitek,0,0,0,1,1,0
2000107,cellule magitek,cellules magitek,0,0,0,1,1,0
2000108,cellule magitek,cellules magitek,0,0,0,1,1,0
2000109,cellule magitek,cellules magitek,0,0,0,1,1,0
2000110,cellule magitek,cellules magitek,0,0,0,1,1,0
2000111,,,0,0,0,1,0,0
2000112,,,0,0,0,1,0,0
2000113,,,0,0,0,1,0,0
2000114,,,0,0,0,1,0,0
2000115,,,0,0,0,1,0,0
2000116,terminal magitek,terminaux magitek,0,0,0,1,0,0
2000117,,,0,0,0,1,0,0
2000118,terminal magitek,terminaux magitek,0,0,0,1,0,0
2000119,terminal magitek,terminaux magitek,0,0,0,1,0,0
2000120,,,0,0,0,1,0,0
2000121,,,0,0,0,1,0,0
2000122,terminal magitek,terminaux magitek,0,0,0,1,0,0
2000123,terminal magitek,terminaux magitek,0,0,0,1,0,0
2000124,,,0,0,0,1,0,0
2000125,transporteur magitek,transporteurs magitek,0,0,0,1,0,0
2000126,transporteur magitek,transporteurs magitek,0,0,0,1,0,0
2000127,transporteur magitek,transporteurs magitek,0,0,0,1,0,0
2000128,boule de pollen,boules de pollen,0,0,0,1,1,0
2000129,boule de pollen,boules de pollen,0,0,0,1,1,0
2000130,boule de pollen,boules de pollen,0,0,0,1,1,0
2000131,boule de pollen,boules de pollen,0,0,0,1,1,0
2000132,boule de pollen,boules de pollen,0,0,0,1,1,0
2000133,,,0,0,0,1,0,0
2000134,,,0,0,0,1,0,0
2000135,,,0,0,0,1,0,0
2000136,trace de pas effacée,traces de pas effacées,0,0,0,1,1,0
2000137,boule de pollen,boules de pollen,0,0,0,1,1,0
2000138,boule de pollen,boules de pollen,0,0,0,1,1,0
2000139,sortie,sorties,0,0,0,1,1,0
2000140,arbrisseau,arbrisseaux,0,0,1,1,0,0
2000141,carnet de mesures,carnets de mesures,0,0,0,1,0,0
2000142,arbrisseau,arbrisseaux,0,0,1,1,0,0
2000143,borne indicatrice,bornes indicatrices,0,0,0,1,1,0
2000144,borne indicatrice,bornes indicatrices,0,0,0,1,1,0
2000145,agaric luisant,agarics luisants,0,0,1,1,0,0
