#,Name,Icon,Unknown0,Priority,Unknown1,List,Unknown2
0,,0,0,0,False,False,False
1,Assurance qualité,61532,0,0,True,False,False
2,Maître de jeu,61524,0,0,True,False,False
3,Maître de jeu,61532,0,0,False,False,False
4,Participe à un événement,61533,3940,0,False,False,False
5,Déconnecté(e),61503,3942,0,False,False,False
6,En attente de réponse (requête d'ami),61501,0,1,False,True,False
7,En attente de réponse (linkshell),61501,0,2,False,True,False
8,En attente de réponse (compagnie libre),61501,0,3,False,True,False
9,Introuvable,61502,0,4,False,True,False
10,Hors ligne,61504,0,5,False,True,False
11,Mentor de combat,61542,3947,6,False,True,False
12,Occupé(e),61509,3943,7,False,True,False
13,JcJ,61510,0,8,False,True,False
14,Triple Triade,61539,0,9,False,True,False
15,Cinématique,61508,3951,10,False,True,False
16,À dos de chocobo de relais,61534,0,12,False,True,False
17,Absent(e),61511,3952,13,False,True,False
18,Mode caméra,61546,3953,14,False,True,False
19,Cherche un réparateur,61512,0,15,False,True,False
20,Cherche à réparer,61513,0,16,False,True,False
21,Sertisseur(se) de matérias,61514,0,17,False,True,True
22,Jeu de rôle,61545,3941,18,False,True,False
23,Cherche une équipe,61515,3954,19,False,True,False
24,Mercenaire,61516,0,20,False,True,False
25,Enregistré(e) dans l'outil de mission,61517,3950,21,False,True,False
26,Recrute des équipiers,61536,3955,22,False,True,False
27,Mentor,61540,3946,31,False,True,False
28,Mentor (combats),61542,3947,32,False,True,False
29,Mentor (artisanat/récolte),61543,3948,33,False,True,False
30,Mentor (JcJ),61544,3949,34,False,True,False
31,Rappelé(e),61547,3945,35,False,True,False
32,Novice,61523,3944,36,False,True,False
33,Chef d'alliance,61518,0,23,False,True,False
34,Chef d'équipe d'une alliance,61519,0,24,False,True,False
35,Membre d'équipe d'une alliance,61520,0,25,False,True,False
36,Chef d'équipe,61521,3956,26,False,True,False
37,Membre d'équipe,61522,3957,27,False,True,False
38,Chef d'équipe (inter-Monde),61961,3958,28,False,True,True
39,Membre d'équipe (inter-Monde),61962,3959,29,False,True,True
40,En mission (inter-Mondes),61535,0,30,False,True,False
41,En mission commune,61506,0,0,False,False,False
42,En mission identique (autre groupe),61507,0,0,False,False,False
43,En mission,61510,0,11,False,True,False
44,Aventurier à l'essai,61525,0,38,False,True,False
45,Compagnie libre,0,0,0,False,False,False
46,Grande compagnie,0,0,0,False,False,False
47,En ligne,61505,0,37,False,True,False
