#,Name,TopImage,BottomImage,UnlockCondition,Unknown_70_1,Unknown_70_2,Unknown4,Unknown5,FontColor,Unknown2,Unknown1,Unknown0,Category
0,Aucun,196001,196251,1,0,0,0,0,0,0,0,0,0
1,Noir transparent,196002,196252,1,0,0,0,3,1,0,0,0,1
2,Dégradé gris,196003,196253,1,0,0,0,1,1,0,0,0,1
3,Dégradé violet,196004,196254,1,0,0,0,2,1,0,0,0,1
4,Blanc cassé,196005,196255,1,0,0,0,5,2,0,0,0,1
5,Lance,196006,196256,1,0,0,0,9,1,0,0,0,1
6,Classique,196007,196257,1,0,0,0,10,1,0,0,0,1
7,Planche de bois,196008,196258,1,0,0,0,7,2,0,0,0,1
8,Bleu transparent,196009,196259,1,0,0,0,4,1,0,0,0,1
9,Bois,196010,196260,1,0,0,0,6,1,0,0,0,1
10,Parchemin,196011,196261,1,0,0,0,8,1,0,0,0,1
11,Abîme infini de Bahamut (fatal),196101,0,319,0,0,0,2500,1,0,0,0,4
12,Fantasmagorie d'Ultima (fatal),196102,0,320,0,0,0,2501,1,0,0,0,4
13,Odyssée d'Alexander (fatal),196103,0,321,0,0,0,2502,1,0,0,0,4
14,Guerre du chant des dragons (fatal),196104,0,322,0,0,0,2503,1,0,0,0,4
15,Quêtes des Omicrons,196216,196466,344,0,0,0,2315,1,0,0,0,3
16,Musical,196012,196262,347,0,0,0,22,1,0,0,0,7
17,Style oriental,196013,196263,1,0,0,0,23,1,0,0,0,1
18,Rubans décoratifs limséen,196014,196264,346,0,0,0,1000,1,0,0,0,9
19,Rubans décoratifs gridaniens,196015,196265,346,0,0,0,1001,1,0,0,0,9
20,Rubans décoratifs uldiens,196016,196266,346,0,0,0,1002,1,0,0,0,9
21,Quêtes des Pixies,196212,196462,429,0,0,0,2311,1,0,0,0,3
22,Quêtes des Qitari,196213,196463,430,0,0,0,2312,1,0,0,0,3
23,Quêtes des Nains,196214,196464,431,0,0,0,2313,1,0,0,0,3
24,Quêtes des Arkasodaras,196215,196465,432,0,0,0,2314,1,0,0,0,3
25,Quêtes des Loporrites,196217,196467,433,0,0,0,2316,1,0,0,0,3
26,Protocole Oméga (fatal),196105,0,434,0,0,0,2504,1,0,0,0,4
27,Quêtes des Kojin,196210,196460,524,0,0,0,2308,1,0,0,0,3
28,Quêtes des Anantas,196209,196459,525,0,0,0,2309,2,0,0,0,3
29,Quêtes des Namazu,196211,196461,526,0,0,0,2310,1,0,0,0,3
30,10e anniversaire,196106,0,523,0,0,0,3950,1,0,0,0,7
31,Grand pêcheur,196107,0,529,0,0,0,2346,1,0,0,0,8
32,Pêcheur de légendes,196108,0,530,0,0,0,2347,1,0,0,0,8
33,Tuiles essentielles,196109,196351,531,0,0,0,2350,1,0,0,0,8
34,Quêtes des Vanu Vanu,196206,196456,567,0,0,0,2305,1,0,0,0,3
35,Quêtes des Gnathes,196207,196457,568,0,0,0,2306,1,0,0,0,3
36,Quêtes des Mogs,196208,196458,569,0,0,0,2307,1,0,0,0,3
37,Le Mythe éorzéen,196113,0,572,0,0,0,2252,1,0,0,0,3
38,La Tarufacture de Tataru,196112,0,573,0,0,0,2250,1,0,0,0,3
39,Aventures imaginaires de Khloe,196110,0,570,0,0,0,2351,2,0,0,0,8
40,Touché-tourné,196111,0,571,0,0,0,2352,1,0,0,0,8
41,Blunderville 1,196114,0,575,0,0,0,3951,1,0,0,0,7
42,Blunderville 2,196115,0,576,0,0,0,3952,1,0,0,0,7
43,Blunderville 3,196116,0,577,0,0,0,3953,1,0,0,0,7
44,Yo-kai Watch,196117,0,607,0,0,0,3954,1,0,0,0,7
45,Quêtes des Kobolds,196204,196454,694,0,0,0,2302,1,0,0,0,3
46,Quêtes des Sylphes,196202,196452,695,0,0,0,2301,1,0,0,0,3
47,Quêtes des Amalj'aa,196201,196451,696,0,0,0,2300,1,0,0,0,3
48,Quêtes des Sahuagins,196205,196455,697,0,0,0,2303,2,0,0,0,3
49,Quêtes des Ixali,196203,196453,698,0,0,0,2304,1,0,0,0,3
50,Tuliyollal 1,196062,0,701,0,0,0,1036,1,0,0,0,9
51,Tuliyollal 2,196063,0,702,0,0,0,1037,1,0,0,0,9
52,Solution Neuf 1,196064,0,699,0,0,0,1038,1,0,0,0,9
53,Solution Neuf 2,196065,0,700,0,0,0,1039,2,0,0,0,9
54,Quêtes des Pelupelu,196218,196468,767,0,0,0,2317,1,0,0,0,3
55,Ishgard 1,196054,0,768,0,0,0,1020,1,0,0,0,9
56,Ishgard 2,196072,0,769,0,0,0,1021,1,0,0,0,9
57,Idyllée 1,196055,0,770,0,0,0,1022,2,0,0,0,9
58,Idyllée 2,196073,0,771,0,0,0,1023,1,0,0,0,9
59,Kugane 1,196056,0,772,0,0,0,1024,1,0,0,0,9
60,Kugane 2,196068,0,773,0,0,0,1025,2,0,0,0,9
61,L'Étendue de Rhalgr 1,196057,0,774,0,0,0,1026,1,0,0,0,9
62,L'Étendue de Rhalgr 2,196069,0,775,0,0,0,1027,1,0,0,0,9
63,Cristarium 1,196058,0,776,0,0,0,1028,1,0,0,0,9
64,Cristarium 2,196070,0,777,0,0,0,1029,1,0,0,0,9
65,Eulmore 1,196059,0,778,0,0,0,1030,1,0,0,0,9
66,Eulmore 2,196071,0,779,0,0,0,1031,1,0,0,0,9
67,Vieille Sharlayan 1,196060,0,780,0,0,0,1032,1,0,0,0,9
68,Vieille Sharlayan 2,196066,0,781,0,0,0,1033,2,0,0,0,9
69,Radz-at-Han 1,196061,0,782,0,0,0,1034,1,0,0,0,9
70,Radz-at-Han 2,196067,0,783,0,0,0,1035,1,0,0,0,9
71,Futures Rewritten,196118,0,872,0,0,0,2505,1,0,0,0,4
72,Quêtes des Mamool Ja,196219,196469,873,0,0,0,2318,1,0,0,0,3
73,Île de Lunule,196119,0,879,0,0,0,2403,1,0,0,0,4
74,Exploration cosmique 1,196120,0,878,0,0,0,2343,1,0,0,0,8
75,Monster Hunter Wilds 1,196121,0,943,0,0,0,3955,1,0,0,0,7
76,Monster Hunter Wilds 2,196122,0,944,0,0,0,3956,1,0,0,0,7
77,Quêtes des Yok Huy,196220,196470,938,0,0,0,2319,1,0,0,0,3
78,Exploration cosmique 2,196123,0,940,0,0,0,2344,1,0,0,0,8
79,Félicité insulaire 3,196124,196352,939,0,0,0,2342,1,0,0,0,8
80,Exploration cosmique 3,196125,0,1020,0,0,0,2345,1,0,0,0,8
81,Style épuré 1,196017,0,1044,0,0,0,24,2,0,0,0,7
82,Style épuré 2,196018,0,1045,0,0,0,25,2,0,0,0,7
83,Style épuré 3,196019,0,1046,0,0,0,26,2,0,0,0,7
84,Style épuré 4,196020,0,1047,0,0,0,27,2,0,0,0,7
85,Style épuré 5,196021,0,1048,0,0,0,28,2,0,0,0,7
86,Style épuré 6,196022,0,1049,0,0,0,29,2,0,0,0,7
87,Style épuré 7,196023,0,1050,0,0,0,30,2,0,0,0,7
88,Style épuré 8,196024,0,1051,0,0,0,31,2,0,0,0,7
89,,0,0,0,0,0,0,0,0,0,0,0,0
90,,0,0,0,0,0,0,0,0,0,0,0,0
