#,InternalName,Name,DataCenter,Unknown0,UserType,Unknown1,Region,Unknown2,IsPublic
0,crossworld,Dev,0,0,0,0,0,False,False
1,reserved1,Dev,0,0,0,0,0,False,False
2,c-contents,c-contents,0,0,0,13,1,True,False
3,c-whiteae,c-whiteae,1,1,1,13,1,False,False
4,c-baudinii,c-baudinii,0,0,0,13,1,False,False
5,c-contents2,c-contents2,0,0,0,13,1,True,False
6,c-funereus,c-funereus,1,1,1,13,1,False,False
16,,,0,0,0,0,0,False,False
21,Ravana,Ravana,9,9,7,1,1,False,True
22,Bismarck,Bismarck,9,9,7,1,1,False,True
23,Asura,Asura,3,3,1,1,1,False,True
24,Belias,Belias,10,10,1,1,1,False,True
25,Chaos,Chaos,0,0,1,1,1,False,False
26,Hecatoncheir,Hecatoncheir,0,0,1,1,1,False,False
27,Moomba,Moomba,0,0,1,1,1,False,False
28,Pandaemonium,Pandaemonium,3,3,1,1,1,False,True
29,Shinryu,Shinryu,10,10,1,1,1,False,True
30,Unicorn,Unicorn,10,10,1,1,1,False,True
31,Yojimbo,Yojimbo,10,10,1,1,1,False,True
32,Zeromus,Zeromus,10,10,1,1,1,False,True
33,Twintania,Twintania,7,7,5,1,1,False,True
34,Brynhildr,Brynhildr,8,8,3,1,1,False,True
35,Famfrit,Famfrit,5,5,3,1,1,False,True
36,Lich,Lich,7,7,5,1,1,False,True
37,Mateus,Mateus,8,8,3,1,1,False,True
38,Shemhazai,Shemhazai,0,0,3,1,1,False,False
39,Omega,Omega,6,6,5,1,1,False,True
40,Jenova,Jenova,4,4,3,1,1,False,True
41,Zalera,Zalera,8,8,3,1,1,False,True
42,Zodiark,Zodiark,7,7,5,1,1,False,True
43,Alexander,Alexander,2,2,1,1,1,False,True
44,Anima,Anima,3,3,1,1,1,False,True
45,Carbuncle,Carbuncle,1,1,1,1,1,False,True
46,Fenrir,Fenrir,2,2,1,1,1,False,True
47,Hades,Hades,3,3,1,1,1,False,True
48,Ixion,Ixion,3,3,1,1,1,False,True
49,Kujata,Kujata,1,1,1,1,1,False,True
50,Typhon,Typhon,1,1,1,1,1,False,True
51,Ultima,Ultima,2,2,1,1,1,False,True
52,Valefor,Valefor,10,10,1,1,1,False,True
53,Exodus,Exodus,5,5,3,1,1,False,True
54,Faerie,Faerie,4,4,3,1,1,False,True
55,Lamia,Lamia,5,5,3,1,1,False,True
56,Phoenix,Phoenix,7,7,5,1,1,False,True
57,Siren,Siren,4,4,3,1,1,False,True
58,Garuda,Garuda,1,1,1,1,1,False,True
59,Ifrit,Ifrit,2,2,1,1,1,False,True
