#,Description,DescriptionEnhanced,Tooltip
0,,,
1,Vous appelez le chocobo de bataille que votre grande compagnie vous a alloué.,"Les grandes compagnies se fournissent auprès des meilleurs haras ishgardais pour obtenir leurs montures. Les roussins sont destinés aux soldats de taille moyenne, les robustes destriers aux Roegadyns, et les petits genets belahdiens aux Lalafells.",Kwé !
2,,,
3,,,
4,La corne de forme étrange que vous a donnée le ménestrel errant vous permet d'appeler un énorme goobbue.,"Le ménestrel errant vous a offert en gage de recon­nais­san­ce une corne magique permettant d'appeler un goobbue. Ces animaux ne sont généralement pas dociles, mais celui-ci est semble-t-il un mélomane qui a suivi le barde durant ses voyages dans tout Éorzéa, charmé par sa musique.",(bâillement)
5,Le ravage du continent par le Fléau et cinq longues années n'ont pas réussi à affecter ce courageux animal. Il sera à vos côtés d'un simple coup de sifflet.,"Vous ne pensiez pas revoir votre chère monture après votre saut dans l'avenir. C'était sans compter sur la fidélité et la ténacité de votre chocobo, qui a su vous retrouver après avoir erré cinq ans sans jamais accepter d'autre maître.",Kwéé !!
6,"Vous pouvez appeler à vous une armure magitek, qui a été modifiée par les ingénieurs des Forges de Garlond sous la direction de Cid.","Une armure magitek impériale de type faucheuse. Cid et ses ingénieurs l'ont modifiée, en incorporant notamment un noyau magnétique similaire à ceux utilisés dans la fabrication des pantins.",Identification en cours...
7,,,
8,"Vous pouvez appeler un coeurl de combat, entraîné depuis son plus jeune âge pour voir en vous une amie... et non pas de la nourriture.","À l'état sauvage, ces félins sont redoutés pour leur incroyable rapidité et leur férocité. Mais au Proche-Orient, dont ils sont originaires, ils sont dressés grâce à des méthodes par­ti­cu­liè­res inconnues des Éorzéens et sont utilisés comme monture. Le vôtre aurait été élevé à Thavnair.",(feulement)
9,"Vous appelez votre monture ahriman, une entité entraînée pour garder toujours l'œil sur vous.","Le néant est une dimension par nature méconnue, mais les savants s'accordent généralement pour hiérarchiser les créatures qui l'habitent sur douze rangs. Les ahrimans feraient partie du cinquième.",(regard fixe)
10,,,
11,,,
12,,,
13,,,
14,,,
15,"Vous appelez l'étrange licorne que vous avez rencontrée dans la Sylve, peut-être une des dernières de son espèce.","Rares sont ceux qui ont l'occasion d'apercevoir un de ces nobles équidés, même dans leur Coerthas natal. Cette licorne a décidé de rester à vos côtés après que vous l'avez soignée.",Hiiiiiii !!
16,,,
17,,,
18,"Vous appelez votre monture béhémoth. Ce jeune béhémoth vigoureux a été élevé par l'homme, il est apprivoisé.","Immédiatement après le Fléau, un aventurier voyageant dans une région reculée du Coerthas a trouvé des bébés béhémoth dont la mère avait péri dans les flammes de Bahamut. Il les a élevés et est parvenu à les dresser, à la surprise de tous ses proches.",Grrr...
19,"Vous appelez votre monture draconide. Élevé par la Ligue des cendres, ce draconide de combat est habitué à la présence humaine.","Le dressage d'un draconide de cavalerie est un processus long et ardu. Séparés im­mé­dia­te­ment de leur mère, ils sont rapidement sevrés par leur dresseur, qui les nourrit de glandes calorifères de vieux draconides pour s'assurer qu'ils soient à la fois dociles et meurtriers.",Ssss...
20,Vous appelez votre monture goobbue couronné. Ce goobbue est un bon ami des Sylphes.,"Les Dénaturés se sont méchamment amusés à arracher la mousse qui recouvrait le crâne de ce goobbue. Le chef des Sylphes du Refuge a eu pitié de lui et l'a soigné, puis lui a con­fec­tion­né une couronne de lauriers pour cacher ses cicatrices.",Hmph...
21,Vous pouvez appeler à vous une armure magitek. Ce modèle de type faucheuse bénéficie d'un revêtement spécial résistant à la magie.,Garlemald a vite réalisé après quelques combats contre l'Alliance éorzéenne que ses armures ne faisaient pas le poids face à la puissance des mages. L'Empire a alors mis au point ce prototype revêtu d'un enduit doré capable de résister aux attaques magiques.,Autorisation en cours...
22,"Vous appelez l'alicorne de jais. Cette licorne fauve a été apprivoisée, mais elle reste ex­trê­me­ment belliqueuse et implacable.","Personne ne sait pourquoi les Asciens ont décidé d'offrir ces bêtes féroces aux tribus barbares. Elles sont de nature agressive et tenace, mais également com­plè­te­ment loyales à ceux qui possèdent une flûte enchantée.", . . . . . 
23,,,
24,,,
25,Vous appelez votre monture gros chocobo. Assurez-vous qu'il y ait assez de place afin qu'il ne reste pas coincé dans le décor.,"Gros est un euphémisme pour décrire cet animal. Sa gloutonnerie n'est jamais satisfaite, et il ne bougera pas une plume pour vous... à moins que vous ne lui  promettiez des légumes de Gysahl, auquel cas rien ne l'arrêtera !",Kwouf... Kwouf...
26,"Vous appelez votre monture elbst. Élevé par Pahh de la Couvée de Novv, cet elbst est habitué à la présence humaine.","Pahh à la Couvée de Novv coupe la palmure de ces elbsts lorsqu'ils sont jeunes afin qu'ils soient capables de courir sur terre aussi vite que les chocobos. Mal­heu­reu­se­ment, ce procédé réduit leur vitesse de nage.",Splrrr...
27,Vous appelez votre balancelle bombo. Ce banc suspendu est tracté par des bombos gazeux. Ne pas appeler en présence de flammes.,"Après avoir compris que ses bombos ne seraient jamais des explosifs satisfaisants, l'acolyte du 789e ordre Ba Go a décidé de faire la seule chose raisonnable : attacher les créatures à un banc pour en faire un véhicule.",(crépitement)
28,"Vous appelez Aithon, le destrier légendaire d'Ifrit. Son souffle est empreint de flammes brûlantes comme la braise.","On raconte que le Primordial Ifrit, le Seigneur des flammes, a forgé ce destrier à partir d'une alicorne de jais offerte en sacrifice par les Amalj'aa.", . . . . . 
29,"Vous appelez Xanthos, le destrier légendaire de Garuda. Il file comme le vent, ou plutôt les rafales cinglantes de sa maîtresse.","On raconte que la Primordiale Garuda, la Souffleuse de rafales, a créé ce destrier à partir d'une alicorne de jais offerte en sacrifice par les Ixali.", . . . . . 
30,"Vous appelez Gullfaxi, le destrier légendaire de Titan. Il frappe la terre de ses sabots avec conviction.","On raconte que le Primordial Titan, l'Ébranleur des terres, a conçu ce destrier à partir d'une alicorne de jais offerte en sacrifice par les Kobolds.", . . . . . 
31,"Vous appelez Enbarr, le destrier légendaire de Léviathan. La légende dit qu'il serait né d'une écume magique.","On raconte que le Primordial Léviathan, le Déchaîneur des marées, a donné naissance à ce destrier à partir d'une alicorne de jais offerte en sacrifice par les Sahuagins.", . . . . . 
32,Vous appelez votre monture lion de guerre. Ce fauve majestueux a été entraîné au combat. Il a la prestance d'un roi des animaux.,"Les lions ont été importés du Proche-Orient afin de servir de montures aux casques d'argent. Jugés trop im­pré­vi­si­bles, ceux qui n'ont pas été vendus au Colisée ont été relâchés dans le Thanalan, et ils sont finalement retournés à l'état sauvage.",Grooaaar !
33,Vous appelez votre monture ours de guerre. Cet ursidé imposant a été entraîné au combat. Il a tenu tête à de nombreux adversaires.,"Autrefois, les guerriers en quête de gloire avaient coutume de s'aventurer dans les montagnes septentrionales d'Abalathia à la recherche de féroces grizzlys pour les combattre et les soumettre par la force. Ceux qui survivaient revenaient dans leur village en chevauchant fièrement leur nouvelle monture.",Grrr !
34,Vous appelez un robuste chocobo capable de supporter le poids de deux cavaliers.,"Les premiers chocobos de cette race ont été découverts et capturés par des chasseurs ishgardais en quête de la légendaire forêt des chocobos. Leur taille et leur robustesse en font d'excellents animaux de bât, mais leur tempérament violent les rend impropres à la monte.",Kwé Kwé Kwééé !
35,"Vous appelez un terrifiant loup sinistre, descendant d'une ancienne race de loup de guerre.","Les loups sinistres étaient considérés comme une race éteinte jusqu'à ce que des Ixali découvrent une meute isolée dans les vallées de Xelphatol. Après avoir capturé quelques louveteaux, ils les ont élevés, non sans difficultés, pour en faire des montures de guerre. Ils sont énormes, et ex­trê­me­ment loyaux.",Aouuuh !
36,"Vous appelez votre cheval de guerre du Maelstrom, en prétendant que votre chocobo ne se sent pas délaissé.","Après une campagne réussie de promotion des chevaux par l'uma bugyô venu de l'Est, la popularité de ces animaux n'a cessé de croître parmi les aventuriers. Les grandes compagnies ont décidé d'offrir ces nobles montures aux soldats se distinguant au combat.",Brrr !
37,"Vous appelez votre cheval de guerre de l'ordre des Deux Vipères, en prétendant que votre chocobo ne se sent pas délaissé.","Après une campagne réussie de promotion des chevaux par l'uma bugyô venu de l'Est, la popularité de ces animaux n'a cessé de croître parmi les aventuriers. Les grandes compagnies ont décidé d'offrir ces nobles montures aux soldats se distinguant au combat.",Brrr !
38,"Vous appelez votre cheval de guerre des Immortels, en prétendant que votre chocobo ne se sent pas délaissé.","Après une campagne réussie de promotion des chevaux par l'uma bugyô venu de l'Est, la popularité de ces animaux n'a cessé de croître parmi les aventuriers. Les grandes compagnies ont décidé d'offrir ces nobles montures aux soldats se distinguant au combat.",Brrr !
39,,,
40,"Vous appelez Markab, le destrier légendaire de Ramuh. Son hennissement crépite comme la foudre.","On raconte que le Primordial Ramuh, le Patriarche fulgurant, a engendré ce destrier à partir d'une alicorne de jais offerte en sacrifice par les Sylphes.", . . . . . 
41,Vous appelez votre chocobo de cérémonie. Cette monture parée d'une barde destinée au lien éternel permet de monter à deux.,"Ce fier volatile élevé dans l'un des meilleurs haras ishgardais a été dressé pour parader lors de cérémonies. Issus de croisements précis, il possède un plumage d'un blanc immaculé et un caractère des plus dociles.",Kwé...
42,"Vous appelez Sleipnir, le terrible destrier d'Odin. Ses yeux brillent d'un éclat rouge malveillant.","Ce destrier à l'allure terrifiante aurait reçu ses pouvoirs surnaturels d'Odin, le Chevalier des ombres. Lorsqu'il galope, sa crinière rouge sang ondule comme pour annoncer leur trépas à ceux qui ont la malchance de croiser son chemin.", . . . . . 
43,"Vous appelez Boréas, le destrier légendaire de Shiva. Il glace l'air de son souffle.","On raconte que Shiva, la Furie des neiges, aurait choisi une licorne du Coerthas pour souffler un froid glacial sur les terres qu'elle parcourait. C'est en recevant ce pouvoir que la créature aurait changé d'apparence.", . . . . . 
