#,Name,Impression,Description,Level,MinLevel,PlaceName,IconList,IconDiscovered,IconUndiscovered,Emote,MinTime,MaxTime,MaxLevel,IsInitial
2162688,Quais du barracuda,"Avant de déjeuner, les gourmets limséens savent d'où regarder les trois navires de guerre aux voiles écarlates qui sont le fleuron de la marine du Maelstrom.","Ce lieu est celui où sont amarrés les navires de guerre du Maelstrom. Son accès est interdit au public pour des raisons de sécurité, mais les curieux savent d'où admirer la puissante armada, notamment son célèbre vaisseau étendard, le Triomphe.",4876856,0,27,81501,81001,81451,22,800,1159,0,True
2162689,Astalicia,"Le soir, les pirates éméchés aiment se tenir au bout d'un espar pour admirer le port sous un ciel étoilé... avant d'attraper un badaud pour s'amuser à le pendre.","Cet imposant galion appartient à l'équipage pirate des Bourreaux. Bien qu'il soit enregistré comme navire marchand étranger, tout Limsa Lominsa sait qu'il est la propriété de l'illustre Hyllfyr et sert de repaire aux corsaires et autres coupe-jarrets.",4876859,0,27,81502,81002,81451,22,1800,459,0,True
2162690,Stèle du chant marin,"Les pêcheurs superstitieux ne manquent jamais d'aller prier à l'entrée d'une grotte pour leurs camarades disparus avant de partir en mer, lorsque la pluie joue un requiem pour leurs âmes.","Érigée à la mémoire des marins disparus, cette stèle porte l'inscription “Je suis la vague qui porte, je suis le vent qui guide. Je suis l'étoile qui brille dans la nuit, je suis le calme blanc du matin. Je suis né dans la mer, et c'est en elle que je mourrai...”",4876905,0,30,81503,81003,81451,58,500,759,0,True
2162691,Ascenciel,"Lorsqu'ils prennent une pause l'après-midi, les convoyeurs noscéens aiment admirer les ballons qui transportent les marchandises au-dessus de la mer.","Cette installation gérée par les convoyeurs limséens permet de transporter les mar­chan­di­ses à l'aide de palans et de ballons le long de La Descente, un précipice apparu lors du septième fléau au beau milieu de la plaine de la Noscea centrale.",4876907,0,30,81504,81004,81451,22,1200,1659,0,True
2162692,Route orientale de la Thagran,"Lorsqu'ils se sentent d'humeur grisâtre, les casaques jaunes n'hésitent pas à monter sur une palissade pour admirer la Noscea avant le milieu de la journée.","Cet axe de circulation, qui relie la Noscea centrale à la Noscea orientale, a reçu le nom de Guy la Thagran, un navigateur élézen qui s'est illustré en explorant l'île de Vylbrand en compagnie de son camarade Jean de Nevelle lorsque le Galadion s'y est échoué.",4876912,0,30,81505,81005,81451,22,800,1159,0,True
2162693,Atolls de sel,"L'un des avantages de la vie de gardien de phare, c'est de pouvoir se tenir sur le bord du promontoire pour observer la plage, lorsque la nuit tombe.","Un fragment de Dalamud tombé lors du Fléau a libéré l'éther du sol, provoquant la formation d'un imposant cristal corrompu qui, à son tour, a causé l'agglomération des sels de mer projetés vers le ciel sous la force de l'impact.",4876920,0,31,81508,81008,81451,22,1800,459,0,True
2162694,Métairie du Coq rouge,"La vie de métayer requiert de se lever tôt, mais c'est aussi la chance d'admirer les baraques et les clôtures prendre forme dans la brume matinale, debout sur les tuiles.","Outre ses potagers expérimentaux, cette ex­ploi­ta­tion fait aussi l'élevage de dodos et de moutons. Son nom viendrait d'un combat de coqs, un rouge et un blanc, qui aurait dégénéré en bagarre et fini avec les deux volailles et les spectateurs couverts de sang.",4876921,0,31,81509,81009,81451,22,500,759,0,True
2162695,Phare des Brasseurs,"L'œil qui veille sur les navires la nuit est celui qui a la meilleure vue sur la baie, lorsque les premiers rayons de soleil font leur apparition.","Bâti pour remplacer la tour du Martinet détruite lors du Fléau, ce phare tire son nom du fait qu'il guide les navires passant par Port-aux-Ales. Il permet aussi d'observer les murs qui doivent protéger la côte contre les raz-de-marée du Primordial Léviathan.",4876926,0,33,81513,81013,81451,22,500,759,0,True
2162696,Guilde des tanneurs,"Le travail du cuir est une telle fierté à Gridania que les enfants grimpent souvent sur les cadres de séchage pour admirer les tanneurs à l'ouvrage, lorsqu'il fait gris l'après-midi.","Le métier de la tannerie est une des plus grandes fiertés de Gridania. Pratiquant leur artisanat dans le respect des matériaux que leur fournit la forêt, les membres de cette guilde ont créé leur propre marque de produits de haute qualité, Les Atours de Fen-Yll.",4868036,0,39,81527,81027,81452,22,1200,1659,0,True
2162697,Chutes de l'Apkallu,"Les garnements gridaniens sont bien agiles. Trompant la vigilance de leurs parents, ils vont se percher sur les lampadaires pour admirer le reflet des étoiles dans l'eau vive.","Appréciées pour le son rassérénant qu'elles produisent, ces chutes d'eau tirent leur nom d'une tentative échouée d'élevage d'apkallus. À la fin de la 6e ère astrale, le sage Louisoix s'y rendait souvent pour méditer lors de ses visites à Gridania.",4876928,0,39,81528,81028,81452,22,1800,459,0,True
2162698,Ranch de Brancharquée,"Il n'est pas donné à tout le monde de voir les Mogs, mais il y en a un grand que chacun peut admirer tranquillement par un bel après-midi, en s'asseyant sur une souche.","Ce ranch est géré par la compagnie des Montures Mog. Les chocobos y sont élevés sous les in­struc­tions d'un dresseur venu d'Ishgard, une nation dont les destriers à plumes font la fierté. Le ballon à têtes de Mog à l'entrée est un célèbre symbole de l'endroit.",4877070,0,54,81530,81030,81452,50,1200,1659,0,True
2162699,Sanctuaire des Douze,"Lorsque la lumière matinale vient faire étinceler l'eau, alors l'air se remplit d'une atmosphère bénie qui force même les moins croyants à prier au seuil de la béatitude.","Bâti pour obtenir la protection des Douze contre les famines et les épidémies qui ont suivi la grande glaciation, ce vieil édifice longtemps délaissé a été restauré après le septième fléau avec l'aide des Gridaniens pour recevoir de nouveau la faveur des Dieux.",4877071,0,55,81535,81035,81452,58,800,1159,0,True
2162700,Le Refuge,"Même sans savoir voler, les humains peuvent, avec un peu d'agilité, grimper sur les branches pour admirer le paysage depuis le toit naturel d'une demeure sylphe, par une belle nuit.","Ayant fui leurs semblables, les Sylphes qui vivent ici sont opposés à l'invocation du Primordial Ramuh. Grâce à leur magie, ces êtres volants savent modeler les végétaux pour créer d'étranges habitations suspendues aux arbres, bien à l'abri des dangers.",4877072,0,55,81536,81036,81452,22,1800,459,0,True
