#,Icon,Hint,HintItem,UnlockLink,FeatureID,Unknown0,IsPurchasable
0,0,0,0,0,0,0,False
1,131001,0,0,0,1,0,False
2,131002,0,0,0,2,0,False
3,131003,0,0,0,3,0,False
4,131004,0,0,0,4,0,False
5,131005,0,0,0,5,0,False
6,131006,0,0,0,6,0,False
7,131007,0,0,0,7,0,False
8,131008,0,0,0,8,0,False
9,131009,0,0,0,9,0,False
10,131010,0,0,0,10,0,False
11,131011,0,0,0,11,0,False
12,131012,0,0,0,12,0,False
13,131013,0,0,0,13,0,False
14,131014,0,0,0,14,0,False
15,131015,0,0,0,51,0,False
16,131016,0,0,0,52,0,False
17,131017,0,0,0,53,0,False
18,131018,0,0,0,54,0,False
19,131020,640,14970,303,101,0,True
20,131022,0,0,0,104,0,False
21,131021,0,0,0,102,0,False
22,131023,0,0,0,105,0,False
23,131019,641,0,228,61,0,True
24,131024,0,0,0,106,0,False
25,131025,0,0,0,107,0,False
26,131026,0,0,0,108,0,False
27,131028,0,0,0,111,0,False
28,131029,639,10084,243,112,0,True
29,131027,0,0,0,109,0,False
30,131030,0,0,0,114,0,False
31,131031,0,0,0,116,0,False
32,131032,0,0,0,117,0,False
33,131033,0,0,0,120,0,False
34,131034,0,0,0,121,0,False
35,131035,639,13704,287,125,0,True
36,131036,639,13705,286,129,0,True
37,131037,0,0,0,122,0,False
38,131038,0,0,0,126,0,False
39,131039,0,0,0,127,0,False
40,131040,0,0,0,131,0,False
41,131041,0,0,0,132,0,False
42,131042,0,0,0,124,0,False
43,131043,0,0,0,135,0,False
44,131044,0,0,0,136,0,False
45,131045,0,0,0,137,0,False
46,131046,639,15612,321,143,0,True
47,131047,0,0,0,123,0,False
48,131048,0,0,0,141,0,False
49,131049,0,0,0,142,0,False
50,131050,639,16703,302,145,0,True
51,131051,0,0,0,146,0,False
52,131052,0,0,0,148,0,False
53,131053,639,17471,337,147,0,True
54,131054,639,17472,338,150,0,True
55,131055,0,0,0,140,0,False
56,131056,0,0,0,149,0,False
57,131057,0,0,0,138,0,False
58,131058,0,0,0,151,0,False
59,131059,0,0,0,152,0,False
60,131060,0,0,0,153,0,False
61,131061,639,23369,267,154,0,True
62,131062,639,23370,268,155,0,True
63,131063,639,24232,399,113,0,True
64,131064,639,24233,397,156,0,True
65,131065,639,24234,398,157,0,True
66,131066,639,24801,230,158,0,True
67,131067,639,24802,231,160,0,True
68,131068,0,0,0,161,0,False
69,131069,639,27970,413,162,0,True
70,131070,639,28615,79,164,0,True
71,131071,639,30113,72,165,0,True
72,131072,639,31406,280,166,0,True
73,131073,639,31407,281,167,0,True
74,131074,639,32835,66,168,0,True
75,131075,639,32836,67,169,0,True
76,131076,639,33706,419,170,0,True
77,131077,639,33707,420,163,0,True
78,131078,639,33708,421,171,0,True
79,131079,639,38442,441,128,0,True
80,131080,639,38443,442,173,0,True
81,131081,639,39472,447,174,0,True
82,131082,639,39473,448,175,0,True
83,131083,639,40601,460,177,0,True
84,131084,639,41465,476,176,0,True
85,131085,0,0,0,178,0,False
86,131086,639,43606,483,179,0,True
87,131087,639,44506,485,180,0,True
88,131088,639,44507,486,181,0,True
89,131089,639,44866,487,182,0,True
90,131090,639,44867,488,183,0,True
91,131091,639,44865,489,184,0,True
92,131092,639,47986,538,185,0,True
93,131093,639,47987,539,186,0,True
94,131094,639,46798,550,187,0,True
95,131095,639,46797,552,188,0,True
96,131096,639,46796,551,189,0,True
97,131097,639,50324,573,190,0,True
98,131098,639,50325,574,191,0,True
99,131099,639,50326,575,192,0,True
100,250000,639,50327,576,193,0,True
101,0,0,0,0,0,0,False
102,0,0,0,0,0,0,False
103,0,0,0,0,0,0,False
104,0,0,0,0,0,0,False
105,0,0,0,0,0,0,False
106,0,0,0,0,0,0,False
107,0,0,0,0,0,0,False
108,0,0,0,0,0,0,False
109,0,0,0,0,0,0,False
110,0,0,0,0,0,0,False
111,0,0,0,0,0,0,False
112,0,0,0,0,0,0,False
113,0,0,0,0,0,0,False
114,0,0,0,0,0,0,False
115,0,0,0,0,0,0,False
116,0,0,0,0,0,0,False
117,0,0,0,0,0,0,False
118,0,0,0,0,0,0,False
119,0,0,0,0,0,0,False
120,0,0,0,0,0,0,False
121,0,0,0,0,0,0,False
122,0,0,0,0,0,0,False
123,0,0,0,0,0,0,False
124,0,0,0,0,0,0,False
125,0,0,0,0,0,0,False
126,0,0,0,0,0,0,False
127,0,0,0,0,0,0,False
128,0,0,0,0,0,0,False
129,0,0,0,0,0,0,False
130,0,0,0,0,0,0,False
131,131201,0,0,0,1,0,False
132,131202,0,0,0,2,0,False
133,131203,0,0,0,3,0,False
134,131204,0,0,0,4,0,False
135,131205,0,0,0,5,0,False
136,131206,0,0,0,6,0,False
137,131207,0,0,0,7,0,False
138,131208,0,0,0,8,0,False
139,131209,0,0,0,9,0,False
140,131210,0,0,0,10,0,False
141,131211,0,0,0,11,0,False
142,131212,0,0,0,12,0,False
143,131213,0,0,0,13,0,False
144,131214,0,0,0,14,0,False
145,131215,0,0,0,15,0,False
146,131216,0,0,0,51,0,False
147,131217,0,0,0,52,0,False
148,131218,0,0,0,53,0,False
149,131219,0,0,0,54,0,False
150,131221,640,14970,303,101,0,True
151,131223,0,0,0,104,0,False
152,131222,0,0,0,102,0,False
153,131224,0,0,0,105,0,False
154,131220,641,0,228,61,0,True
155,131225,0,0,0,106,0,False
156,131226,0,0,0,107,0,False
157,131227,0,0,0,108,0,False
158,131229,0,0,0,111,0,False
159,131230,639,10084,243,112,0,True
160,131228,0,0,0,110,0,False
161,131231,0,0,0,115,0,False
162,131232,0,0,0,118,0,False
163,131233,0,0,0,119,0,False
164,131234,0,0,0,120,0,False
165,131235,0,0,0,121,0,False
166,131236,639,13704,287,125,0,True
167,131237,639,13705,286,130,0,True
168,131238,639,13703,290,133,0,True
169,131239,0,0,0,122,0,False
170,131240,0,0,0,126,0,False
171,131241,0,0,0,127,0,False
172,131242,0,0,0,131,0,False
173,131243,0,0,0,132,0,False
174,131244,0,0,0,124,0,False
175,131245,0,0,0,135,0,False
176,131246,0,0,0,136,0,False
177,131247,0,0,0,137,0,False
178,131248,639,15613,322,144,0,True
179,131249,0,0,0,123,0,False
180,131250,0,0,0,141,0,False
181,131251,0,0,0,142,0,False
182,131252,639,16703,302,145,0,True
183,131253,0,0,0,146,0,False
184,131254,0,0,0,148,0,False
185,131255,639,17471,337,147,0,True
186,131256,639,17472,338,150,0,True
187,131257,0,0,0,140,0,False
188,131258,0,0,0,149,0,False
189,131259,0,0,0,138,0,False
190,131260,0,0,0,151,0,False
191,131261,0,0,0,152,0,False
192,131262,0,0,0,153,0,False
193,131263,639,23369,267,154,0,True
194,131264,639,23370,268,155,0,True
195,131265,639,24232,399,113,0,True
196,131266,639,24233,397,156,0,True
197,131267,639,24234,398,157,0,True
198,131268,639,24801,230,159,0,True
199,131269,639,24802,231,160,0,True
200,131270,0,0,0,161,0,False
201,131271,639,27970,413,162,0,True
202,131272,639,28615,79,164,0,True
203,131273,639,30113,72,165,0,True
204,131274,639,31406,280,166,0,True
205,131275,639,31407,281,167,0,True
206,131276,639,32835,66,168,0,True
207,131277,639,32836,67,169,0,True
208,131278,639,33706,419,170,0,True
209,131279,639,33707,420,163,0,True
210,131280,639,33708,421,171,0,True
211,131281,639,36812,435,172,0,True
212,131282,639,38442,441,128,0,True
213,131283,639,38443,442,173,0,True
214,131284,639,39472,447,174,0,True
215,131285,639,39473,448,175,0,True
216,131286,639,40601,460,177,0,True
217,131287,639,41465,476,176,0,True
218,131288,0,0,0,178,0,False
219,131289,639,43606,483,179,0,True
220,131290,639,44506,485,180,0,True
221,131291,639,44507,486,181,0,True
222,131292,639,44866,487,182,0,True
223,131293,639,44867,488,183,0,True
224,131294,639,44865,489,184,0,True
225,131295,639,47986,538,185,0,True
226,131296,639,47987,539,186,0,True
227,131297,639,46798,550,187,0,True
228,131298,639,46797,552,188,0,True
229,131299,639,46796,551,189,0,True
230,250100,639,50324,573,190,0,True
231,250101,639,50325,574,191,0,True
232,250102,639,50326,575,192,0,True
233,250103,639,50327,576,193,0,True
234,0,0,0,0,0,0,False
235,0,0,0,0,0,0,False
236,0,0,0,0,0,0,False
237,0,0,0,0,0,0,False
238,0,0,0,0,0,0,False
239,0,0,0,0,0,0,False
240,0,0,0,0,0,0,False
241,0,0,0,0,0,0,False
242,0,0,0,0,0,0,False
243,0,0,0,0,0,0,False
244,0,0,0,0,0,0,False
245,0,0,0,0,0,0,False
246,0,0,0,0,0,0,False
247,0,0,0,0,0,0,False
248,0,0,0,0,0,0,False
249,0,0,0,0,0,0,False
250,0,0,0,0,0,0,False
251,0,0,0,0,0,0,False
252,0,0,0,0,0,0,False
253,0,0,0,0,0,0,False
254,0,0,0,0,0,0,False
255,0,0,0,0,0,0,False
256,0,0,0,0,0,0,False
257,0,0,0,0,0,0,False
258,0,0,0,0,0,0,False
259,0,0,0,0,0,0,False
260,0,0,0,0,0,0,False
261,131501,0,0,0,1,0,False
262,131502,0,0,0,2,0,False
263,131503,0,0,0,3,0,False
264,131504,0,0,0,4,0,False
265,131505,0,0,0,5,0,False
266,131506,0,0,0,6,0,False
267,131507,0,0,0,7,0,False
268,131508,0,0,0,8,0,False
269,131509,0,0,0,9,0,False
270,131510,0,0,0,10,0,False
271,131511,0,0,0,11,0,False
272,131512,0,0,0,12,0,False
273,131513,0,0,0,13,0,False
274,131514,0,0,0,51,0,False
275,131515,0,0,0,52,0,False
