#,Unknown0,ClassPlural,VoiceLine,ClassSingular
0,,,0,
1,Alphinaud,Académicien,8202013,Academician
2,Alisaie,Mage rouge,8202027,Red Mage
3,Thancred,Pistosabreur,8202052,Gunbreaker
4,Minfilia,Prêtresse de la Lumière,8202069,Oracle of Light
5,Urianger,Astromancien,8202080,Astrologian
6,Y'shtola,Sorcière,8202110,Sorceress
7,Ryne,Prêtresse de la Lumière,8202069,Oracle of Light
8,Lyna,Capitaine de la garde,8202144,Guard Captain
9,Exarque du Cristal,Prodige universel,8202128,All-Rounder
10,G'raha Tia,Prodige universel,8202346,All-Rounder
11,Alphinaud,Sage,8203013,Sage
12,Estinien,Chevalier dragon,8203064,Dragoon
13,Urianger,Lithomancien,8202092,Lithomancer
14,Venat,Prodige universel,8203122,All-Rounder
15,Emet-Selch,Troisième siège,8203219,The Third Seat
16,Hythlodaeus,Scrutateur des âmes,8203239,Soulseer
17,Maraudeur volontaire,Maraudeur,0,Marauder
18,Maître d'hast volontaire,Maître d'hast,0,Lancer
19,Occultiste volontaire,Occultiste,0,Thaumaturge
20,Élémentaliste volontaire,Élémentaliste,0,Conjurer
21,Maraudeur des Héritiers,Maraudeur,0,Marauder
22,Maître d'hast des Héritiers,Maître d'hast,0,Lancer
23,Occultiste des Héritiers,Occultiste,0,Thaumaturge
24,Élémentaliste des Héritiers,Élémentaliste,0,Conjurer
25,Maraudeur du Maelstrom,Maraudeur,0,Marauder
26,Maître d'hast des Deux Vipères,Maître d'hast,0,Lancer
27,Occultiste des Immortels,Occultiste,0,Thaumaturge
28,Élémentaliste des Deux Vipères,Élémentaliste,0,Conjurer
29,Varshahn,Satrape,8203440,Satrap
30,Ysayle,Cœur-de-glace,0,Oracle of Frost
31,Chevalier ishgardais,Templier chevalier,0,Temple Knight
32,Lancier ishgardais,Templier lancier,0,Temple Banneret
33,Chirurgienne ishgardaise,Templière chirurgienne,0,Temple Chirurgeon
34,Haurchefant,Templier chevalier,0,Chivalric Knight
35,Pero Roggo,Poroggo,0,Poroggo
36,Aymeric,Capitaine général,0,Lord Commander
37,Chevalier des Fortemps,Chevalier,0,Knight
38,Lancier des Fortemps,Lancier,0,Banneret
39,Archère des Fortemps,Archère,0,Archer
40,Thancred,Héritier,0,Archon
41,Zero,Manieuse de mémorias,8203467,Memoriate
42,Y'shtola,Héritière,0,Archon
43,Carvallain,Maraudeur,0,Marauder
44,Lyse,Pugiliste,0,Pugilist
45,Gosetsu,Samouraï,0,Samurai
46,Hien,Samouraï,0,Samurai
47,Jeune Mol,Chamane,0,Shaman
48,Yugiri,Ninja,0,Ninja
49,Intrépide de Doma,Samouraï,0,Samurai
50,Prêtre de Doma,Prêtre,0,Fushi
51,Combattant de l'armée de libération,Gladiateur,0,Gladiator
52,Piquière de l'armée de libération,Piquière,0,Pikedancer
53,Arenvald,Gladiateur,0,Gladiator
54,Lyse,Pugiliste,0,Pugilist
55,Raubahn,Taureau d'Ala Mhigo,0,Champion Gladiator
56,J'moldva,Maître d'hast,0,Lancer
57,Wuk Lamat,Guerrière de l'Aurore,8205048,Intrepid
58,Zoraal Ja,Rôdeur vipère,8205115,Viper
59,Koana,Innovateur,8205098,Innovator
60,Krile,Pictomancienne,8205029,Pictomancer
61,Sphene,Vitaliste,8206020,Zoemancer
