#,Name,Description,Cost,Icon,FCRank,Order,Purchasable
0,,,0,0,0,0,True
1,Feu du combat,L'expérience obtenue au combat augmente de 5% pendant 24 heures (temps réel).,3500,64213,5,1,True
2,Terre et eau,L'expérience obtenue en récoltant augmente de 5% pendant 24 heures (temps réel).,3500,64215,5,2,True
3,Être en bonnes mains,L'expérience obtenue en synthétisant augmente de 5% pendant 24 heures (temps réel).,3500,64216,5,3,True
4,Meilleur ami de l'homme,L'expérience obtenue par le compagnon augmente de 10% pendant 24 heures (temps réel).,2800,64214,5,4,True
5,Marque des vainqueurs,Les marques de loup obtenues augmentent de 5% pendant 24 heures (temps réel).,2800,64217,5,5,True
6,Solde accrue,Les sceaux de grande compagnie obtenus augmentent de 5% pendant 24 heures (temps réel).,2800,64218,5,6,True
7,Un nouveau monde,Les ca­rac­té­ris­ti­ques des combattants et des mages de niveau inférieur ou égal à 25 augmentent de 10% pendant 24 heures (temps réel).,1750,64201,5,8,True
8,Vivre de la terre,La collecte des récolteurs augmente de 5 pendant 24 heures (temps réel).,2800,64202,5,9,True
9,Avoir le coup d'œil,Le Savoir-faire des récolteurs augmente de 5 pendant 24 heures (temps réel).,2800,64203,5,10,True
10,La main qui nourrit,L'habileté des artisans augmente de 5 pendant 24 heures (temps réel).,2800,64204,5,11,True
11,Passer maître,Le contrôle des artisans augmente de 5 pendant 24 heures (temps réel).,2800,64205,5,12,True
12,Union parfaite,La symbiose augmente plus facilement pendant 24 heures (temps réel).,3500,64209,5,13,True
13,À boire et à manger,La durée de l'effet des repas est allongée de 5 minutes pendant 24 heures (temps réel).,2800,64208,5,14,True
14,Protections protégées,La perte de condition des équipements est réduite de 10% pendant 24 heures (temps réel).,3500,64210,5,15,True
15,La grande forme,La durée de Sprint est augmentée de 25% dans les cités pendant 24 heures (temps réel).,2800,64220,5,16,True
16,Prix d'ami,Le coût en gils des téléportations est réduit de 20% pendant 24 heures (temps réel).,3500,64212,5,17,True
17,Gros lot,Le gain de PGS au Gold Saucer est augmenté de 5% pendant 24 heures (temps réel).,2800,64219,5,7,True
18,,,0,0,0,0,False
19,,,0,0,0,0,False
20,,,0,0,0,0,False
21,,,0,0,0,0,False
22,,,0,0,0,0,False
23,,,0,0,0,0,False
24,,,0,0,0,0,False
25,,,0,0,0,0,False
26,,,0,0,0,0,False
27,,,0,0,0,0,False
28,,,0,0,0,0,False
29,,,0,0,0,0,False
30,,,0,0,0,0,False
31,Feu du combat II,L'expérience obtenue au combat augmente de 10% pendant 24 heures (temps réel).,7000,64238,8,18,True
32,Terre et eau II,L'expérience obtenue en récoltant augmente de 10% pendant 24 heures (temps réel).,7000,64240,8,19,True
33,Être en bonnes mains II,L'expérience obtenue en synthétisant augmente de 10% pendant 24 heures (temps réel).,7000,64241,8,20,True
34,Meilleur ami de l'homme II,L'expérience obtenue par le compagnon augmente de 15% pendant 24 heures (temps réel).,7000,64239,8,21,True
35,Marque des vainqueurs II,Les marques de loup obtenues augmentent de 10% pendant 24 heures (temps réel).,7000,64242,8,22,True
36,Solde accrue II,Les sceaux de grande compagnie obtenus augmentent de 10% pendant 24 heures (temps réel).,7000,64243,8,23,True
37,Un nouveau monde II,Les ca­rac­té­ris­ti­ques des combattants et des mages de niveau inférieur ou égal à 49 augmentent de 5% pendant 24 heures (temps réel).,3500,64226,8,25,True
38,Vivre de la terre II,La collecte des récolteurs augmente de 10 pendant 24 heures (temps réel).,7000,64227,8,26,True
39,Avoir le coup d'œil II,Le Savoir-faire des récolteurs augmente de 10 pendant 24 heures (temps réel).,7000,64228,8,27,True
40,La main qui nourrit II,L'habileté des artisans augmente de 10 pendant 24 heures (temps réel).,7000,64229,8,28,True
41,Passer maître II,Le contrôle des artisans augmente de 10 pendant 24 heures (temps réel).,7000,64230,8,29,True
42,Union parfaite II,La symbiose augmente plus facilement pendant 24 heures (temps réel).,7000,64234,8,30,True
43,À boire et à manger II,La durée de l'effet des repas est allongée de 10 minutes pendant 24 heures (temps réel).,7000,64233,8,31,True
44,Protections protégées II,La perte de condition des équipements est réduite de 20% pendant 24 heures (temps réel).,7000,64235,8,32,True
