#,Quest,Unknown2,Image[0],Image[1],Image[2],Image[3],Image[4],Image[5],Image[6],Image[7],Image[8],Image[9],Image[10],Text[0],Text[1],Text[2],Text[3],Text[4],Text[5],Text[6],Text[7],Text[8],Text[9],Text[10],Unknown0,Unknown1
0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,31,0,0,0,0,0,0,0,0,0,0,0
4.1,0,0,0,86001,0,0,0,0,0,0,0,0,0,32,33,34,0,0,0,0,0,0,0,0,0,0
4.2,0,0,0,86002,86003,0,0,0,0,0,0,0,0,35,36,37,38,0,0,0,0,0,0,0,0,0
4.3,0,0,0,86004,86005,86006,0,0,0,0,0,0,0,39,40,41,42,0,0,0,0,0,0,0,0,0
4.4,0,0,0,0,86007,0,0,0,0,0,0,0,0,43,44,45,46,0,0,0,0,0,0,0,0,0
4.5,0,0,0,0,86008,86009,0,0,0,0,0,0,0,47,48,49,50,51,0,0,0,0,0,0,0,0
4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,52,53,54,55,56,57,58,0,0,0,0,0,0
4.7,0,0,0,0,86010,86011,86012,86013,86014,86015,0,0,0,59,60,61,62,63,64,65,66,67,0,0,0,0
4.8,0,0,0,86016,0,180501,0,0,0,0,0,0,0,68,69,70,71,72,0,0,0,0,0,0,0,0
4.9,0,0,0,86017,86018,0,0,180502,0,0,0,0,0,73,74,75,76,77,78,0,0,0,0,0,0,0
4.10,0,0,0,0,180503,180504,0,0,180505,0,0,0,0,79,80,81,82,83,84,85,0,0,0,0,0,0
4.11,0,0,0,0,180506,0,0,0,0,0,0,0,0,86,87,88,89,90,488,0,0,0,0,0,0,0
4.12,0,0,0,0,180507,0,0,0,0,0,0,0,0,91,92,93,0,0,0,0,0,0,0,0,0,0
4.13,0,0,0,86019,0,0,0,0,0,0,0,0,0,94,95,0,0,0,0,0,0,0,0,0,0,0
5.0,0,0,0,0,86020,0,0,0,0,0,0,0,0,97,98,99,0,0,0,0,0,0,0,0,0,0
5.1,0,0,0,0,0,180508,0,0,0,0,0,0,0,100,101,102,103,104,105,0,0,0,0,0,0,0
5.2,0,0,0,86045,86046,0,180513,0,0,0,0,0,0,115,116,117,118,119,0,0,0,0,0,0,0,0
6.0,0,0,0,86021,0,0,0,0,0,0,0,0,0,122,123,124,0,0,0,0,0,0,0,0,0,0
6.1,0,0,0,86022,86023,86024,86025,0,0,0,0,0,0,125,126,127,128,129,0,0,0,0,0,0,0,0
6.2,0,0,0,86026,86027,86028,86029,86030,86031,0,0,0,0,130,131,132,133,134,135,136,0,0,0,0,0,0
6.3,0,0,0,86032,86033,86034,0,0,0,0,0,0,0,137,138,139,140,141,0,0,0,0,0,0,0,0
6.4,0,0,0,86035,0,0,0,0,0,0,0,0,0,142,143,0,0,0,0,0,0,0,0,0,0,0
6.5,0,0,0,86036,0,0,0,0,0,0,0,0,0,144,145,146,0,0,0,0,0,0,0,0,0,0
7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.0,0,0,0,86039,0,0,0,0,0,0,0,0,0,153,154,0,0,0,0,0,0,0,0,0,0,0
8.1,0,0,0,86040,86041,86042,0,0,0,0,0,0,0,155,156,157,158,0,0,0,0,0,0,0,0,0
8.2,0,0,0,86043,86044,0,0,0,0,0,0,0,0,159,160,161,0,0,0,0,0,0,0,0,0,0
9.0,0,0,180509,0,180510,180511,0,0,180512,0,86143,0,0,107,108,109,110,111,112,113,114,486,487,0,0,0
10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,164,0,0,0,0,0,0,0,0,0,0,0
10.1,0,0,0,0,0,0,0,0,0,0,0,0,0,165,166,0,0,0,0,0,0,0,0,0,0,0
10.2,0,0,0,0,0,0,0,0,0,0,0,0,0,167,168,0,0,0,0,0,0,0,0,0,0,0
10.3,0,0,0,0,0,0,0,0,0,0,0,0,0,169,170,0,0,0,0,0,0,0,0,0,0,0
10.4,0,0,0,0,0,0,0,0,0,0,0,0,0,171,172,0,0,0,0,0,0,0,0,0,0,0
10.5,0,0,0,0,0,0,0,0,0,0,0,0,0,173,174,0,0,0,0,0,0,0,0,0,0,0
10.6,0,0,0,0,0,0,0,0,0,0,0,0,0,175,176,0,0,0,0,0,0,0,0,0,0,0
10.7,0,0,0,86047,0,0,0,0,0,0,0,0,0,177,178,179,0,0,0,0,0,0,0,0,0,0
10.8,0,0,0,0,0,0,0,0,0,0,0,0,0,180,181,0,0,0,0,0,0,0,0,0,0,0
10.9,0,0,0,0,0,0,0,0,0,0,0,0,0,182,183,0,0,0,0,0,0,0,0,0,0,0
10.10,0,0,0,0,0,0,0,0,0,0,0,0,0,184,185,0,0,0,0,0,0,0,0,0,0,0
10.11,0,0,0,0,0,0,0,0,0,0,0,0,0,186,187,0,0,0,0,0,0,0,0,0,0,0
10.12,0,0,0,0,0,0,0,0,0,0,0,0,0,188,189,0,0,0,0,0,0,0,0,0,0,0
10.13,0,0,0,86048,86049,86050,86051,86052,0,0,0,0,0,190,191,192,193,194,195,0,0,0,0,0,0,0
10.14,0,0,0,0,0,0,0,0,0,0,0,0,0,196,197,0,0,0,0,0,0,0,0,0,0,0
10.15,0,0,0,0,0,0,0,0,0,0,0,0,0,198,199,0,0,0,0,0,0,0,0,0,0,0
10.16,0,0,0,0,0,0,0,0,0,0,0,0,0,537,538,0,0,0,0,0,0,0,0,0,0,0
10.17,0,0,0,0,0,0,0,0,0,0,0,0,0,552,553,0,0,0,0,0,0,0,0,0,0,0
11.0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,202,0,0,0,0,0,0,0,0,0,0,0
11.1,0,0,0,86053,0,0,0,0,0,0,0,0,0,203,204,205,0,0,0,0,0,0,0,0,0,0
11.2,0,0,0,86054,0,0,0,0,0,0,0,0,0,206,207,0,0,0,0,0,0,0,0,0,0,0
11.3,0,0,0,86055,0,0,0,0,0,0,0,0,0,208,209,210,0,0,0,0,0,0,0,0,0,0
11.4,0,0,0,0,0,0,0,0,0,0,0,0,0,211,212,0,0,0,0,0,0,0,0,0,0,0
11.5,0,0,0,86056,0,0,0,0,0,0,0,0,0,213,214,215,0,0,0,0,0,0,0,0,0,0
11.6,0,0,0,86057,0,0,0,0,0,0,0,0,0,216,217,218,0,0,0,0,0,0,0,0,0,0
11.7,0,0,0,86058,0,0,0,0,0,0,0,0,0,219,220,221,0,0,0,0,0,0,0,0,0,0
11.8,0,0,0,86059,0,0,0,0,0,0,0,0,0,222,223,224,0,0,0,0,0,0,0,0,0,0
12.0,69275,0,0,0,0,0,0,0,0,0,0,0,0,226,227,0,0,0,0,0,0,0,0,0,1000,0
12.1,69276,0,0,0,0,0,0,0,0,0,0,0,0,228,229,0,0,0,0,0,0,0,0,0,1001,0
12.2,69277,0,0,0,0,0,0,0,0,0,0,0,0,230,231,0,0,0,0,0,0,0,0,0,1002,0
12.3,69278,0,0,0,0,0,0,0,0,0,0,0,0,232,233,0,0,0,0,0,0,0,0,0,1003,0
12.4,69279,0,0,0,0,0,0,0,0,0,0,0,0,234,235,0,0,0,0,0,0,0,0,0,1004,0
12.5,69280,0,0,0,0,0,0,0,0,0,0,0,0,236,237,0,0,0,0,0,0,0,0,0,1005,0
12.6,69281,0,0,0,0,0,0,0,0,0,0,0,0,238,239,0,0,0,0,0,0,0,0,0,1006,0
12.7,69282,0,0,0,0,0,0,0,0,0,0,0,0,240,241,0,0,0,0,0,0,0,0,0,1007,0
12.8,69283,0,0,0,0,0,0,0,0,0,0,0,0,242,243,0,0,0,0,0,0,0,0,0,1008,0
12.9,69284,0,0,0,0,0,0,0,0,0,0,0,0,244,245,0,0,0,0,0,0,0,0,0,1009,0
12.10,69285,0,0,0,0,0,0,0,0,0,0,0,0,246,247,0,0,0,0,0,0,0,0,0,1010,0
13.0,0,0,0,0,0,0,0,0,0,0,0,0,0,249,250,0,0,0,0,0,0,0,0,0,0,0
13.1,0,0,0,0,0,0,0,0,0,0,0,0,0,251,252,0,0,0,0,0,0,0,0,0,0,0
13.2,0,0,0,0,0,0,0,0,0,0,0,0,0,315,316,0,0,0,0,0,0,0,0,0,0,0
14.0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,255,0,0,0,0,0,0,0,0,0,0,0
14.1,0,0,0,0,0,0,0,0,0,0,0,0,0,256,257,0,0,0,0,0,0,0,0,0,0,0
14.2,0,0,0,0,0,0,0,0,0,0,0,0,0,258,259,0,0,0,0,0,0,0,0,0,0,0
14.3,0,0,0,0,0,0,0,0,0,0,0,0,0,260,261,0,0,0,0,0,0,0,0,0,0,0
14.4,0,0,0,0,0,0,0,0,0,0,0,0,0,262,263,0,0,0,0,0,0,0,0,0,0,0
15.0,0,0,0,0,0,0,0,0,0,0,0,0,0,265,266,0,0,0,0,0,0,0,0,0,0,0
15.1,0,0,0,0,0,0,0,0,0,0,0,0,0,267,268,0,0,0,0,0,0,0,0,0,0,0
16.0,0,0,0,86113,0,0,0,0,0,0,0,0,0,270,271,0,0,0,0,0,0,0,0,0,0,0
16.1,0,0,0,86114,0,0,0,0,0,0,0,0,0,272,273,274,0,0,0,0,0,0,0,0,0,0
16.2,0,0,0,86115,0,0,0,0,0,0,0,0,0,275,276,0,0,0,0,0,0,0,0,0,0,0
17.0,0,0,0,86273,0,0,0,0,0,0,0,0,0,278,279,0,0,0,0,0,0,0,0,0,0,0
