#,Singular,Plural,Description,Name,Adjective,PossessivePronoun,StartsWithVowel,Unknown_70_4,Pronoun,Article,Model,Icon,Unknown_70_8,Style
0,,,,,0,0,0,1,0,0,0,0,0,-1
1,paire de lunettes ovales,paires de lunettes ovales,Un accessoire de visage de couleur d'origine.,Lunettes ovales,0,0,0,1,1,0,71037,200049,0,0
2,paire de lunettes ovales (argent),paires de lunettes ovales (argent),Un accessoire de visage de couleur argent.,Lunettes ovales (argent),0,0,0,1,1,0,136573,200053,0,0
3,paire de lunettes ovales (or),paires de lunettes ovales (or),Un accessoire de visage de couleur or.,Lunettes ovales (or),0,0,0,1,1,0,202109,200052,0,0
4,paire de lunettes ovales (noires),paires de lunettes ovales (noires),Un accessoire de visage de couleur noire.,Lunettes ovales (noires),0,0,0,1,1,0,267645,200054,0,0
5,paire de lunettes ovales (blanches),paires de lunettes ovales (blanches),Un accessoire de visage de couleur blanche.,Lunettes ovales (blanches),0,0,0,1,1,0,333181,200059,0,0
6,paire de lunettes ovales (grises),paires de lunettes ovales (grises),Un accessoire de visage de couleur grise.,Lunettes ovales (grises),0,0,0,1,1,0,398717,200050,0,0
7,paire de lunettes ovales (rouges),paires de lunettes ovales (rouges),Un accessoire de visage de couleur rouge.,Lunettes ovales (rouges),0,0,0,1,1,0,464253,200057,0,0
8,paire de lunettes ovales (bleues),paires de lunettes ovales (bleues),Un accessoire de visage de couleur bleue.,Lunettes ovales (bleues),0,0,0,1,1,0,529789,200056,0,0
9,paire de lunettes ovales (vertes),paires de lunettes ovales (vertes),Un accessoire de visage de couleur verte.,Lunettes ovales (vertes),0,0,0,1,1,0,595325,200060,0,0
10,paire de lunettes ovales (bronze),paires de lunettes ovales (bronze),Un accessoire de visage de couleur bronze.,Lunettes ovales (bronze),0,0,0,1,1,0,660861,200051,0,0
11,paire de lunettes ovales (violettes),paires de lunettes ovales (violettes),Un accessoire de visage de couleur violette.,Lunettes ovales (violettes),0,0,0,1,1,0,726397,200055,0,0
12,paire de lunettes ovales (marron),paires de lunettes ovales (marron),Un accessoire de visage de couleur marron.,Lunettes ovales (marron),0,0,0,1,1,0,791933,200058,0,0
13,paire de lunettes teintées,paires de lunettes teintées,Un accessoire de visage de couleur d'origine.,Lunettes teintées,0,0,0,1,1,0,71038,200085,0,1
14,paire de lunettes teintées (argent),paires de lunettes teintées (argent),Un accessoire de visage de couleur argent.,Lunettes teintées (argent),0,0,0,1,1,0,136574,200089,0,1
15,paire de lunettes teintées (or),paires de lunettes teintées (or),Un accessoire de visage de couleur or.,Lunettes teintées (or),0,0,0,1,1,0,202110,200088,0,1
16,paire de lunettes teintées (noires),paires de lunettes teintées (noires),Un accessoire de visage de couleur noire.,Lunettes teintées (noires),0,0,0,1,1,0,267646,200090,0,1
17,paire de lunettes teintées (blanches),paires de lunettes teintées (blanches),Un accessoire de visage de couleur blanche.,Lunettes teintées (blanches),0,0,0,1,1,0,333182,200095,0,1
18,paire de lunettes teintées (grises),paires de lunettes teintées (grises),Un accessoire de visage de couleur grise.,Lunettes teintées (grises),0,0,0,1,1,0,398718,200086,0,1
19,paire de lunettes teintées (rouges),paires de lunettes teintées (rouges),Un accessoire de visage de couleur rouge.,Lunettes teintées (rouges),0,0,0,1,1,0,464254,200093,0,1
20,paire de lunettes teintées (bleues),paires de lunettes teintées (bleues),Un accessoire de visage de couleur bleue.,Lunettes teintées (bleues),0,0,0,1,1,0,529790,200092,0,1
21,paire de lunettes teintées (vertes),paires de lunettes teintées (vertes),Un accessoire de visage de couleur verte.,Lunettes teintées (vertes),0,0,0,1,1,0,595326,200096,0,1
22,paire de lunettes teintées (bronze),paires de lunettes teintées (bronze),Un accessoire de visage de couleur bronze.,Lunettes teintées (bronze),0,0,0,1,1,0,660862,200087,0,1
23,paire de lunettes teintées (violettes),paires de lunettes teintées (violettes),Un accessoire de visage de couleur violette.,Lunettes teintées (violettes),0,0,0,1,1,0,726398,200091,0,1
24,paire de lunettes teintées (marron),paires de lunettes teintées (marron),Un accessoire de visage de couleur marron.,Lunettes teintées (marron),0,0,0,1,1,0,791934,200094,0,1
25,paire de lunettes classiques,paires de lunettes classiques,Un accessoire de visage de couleur d'origine.,Lunettes classiques,0,0,0,1,1,0,71039,200061,0,2
26,paire de lunettes classiques (argent),paires de lunettes classiques (argent),Un accessoire de visage de couleur argent.,Lunettes classiques (argent),0,0,0,1,1,0,136575,200065,0,2
27,paire de lunettes classiques (or),paires de lunettes classiques (or),Un accessoire de visage de couleur or.,Lunettes classiques (or),0,0,0,1,1,0,202111,200064,0,2
28,paire de lunettes classiques (noires),paires de lunettes classiques (noires),Un accessoire de visage de couleur noire.,Lunettes classiques (noires),0,0,0,1,1,0,267647,200066,0,2
29,paire de lunettes classiques (blanches),paires de lunettes classiques (blanches),Un accessoire de visage de couleur blanche.,Lunettes classiques (blanches),0,0,0,1,1,0,333183,200071,0,2
30,paire de lunettes classiques (grises),paires de lunettes classiques (grises),Un accessoire de visage de couleur grise.,Lunettes classiques (grises),0,0,0,1,1,0,398719,200062,0,2
31,paire de lunettes classiques (rouges),paires de lunettes classiques (rouges),Un accessoire de visage de couleur rouge.,Lunettes classiques (rouges),0,0,0,1,1,0,464255,200069,0,2
32,paire de lunettes classiques (bleues),paires de lunettes classiques (bleues),Un accessoire de visage de couleur bleue.,Lunettes classiques (bleues),0,0,0,1,1,0,529791,200068,0,2
33,paire de lunettes classiques (vertes),paires de lunettes classiques (vertes),Un accessoire de visage de couleur verte.,Lunettes classiques (vertes),0,0,0,1,1,0,595327,200072,0,2
34,paire de lunettes classiques (bronze),paires de lunettes classiques (bronze),Un accessoire de visage de couleur bronze.,Lunettes classiques (bronze),0,0,0,1,1,0,660863,200063,0,2
35,paire de lunettes classiques (violettes),paires de lunettes classiques (violettes),Un accessoire de visage de couleur violette.,Lunettes classiques (violettes),0,0,0,1,1,0,726399,200067,0,2
