#,Objective,Requirement,Image,Unknown0,Order
0,,,0,100,0
1,Bonne pêche,Condition : obtenir 2 500 points ou plus.,65901,110,4
2,Pêche au gros,Condition : obtenir 5 000 points ou plus.,65902,120,5
3,La prise du jour,Condition : pêcher une prise de rareté quatre étoiles (★★★★).,65903,110,6
4,La prise d'une vie,Condition : pêcher une prise de rareté cinq étoiles (★★★★★).,65904,120,7
5,De quoi manger,Condition : pêcher 15 prises ou plus dans les courants spectraux.,65905,110,8
6,De quoi festoyer,Condition : pêcher 35 prises ou plus dans les courants spectraux.,65906,120,9
7,Une pêche d'enfer : baie de Galadion,Condition : pêcher 10 prises différentes ou plus en équipe dans la baie de Galadion.,65907,110,10
8,Une pêche d'enfer : détroit sud de Merlthor,Condition : pêcher 10 prises différentes ou plus en équipe au détroit sud de Merlthor.,65908,110,13
9,Une pêche d'enfer : détroit nord de Merlthor,Condition : pêcher 10 prises différentes ou plus en équipe au détroit nord de Merlthor.,65909,110,19
10,Une pêche d'enfer : mer de Rhotano,Condition : pêcher 10 prises différentes ou plus en équipe dans la mer de Rhotano.,65910,110,22
11,Pêcheurs légendaires,Condition : pêcher au moins 3 prises de rareté cinq étoiles (★★★★★) en équipe.,65911,150,31
12,Bénédiction de Llymlaen,Condition : repérer un courant spectral.,65912,110,32
13,Octo-opus,Condition : pêcher 150 pieuvres ou plus en équipe.,65913,120,33
14,Chasseurs de requins,Condition : pêcher 200 requins ou plus en équipe.,65914,130,34
15,Le bateau de la méduse,Condition : pêcher 150 méduses ou plus en équipe.,65915,120,35
16,Fièvre de cheval des mers,Condition : pêcher 100 hippocampes ou plus en équipe.,65916,110,36
17,Débutant de la pêche en mer,Condition : remplir un des trois objectifs personnels lors d'un voyage.,65923,105,1
18,Amateur de la pêche en mer,Condition : remplir deux des trois objectifs personnels lors d'un voyage.,65924,110,2
19,Pro de la pêche en mer,Condition : remplir tous les objectifs personnels lors d'un voyage.,65925,120,3
20,Amateur du ballon rond,Condition : pêcher 250 fugus ou plus en équipe.,65917,130,37
21,Pince-sans-rire,Condition : pêcher 250 crabes ou plus en équipe.,65918,130,38
22,Raies arraisonnées,Condition : pêcher 25 raies ou plus.,65919,120,39
23,Une pêche d'enfer : baie de Galadion,Condition : pêcher 9 prises différentes ou plus en équipe dans la baie de Galadion. (Nombre requis ajusté au nombre de participants),65907,110,11
24,Une pêche d'enfer : baie de Galadion,Condition : pêcher 8 prises différentes ou plus en équipe dans la baie de Galadion. (Nombre requis ajusté au nombre de participants),65907,110,12
25,Une pêche d'enfer : détroit sud de Merlthor,Condition : pêcher 9 prises différentes ou plus en équipe au détroit sud de Merlthor. (Nombre requis ajusté au nombre de participants),65908,110,14
26,Une pêche d'enfer : détroit sud de Merlthor,Condition : pêcher 8 prises différentes ou plus en équipe au détroit sud de Merlthor. (Nombre requis ajusté au nombre de participants),65908,110,15
27,Une pêche d'enfer : détroit nord de Merlthor,Condition : pêcher 9 prises différentes ou plus en équipe au détroit nord de Merlthor. (Nombre requis ajusté au nombre de participants),65909,110,20
28,Une pêche d'enfer : détroit nord de Merlthor,Condition : pêcher 8 prises différentes ou plus en équipe au détroit nord de Merlthor. (Nombre requis ajusté au nombre de participants),65909,110,21
29,Une pêche d'enfer : mer de Rhotano,Condition : pêcher 9 prises différentes ou plus en équipe dans la mer de Rhotano. (Nombre requis ajusté au nombre de participants),65910,110,23
30,Une pêche d'enfer : mer de Rhotano,Condition : pêcher 8 prises différentes ou plus en équipe dans la mer de Rhotano. (Nombre requis ajusté au nombre de participants),65910,110,24
31,Une pêche d'enfer : îles Cieldalaes,Condition : pêcher 10 prises différentes ou plus en équipe au large des îles Cieldalaes.,65920,110,16
32,Une pêche d'enfer : îles Cieldalaes,Condition : pêcher 9 prises différentes ou plus en équipe au large des îles Cieldalaes. (Nombre requis ajusté au nombre de participants),65920,110,17
33,Une pêche d'enfer : îles Cieldalaes,Condition : pêcher 8 prises différentes ou plus en équipe au large des îles Cieldalaes. (Nombre requis ajusté au nombre de participants),65920,110,18
34,Une pêche d'enfer : mer Pourpre,Condition : pêcher 10 prises différentes ou plus en équipe dans la mer Pourpre.,65921,110,25
35,Une pêche d'enfer : mer Pourpre,Condition : pêcher 9 prises différentes ou plus en équipe dans la mer Pourpre. (Nombre requis ajusté au nombre de participants),65921,110,26
36,Une pêche d'enfer : mer Pourpre,Condition : pêcher 8 prises différentes ou plus en équipe dans la mer Pourpre. (Nombre requis ajusté au nombre de participants),65921,110,27
37,Une pêche d'enfer : golfe de Rothlyt,Condition : pêcher 10 prises différentes ou plus en équipe dans le golfe de Rothlyt.,65922,110,28
38,Une pêche d'enfer : golfe de Rothlyt,Condition : pêcher 9 prises différentes ou plus en équipe dans le golfe de Rothlyt. (Nombre requis ajusté au nombre de participants),65922,110,29
39,Une pêche d'enfer : golfe de Rothlyt,Condition : pêcher 8 prises différentes ou plus en équipe dans le golfe de Rothlyt. (Nombre requis ajusté au nombre de participants),65922,110,30
40,Malacologie,Condition : pêcher 350 mollusques ou plus en équipe.,65930,130,52
41,Surume dragon,Condition : pêcher 400 céphalopodes ou plus en équipe.,65931,130,53
42,Banc de crevettes,Condition : pêcher 50 crevettes ou plus.,65932,120,54
43,Une pêche d'enfer : Mer du Chant des sirènes,Condition : pêcher 10 prises différentes ou plus en équipe dans la Mer du Chant des sirènes.,65926,110,40
44,Une pêche d'enfer : Mer du Chant des sirènes,Condition : pêcher 9 prises différentes ou plus en équipe dans la Mer du Chant des sirènes. (Nombre requis ajusté au nombre de participants),65926,110,41
45,Une pêche d'enfer : Mer du Chant des sirènes,Condition : pêcher 8 prises différentes ou plus en équipe dans la Mer du Chant des sirènes. (Nombre requis ajusté au nombre de participants),65926,110,42
46,Une pêche d'enfer : baie de Kugane,Condition : pêcher 10 prises différentes ou plus en équipe dans la baie de Kugane.,65927,110,43
47,Une pêche d'enfer : baie de Kugane,Condition : pêcher 9 prises différentes ou plus en équipe dans la baie de Kugane. (Nombre requis ajusté au nombre de participants),65927,110,44
48,Une pêche d'enfer : baie de Kugane,Condition : pêcher 8 prises différentes ou plus en équipe dans la baie de Kugane. (Nombre requis ajusté au nombre de participants),65927,110,45
49,Une pêche d'enfer : Mer de rubis,Condition : pêcher 10 prises différentes ou plus en équipe dans la Mer de rubis.,65928,110,46
50,Une pêche d'enfer : Mer de rubis,Condition : pêcher 9 prises différentes ou plus en équipe dans la Mer de rubis. (Nombre requis ajusté au nombre de participants),65928,110,47
51,Une pêche d'enfer : Mer de rubis,Condition : pêcher 8 prises différentes ou plus en équipe dans la Mer de rubis. (Nombre requis ajusté au nombre de participants),65928,110,48
52,Une pêche d'enfer : Muni,Condition : pêcher 10 prises différentes ou plus en équipe dans la Muni.,65929,110,49
