#,Name,Description,Icon,PlayerLevel,Unknown0,PlaceName,Order,Unknown1
0,,,0,0,0,0,1,False
1,Entraînement basique,"“Le cœur d'un guerrier doit être solide comme la pierre, immense comme le ciel et vaste comme la mer.” Ce vieil adage éorzéen est une sagesse qui encourage les combattants à per­fec­tion­ner leur technique sans relâche, et ce n'est pas un hasard si certains aventuriers appellent cette aire d'en­traî­ne­ment “Pierre, ciel, mer”. Déchaînez-vous sur le mannequin, et améliorez vos performances !",112145,60,0,2089,100,False
2,Simulation : L'Immensité bleue (extrême),"Ce mannequin a été fabriqué sur la base de témoignages d'aventuriers qui ont tenté d'éliminer la nouvelle incarnation du Migrateur des brumes. Si jamais vous décidez de monter une expédition punitive contre ce gobeur d'îles flottantes, n'hésitez surtout pas à vous entraîner avant de partir au combat !",112146,60,0,2089,101,False
3,Simulation : Gordias : le Père,"La guilde des aventuriers a appris que vous aviez trouvé un moyen d'entrer à l'intérieur du géant mécanique qui est apparu dans l'Arrière-pays dravanien. Afin de vous aider à vous préparer au mieux pour cette périlleuse mission, nous avons fait fabriquer un mannequin spécial qui devrait vous permettre de vous entraîner afin d'affronter tous les dangers qui vous attendent dans ce Primordial.",112147,60,0,2089,102,False
4,Simulation : Le Poing du Père (sadique),"Le ménestrel errant nous a narré vos exploits à l'intérieur du Primordial Alexander. Pour vous récompenser de vos efforts, nous avons fait fabriquer un mannequin aussi résistant que les ennemis que vous avez dû affronter. N'hésitez pas à vous entraîner dessus afin de montrer aux autres aventuriers l'étendue de votre puissance !",112148,60,0,2089,103,False
5,Simulation : Le Poignet du Père (sadique),"Le ménestrel errant nous a narré vos exploits à l'intérieur du Primordial Alexander. Pour vous récompenser de vos efforts, nous avons fait fabriquer un mannequin aussi résistant que les ennemis que vous avez dû affronter. N'hésitez pas à vous entraîner dessus afin de montrer aux autres aventuriers l'étendue de votre puissance !",112149,60,0,2089,104,False
6,Simulation : Le Bras du Père (sadique),"Le ménestrel errant nous a narré vos exploits à l'intérieur du Primordial Alexander. Pour vous récompenser de vos efforts, nous avons fait fabriquer un mannequin aussi résistant que les ennemis que vous avez dû affronter. N'hésitez pas à vous entraîner dessus afin de montrer aux autres aventuriers l'étendue de votre puissance !",112150,60,0,2089,105,False
7,Simulation : Le Fardeau du Père (sadique),"Le ménestrel errant nous a narré vos exploits à l'intérieur du Primordial Alexander. Pour vous récompenser de vos efforts, nous avons fait fabriquer un mannequin aussi résistant que les ennemis que vous avez dû affronter. N'hésitez pas à vous entraîner dessus afin de montrer aux autres aventuriers l'étendue de votre puissance !",112151,60,0,2089,106,False
8,Simulation : le règne de Thordan,La rumeur de votre combat contre Thordan et ses chevaliers de la Table ronde est parvenue jusqu'à nos oreilles. Le ménestrel errant nous a raconté toute l'histoire dans les moindres détails ! Nous nous sommes basés sur son récit pour fabriquer un mannequin aussi redoutable que les protagonistes de cette terrible bataille. En espérant qu'il vous plaira !,112152,60,0,2089,107,False
9,Simulation : Sephirot (extrême),"Nous avons entendu dire que vous avez vaincu l'une des divinités démoniaques de la Triade guerrière. Toutes nos félicitations ! Nous avons réalisé un mannequin ex­trê­me­ment robuste, qui devrait vous aider à vous préparer aux prochaines batailles qui vous attendent.",112153,60,0,2089,108,False
10,Simulation : Midas : le Fils,"Nos agents nous ont indiqué que le Primordial-machine Alexander avait bougé une fois de plus, et ils suspectent les Gobelins de la Main indigo d'y avoir introduit de nouvelles armes pour protéger leur base d'opération. De ce fait, nous avons commandé en urgence un mannequin qui vous permettra de vous préparer à la réussite de votre mission.",112154,60,0,2089,109,False
11,Simulation : Le Poing du Fils (sadique),Le ménestrel errant nous a conté vos nouveaux exploits à l'intérieur du Primordial-machine. Nous avons im­mé­dia­te­ment contacté notre meilleur ouvrier pour lui demander de fabriquer un mannequin aussi robuste que les ennemis que vous avez combattus dans le bras gauche d'Alexander. N'hésitez pas à vous défouler dessus !,112155,60,0,2089,110,False
12,Simulation : Le Poignet du Fils (sadique),Le ménestrel errant nous a conté vos nouveaux exploits à l'intérieur du Primordial-machine. Nous avons im­mé­dia­te­ment contacté notre meilleur ouvrier pour lui demander de fabriquer un mannequin aussi robuste que les ennemis que vous avez combattus dans le bras gauche d'Alexander. N'hésitez pas à vous défouler dessus !,112156,60,0,2089,111,False
13,Simulation : Le Bras du Fils (sadique),Le ménestrel errant nous a conté vos nouveaux exploits à l'intérieur du Primordial-machine. Nous avons im­mé­dia­te­ment contacté notre meilleur ouvrier pour lui demander de fabriquer un mannequin aussi robuste que les ennemis que vous avez combattus dans le bras gauche d'Alexander. N'hésitez pas à vous défouler dessus !,112157,60,0,2089,112,False
14,Simulation : Le Fardeau du Fils (sadique),Le ménestrel errant nous a conté vos nouveaux exploits à l'intérieur du Primordial-machine. Nous avons im­mé­dia­te­ment contacté notre meilleur ouvrier pour lui demander de fabriquer un mannequin aussi robuste que les ennemis que vous avez combattus dans le bras gauche d'Alexander. N'hésitez pas à vous défouler dessus !,112158,60,0,2089,113,False
15,Simulation : l'ire de Nidhogg,Le ménestrel errant nous a fait le récit de votre combat contre le dragon maléfique Nidhogg devant la sainte Cité. Nous nous sommes donc basés sur sa description pour fabriquer un mannequin aussi terrible et puissant que cet ennemi millénaire des Ishgardais. Nous espérons qu'il vous donnera pleine sa­tis­fac­tion !,112159,60,0,2089,114,False
16,Simulation : Sophia (extrême),"La guilde des aventuriers a appris que vous étiez venue à bout de l'impitoyable Déesse. Aussi réjouissante cette annonce soit-elle, votre lutte contre la Triade guerrière n'est malheureusement pas encore tout à fait terminée. Pour vous permettre de vous préparer au mieux aux prochains défis à venir, nous vous offrons un mannequin présenté comme indestructible par son créateur. Vous nous en direz des nouvelles !",112205,60,0,2089,115,False
17,Simulation : Alexander : le Créateur,Tout semble indiquer que le moment du combat décisif est arrivé dans la lutte contre les Gobelins de la Main indigo pour l'avenir... et même le passé de l'humanité. Nous avons par conséquent préparé un mannequin spécial pour mettre toutes les chances de votre côté.,112206,60,0,2089,116,False
18,Simulation : Les Yeux du Créateur (sadique),Le ménestrel errant nous a fait part de vos fantastiques exploits et de votre bravoure dans votre combat contre les ambitions mégalomanes de Quickthinx le Cerveau et de ses sbires. Nous avons donc décidé de marquer ce récit épique en demandant à nos meilleurs artisans de fabriquer un mannequin ex­trê­me­ment résistant !,112207,60,0,2089,117,False
19,Simulation : Le Souffle du Créateur (sadique),Le ménestrel errant nous a fait part de vos fantastiques exploits et de votre bravoure dans votre combat contre les ambitions mégalomanes de Quickthinx le Cerveau et de ses sbires. Nous avons donc décidé de marquer ce récit épique en demandant à nos meilleurs artisans de fabriquer un mannequin ex­trê­me­ment résistant !,112208,60,0,2089,118,False
20,Simulation : Le Cœur du Créateur (sadique),Le ménestrel errant nous a fait part de vos fantastiques exploits et de votre bravoure dans votre combat contre les ambitions mégalomanes de Quickthinx le Cerveau et de ses sbires. Nous avons donc décidé de marquer ce récit épique en demandant à nos meilleurs artisans de fabriquer un mannequin ex­trê­me­ment résistant !,112209,60,0,2089,119,False
21,Simulation : L'Âme du Créateur (sadique),Le ménestrel errant nous a fait part de vos fantastiques exploits et de votre bravoure dans votre combat contre les ambitions mégalomanes de Quickthinx le Cerveau et de ses sbires. Nous avons donc décidé de marquer ce récit épique en demandant à nos meilleurs artisans de fabriquer un mannequin ex­trê­me­ment résistant !,112210,60,0,2089,120,False
22,Simulation : Zurvan (extrême),"Ayant eu échos de votre victoire contre le terrible Zurvan, signifiant que vous avez réduit à néant la menace posée par la Triade guerrière, la guilde des aventuriers a décidé de créer un mannequin ex­trê­me­ment résistant pour vous permettre de continuer à dépasser vos limites. Après tout, ce n'est pas parce que vous avez annihilé le Démon que vous devez vous reposer sur vos lauriers !",112211,60,0,2089,121,False
23,Simulation : la Ménagerie royale,"En tant que Mhigois, je ne te remercierai jamais assez d'avoir libéré notre patrie du joug de l'infâme Zenos yae Galvus. Tiens, j'ai conçu ce mannequin d'en­traî­ne­ment sur le modèle du dragon Shinryu rien que pour toi. J'espère qu'il te sera utile pour te préparer aux défis toujours plus corsés qui t'attendent !",112247,70,0,2628,200,False
24,Simulation : Émanation (extrême),"Je me demandais qui était la brave qui avait accompli l'exploit de terrasser Lakshmi, la déesse des Anantas... J'aurais dû me douter que c'était toi ! Si tu ne l'avais pas vaincue, elle aurait pu devenir encore plus puissante... J'ai conçu ce mannequin en envisageant cette terrifiante éventualité... Eh oui, il faut toujours songer au pire !",112249,70,0,2628,201,False
25,Simulation : la Crique aux tributs (extrême),"On m'a glissé à l'oreille que tu aurais abattu Susano, une divinité des lointaines contrées orientales ? Eh bien... J'ai conçu un mannequin en pensant à  ce qui se passerait si cette bête ressuscitait, plus puissante que jamais... Oui, mon imagination est sans borne.",112248,70,0,2628,202,False
26,Simulation : Deltastice,"Hé, j'ai entendu dire que tes amis et toi aviez entrepris de découvrir ce qui se trame au fond du Bâillement, ce cratère rempli d'eau bizarre... Pour vous aider, j'ai mis au point un mannequin tout beau tout neuf, avec le concours d'un employé des Forges de Garlond, un type vraiment baraqué... Tu m'en diras des nouvelles !",112250,70,0,2628,203,False
