#,MaxSeals,RequiredSeals,IconMaelstrom,IconSerpents,IconFlames,QuestMaelstrom,QuestSerpents,QuestFlames,Tier,Order,RequiredHuntingLogRank
0,0,0,0,0,0,0,0,0,0,0,0
1,10000,2000,83001,83051,83101,0,0,0,1,1,0
2,15000,3000,83002,83052,83102,0,0,0,1,2,0
3,20000,4000,83003,83053,83103,0,0,0,1,3,0
4,25000,5000,83004,83054,83104,0,0,0,1,4,0
5,30000,6000,83005,83055,83105,0,0,0,2,5,1
6,35000,7000,83006,83056,83106,0,0,0,2,6,0
7,40000,8000,83007,83057,83107,0,0,0,2,7,0
8,45000,9000,83008,83058,83108,66664,66665,66666,2,8,0
9,50000,10000,83009,83059,83109,66667,66668,66669,3,9,2
10,80000,0,83010,83060,83110,0,0,0,3,10,0
11,90000,0,83011,83061,83111,0,0,0,3,11,0
12,100000,0,83012,83062,83112,0,0,0,4,12,0
13,100000,0,83013,83063,83113,0,0,0,4,13,0
14,100000,0,83014,83064,83114,0,0,0,4,14,0
15,150000,0,83015,83065,83115,0,0,0,5,15,0
16,150000,0,83016,83066,83116,0,0,0,5,16,0
17,150000,0,83017,83067,83117,0,0,0,5,17,0
18,150000,0,83018,83068,83118,0,0,0,5,18,0
19,200000,0,83019,83069,83119,0,0,0,6,19,0
