#,Text,Unknown_70_1,Unknown_70_2,Unknown_70_3,AchievementCredit,Item,GatheringItemLevel,Unknown1,FishingSpot,GatheringSubCategory,OceanStars,FishingRecordType,IsHidden,IsInLog
0,,,,,0,0,0,0,0,0,0,0,False,True
1,"*Fucus malmus*
Cette grande algue marine est très commune. Son nom lui vient d'un spécimen trouvé autrefois dont la longueur dépassait un malm, soit 5082 fulms.",,,,0,4776,4,2000,36,0,0,0,False,True
2,"*Astacus leptodactylus*
Ce crustacé décapode est si glouton qu'on peut le pêcher même sans appât. Il tente d'attraper d'un coup de pince n'importe quel objet qui bouge que l'on place devant lui.",,,,0,4925,2,2000,2,0,0,2,False,True
3,"*Zacco platypus*
Ce poisson prend de superbes couleurs à la saison des amours. Il devient alors très populaire chez les aquariophiles.",,,,0,4926,3,2000,39,0,0,2,False,True
4,"*Gobius merlthorus*
Ce poisson est un maillon important de la chaîne alimentaire, puisqu'il est chassé par de nombreuses espèces plus grandes. Les pêcheurs exploitent depuis longtemps cette ca­rac­té­ris­ti­que en prenant la chair de gobie comme appât pour la pêche au gros.",,,,0,4869,3,2000,36,0,0,0,False,True
5,"*Engraulis anchoita*
On raconte que la technique pour saler et conserver ce poisson aurait été découverte par hasard par des marins qiqirns, qui ont goûté et apprécié ces poissons saumurés alors qu'ils manquaient de provisions en mer.",,,,0,4870,3,2000,36,0,0,0,False,True
6,"*Ptereleotris zebra*
D'après une légende folklorique du Coerthas, ce poisson volait autrefois dans le ciel. Mais trop orgueilleux, il fut puni par les Dieux qui le condamnèrent à vivre au fond des mers.",,,,0,4927,4,2000,2,0,0,2,False,True
7,"*Mystus clamosus*
Ce poisson émet parfois un bruit strident lorsqu'il est pêché, en frottant ses nageoires, comme s'il était amer de s'être laissé prendre.",,,,0,4928,4,2000,41,0,0,2,False,True
8,"*Palaemon digitorum*
Une petite crevette de l'épaisseur d'un doigt, surnommée pour cette raison “crevette phalange”. Elle est fréquemment utilisée comme appât et sert également en cuisine.",,,,0,4871,4,2000,36,0,0,0,False,True
9,"*Procambarus perlucidus*
Ce crustacé doit sa carapace translucide au fait qu'il vit dans des milieux souterrains inéclairés. Lorsqu'il laisse derrière lui une mue, celle-ci est si transparente qu'elle en devient presque invisible à l'œil nu.",,,,0,4929,5,2000,72,0,0,2,False,True
10,"*Eunicella singularis*
Bien qu'il semble inanimé, le corail blanc est bel et bien un organisme vivant et non un minéral. Une fois poli, il possède un lustre gracieux qui lui vaut le surnom de “gemme de la mer”",,,,0,5460,5,2000,59,0,0,0,False,True
11,"*Salmo trutta princeps*
Ce poisson est populaire chez les pêcheurs débutants désireux de s'essayer à la pêche à la truite. Mais même les vétérans apprécient parfois de la pêcher comme un retour aux sources.",,,,0,4930,5,2000,39,0,0,2,False,True
12,"*Aurelia eorzeana*
La méduse la plus commune en Éorzéa. D'après des études sharlayanaises, elle connaîtrait pas moins de neuf transformations au cours de sa croissance.",,,,0,4872,6,2000,37,0,0,0,False,True
13,"*Gobius crepusculus*
Un “poisson terrestre” qui s'est retrouvé enfermé à l'intérieur des terres dans la région de Vylbrand. Les gobies peuvent avoir diverses couleurs selon les variétés.",,,,0,4931,6,2000,41,0,0,2,False,True
14,"*Cucumaria planci mazlayae*
Son apparence rebute nombre de gens, mais les habitants de la mer de Jade et de l'île de Mazlaya les apprécient sous forme séchée.",,,,0,4873,7,2000,37,0,0,0,False,True
15,"*Clupea nauta*
Ce poisson de mer a pour habitude de rôder dans les eaux bordant les ports, aussi il est très facile à pêcher. C'est un poisson très fréquemment consommé à Limsa Lominsa.",,,,0,4874,7,2000,35,0,0,0,False,True
16,"*Pipira pipira*
Ce poisson carnivore est connu pour sa grande férocité. Les enfants se baignant dans les cours d'eau se feraient souvent mordre, d'après la rumeur. Cuit à la vapeur, il est très savoureux. ",,,,0,4932,7,2000,91,0,0,2,False,True
17,"*Procambarus rubrum*
Cette écrevisse de couleur rouge est gris bleuté lorsqu'elle est jeune. C'est en devenant adulte qu'elle prend sa belle couleur écarlate si ca­rac­té­ris­ti­que. ",,,,0,4933,8,2000,54,0,0,2,False,True
18,"*Venerupis bianaquensis*
Un bivalve connu pour le goût délicieux de sa chair. Elle est utilisée dans de nombreuses recettes de cuisine familiale dans les régions littorales.",,,,0,4875,8,2000,49,0,0,0,False,True
19,"*Gobio gobio*
Ce petit poisson a l'habitude de se cacher dans le sable au fond des rivières. C'est pourquoi dans l'argot noscéen, on traite de “goujon” une personne lâche.",,,,0,4934,8,2000,40,0,0,2,False,True
20,"*Chaetodon auripes corallium*
Ce poisson papillon est très apprécié pour sa magnifique couleur jaune striée. Il est apprécié comme poisson d'aquarium dans la Cité d'Ul'dah, où sa couleur dorée semble plaire aux riches citadins.",,,,0,4876,9,2000,37,0,0,0,False,True
21,"*Barbatula aerata*
Ce poisson d'eau douce de forme allongée est par­ti­cu­liè­rement apprécié en cuisine lalafelle, même si beaucoup lui reprochent un fumet terreux.",,,,0,4935,9,2000,3,0,0,3,False,True
22,"*Platichthys moribius*
La légende raconte qu'Oschon le Vagabond aurait mal­en­con­treu­se­ment écrasé ce poisson de rivière. La déesse Llymlaen, prenant pitié du malheureux animal, l'aurait ressuscité en tant que poisson de mer, en lui laissant son apparence aplatie.",,,,0,4877,10,2000,44,0,0,0,False,True
23,"*Opalus carpio*
Ce poisson omnivore est très facile à pêcher, ce qui le rend populaire chez les pêcheurs débutants. Il est de plus délicieux une fois grillé sur le feu et salé.",,,,0,4936,10,2000,2,0,0,2,False,True
24,"*Osmerus abalathicus*
Ce petit poisson est important dans l'ali­men­ta­tion des habitants du Coerthas. Beaucoup de gens le dégustent sur place, grillé.",,,,0,4937,35,2000,32,0,0,2,False,True
25,"*Amblyopsis vylbrandicus*
L'obscurité dans laquelle vit ce poisson a entraîné la dégénérescence de son système oculaire. Par chance, il n'a aucun prédateur naturel. Il chasse en détectant les variations de courants.",,,,0,4938,31,2000,97,0,0,3,False,True
26,"*Cancer calculus*
Non seulement sa carapace est très dure, mais il a peu de chair, c'est pourquoi ce crustacé a peu de valeur gastronomique. Il vole parfois les proies des pêcheurs, aussi ces derniers ne l'apprécient guère.",,,,0,4878,12,2000,44,0,0,0,False,True
27,"*Periophthalmus*
Aussi appelé sauteur de vase, ce “poisson terrestre” vit dans les flaques et sur les rives, étant capable de trotter sur le sol à l'aide de ses nageoires. Ses yeux globuleux lui permettent de repérer les ennemis hors de l'eau.",,,,0,4939,13,2000,73,0,0,3,False,True
28,"*Oncorhynchus mykiss*
Ce poisson d'eau douce peut être pêché à la mouche. Il est dégusté grillé ou en meunière, entre autres.",,,,0,4940,15,2000,18,0,0,2,False,True
29,"*Pseudosesarma moeshi*
Ce décapode est surnommé “nettoyeur des rivières” parce qu'il se nourrit de carcasses de poissons morts et d'algues. On raconte même qu'il est in­dis­pen­sa­ble à la survie des rivières.",,,,0,4941,15,2000,8,0,0,2,False,True
30,"*Synaptura zebra*
Il est reconnaissable à ses rayures rappelant celles du tigre, félin du continent oriental d'Othard, ce qui lui vaut ainsi son nom commun.",,,,0,4879,15,2000,45,0,0,0,False,True
31,"*Betta mhigolensis*
Ce poisson est doté d'un redoutable instinct combatif, si bien qu'il combattra jusqu'à la mort tout congénère introduit dans son territoire. Les aquariophiles l'élèvent de préférence seul.",,,,0,4942,16,2000,19,0,0,3,False,True
32,"*Cancer galeatus*
La carapace de ce crustacé rappelle la forme d'un casque. On pourrait le croire apparenté au crabe, à cause de son nom, mais la zoologiste Atelloune le classe comme un cousin des acari.",,,,0,4880,16,2000,64,0,0,0,False,True
33,"*Macquaria aldenardia*
Ce petit poisson d'eau douce est une variété de bar qui vit partout sur le continent d'Aldenard. Il se livre à une redoutable guerre de subsistance avec le bar noir.",,,,0,4943,17,2000,73,0,0,3,False,True
34,"*Bithynia aurea*
Ce gastéropode vient du nouveau continent. Son pied est comestible, mais difficile à manger et d'un fumet trop marqué, il est peu apprécié.",,,,0,4944,17,2000,73,0,0,2,False,True
35,"*Ostrea rothlyta*
Cette variété d'huître doit son nom au golfe de Rothlyt, qui produit des spécimens réputés délicieux. Un simple filet de jus de citron suffit à rendre succulente une huître fraîche, d'après les fins gourmets.",,,,0,4881,17,2000,59,0,0,0,False,True
36,"*Gobius cunctator*
Ce poisson est ordinairement lent, mais lorsqu'il a repéré une proie, il peut se déplacer très rapidement.",,,,0,4945,18,2000,11,0,0,2,False,True
37,"*Perca noscense*
Fidèle à son nom, ce poisson se rencontre fréquemment dans les lacs et rivières de la Noscea. Se nourrissant de petits poissons, il est facile à attraper avec un appât de type vairon.",,,,0,4946,18,2000,42,0,0,2,False,True
38,"*Parexocoetus llyamlaenis*
Au cours de son évolution, l'exocet a développé des nageoires pectorales si longues qu'elles lui permettent d'effectuer de petits vols planés hors de l'eau pour échapper à ses prédateurs. Son nom vient de Llymlaen, car ses nageoires ressembleraient aux dagues qu'elle lance.",,,,0,4882,18,2000,64,0,0,1,False,True
39,"*Carassius carpio*
Certains pêcheurs font de ce poisson un objet de paris. Lorsque Gridania se trouvait en état de siège au cours d'une longue guerre, il aurait été lâché dans les douves du bassin de Jade pour servir de source de nourriture.",,,,0,4947,19,2000,3,0,0,3,False,True
40,"*Pomacanthus xanthometopon*
Cet élégant poisson aux couleurs chatoyantes apprécie les eaux chaudes des mers du sud, bien au-delà des limites d'Éorzéa. Il arrive cependant qu'il dérive jusqu'aux eaux bordant les régions éorzéennes.",,,,0,4883,19,2000,37,0,0,1,False,True
41,"*Carassius aeratus aeratus*
Ce poisson décoratif a obtenu la belle couleur cuivrée de ses écailles au fil de croisements étalés sur de nombreuses années. Il a été importé d'Orient à l'origine, mais relâché dans la nature, il a fini par s'établir dans les eaux éorzéennes.",,,,0,4948,20,2000,67,0,0,3,False,True
42,"*Salmo caeruleus*
Ce poisson anadrome naît en rivière et vit normalement dans l'océan Indigo, mais il remonte le courant jusqu'à sa rivière natale pour s'y reproduire et mourir. C'est un symbole du cycle de la vie.",,,,0,4949,20,2000,67,0,0,2,False,True
43,"*Ensis minor*
Cette palourde, dont la forme allongée rappelle un rasoir, jaillit hors de son nid lorsqu'on la surprend. Les oiseaux de mer exploitent cette particularité pour attraper le malheureux bivalve en faisant tomber des petits cailloux pour le faire sortir.",,,,0,4884,20,2000,60,0,0,0,False,True
44,"*Scylla serrata*
Autrefois, on comparait ce crabe à un golem, parce qu'il avait pour habitude de se camoufler dans la boue pour guetter ses proies.",,,,0,4950,21,2000,13,0,0,2,False,True
45,"*Eledone caerulea*
Ce céphalopode bleu aime faire onduler ses tentacules, d'où son surnom de “pieuvre danseuse”. Parade amoureuse, ou élimination de parasites ? Les zoologistes sont partagés.",,,,0,4885,21,2000,46,0,0,1,False,True
46,"*Cyprinus carpio*
Ce poisson d'ornement a été croisé pour être joli à voir hors de l'eau. Aussi appelée “carpe de brocart”, cette espèce pourrait perdre ses couleurs si l'homme ne poursuit pas les croisements.",,,,0,4951,21,2000,18,0,0,2,False,True
47,"*Procambarus coccineus*
La carapace de ce crustacé est rouge vif comme du sang frais. On raconte qu'il serait né du sang de la Déesse du soleil, Azeyma.",,,,0,4952,22,2000,11,0,0,2,False,True
48,"*Anguilla virens*
Ce poisson anadrome est connu pour sa couleur verte ca­rac­té­ris­ti­que, qui varie semble-t-il selon l'ali­men­ta­tion, l'environnement et la qualité des eaux de chaque spécimen.",,,,0,4953,22,2000,66,0,0,2,False,True
49,"*Tetraodon*
Ce poisson redoutable possède un venin très toxique qui provoque le mutisme. Une légende populaire veut qu'une famille en ayant consommé accidentellement se retrouva frappée de mutisme et, ne pouvant plus communiquer, finit par se déchirer.",,,,0,4886,22,2000,52,0,0,0,False,True
50,"*Venerupis noscensis*
Les impuretés ont tendance à s'accumuler dans le corps de ce mollusque filtreur, ce qui lui donne un fumet peu apprécié en cuisine. Il permet cependant de garder les eaux propres.",,,,0,4954,23,2000,66,0,0,3,False,True
51,"*Oncorhynchus thermophilus*
Ce poisson amateur d'eaux chaudes est idéal pour la pêche à la mouche. Les connaisseurs de cette espèce ont pour coutume de se baigner dans des sources après en avoir pêché.",,,,0,4955,23,2000,66,0,0,2,False,True
52,"*Ambassis noscensis*
Avec un corps presque transparent, cette variété de perche d'eau douce est convoitée par les zoologistes désireux d'étudier le fonc­tion­ne­ment des organes sur un sujet vivant. Une espèce si discrète qu'on ignorait son existence même il y a quelques années.",,,,0,4956,24,2000,42,0,0,2,False,True
53,"*Anableps anableps*
Les yeux de ce poisson sont doubles et lui permettent de voir au-dessus et en dessous de lui en même temps. Une rumeur laissa jadis entendre que sa chair était bonne pour la vue, ce qui lui valut une popularité de courte durée malgré sa chair peu goûteuse. ",,,,0,4957,24,2000,66,0,0,2,False,True
54,"*Sardina gladius*
Ce poisson possède un aileron si coupant qu'il lui a valu le surnom de “sardine sabre”. Il arrive d'ailleurs qu'il déchire les filets des pêcheurs en se débattant.",,,,0,4887,24,2000,61,0,0,1,False,True
55,"*Anguilla nigra*
Ce poisson longiligne est l'ingrédient clef de la tarte à l'anguille. En journée, il se tient immobile dans son nid, pour ne s'activer que la nuit en quête de nourriture.",,,,0,4958,25,2000,11,0,0,2,False,True
56,"*Macquaria meracydiana*
Cette espèce aurait été rapportée du continent méridional de Méracydia, qui a aujourd'hui perdu une grande partie de sa faune. Son instinct de survie est fort, si bien qu'il s'adapte facilement.",,,,0,4959,25,2000,15,0,0,3,False,True
57,"*Corallium caeruleum*
Ce corail est d'un bleu si perçant que l'on pourrait s'y noyer. Cette couleur si ca­rac­té­ris­ti­que est d'ailleurs surnommée “bleu de Rhotano”, comme la mer.",,,,0,5461,25,2000,51,0,0,1,False,True
58,"*Sphyraena barracuda*
Sa constitution lui a valu le surnom d'ogre, même si ce grand poisson de mer est en réalité moins redoutable qu'un véritable ogre. Carnivore, il s'attaque aux petits poissons.",,,,0,4888,25,2000,38,0,0,1,False,True
59,"*Gerospina aegis*
Ce crustacé doit son nom à la forme de son bouclier céphalique, qui ressemble à l'égide légendaire. Cette espèce relativement primitive est, d'après les zoologues, ex­trê­me­ment ancienne.",,,,0,4960,26,2000,77,0,0,3,False,True
60,"*Plecostomus pumilus*
Ce petit poisson d'eau douce se nourrit des algues qui poussent sur les branches flottantes et racines des rivières grâce à la forme de sa bouche. Il mesure généralement environ 5 ilms.",,,,0,4961,26,2000,15,0,0,3,False,True
61,"*Lophiomus setigerus*
Également connu sous le nom de “marache”, le poisson lanterne utilise son organe lumineux pour attirer ses proies. Les pêcheurs ont une bonne image de cette espèce, puisqu'elle capture ses prises avec une méthode similaire à celle des êtres humains.",,,,0,4889,26,2000,71,0,0,1,False,True
62,"*Hippocampus hippocampus*
Un débat houleux a déchiré la communauté scien­ti­fi­que, entre ceux qui voulaient appeler cet étrange poisson “cheval de mer” et ceux qui voulaient l'appeler “dragon de mer”. Cela dit, les scien­ti­fi­ques en question n'avaient pro­ba­ble­ment jamais vu aucun de ces deux animaux.",,,,0,4890,26,2000,51,0,0,0,False,True
