#,Text,String,Genre,LegacyQuestID,SortKey
0,,,0,0,0
1,Paroles sibyllines,,342,0,1
2,Le trésor du grand bleu,,342,1,2
3,La légende de Llymlaen,,342,2,3
4,Duel sur le pont,,342,3,4
5,Naufrage,,342,4,5
6,La souillure,,342,5,6
7,La colère des esprits,,342,6,7
8,Les invités,,342,7,8
9,Un festival mouvementé,,342,8,9
10,La Cité qui ne dort jamais,,342,9,10
11,Dégâts collatéraux,,342,10,11
12,Quand la mort frappe,,342,11,12
13,Prémices,,342,12,13
14,Sauvetage désespéré,,342,13,14
15,Un dialogue de sourds,,342,14,15
16,Une alliance risquée,,342,15,16
17,Le dieu des flammes,,342,16,17
18,Libérer les libérateurs,,342,17,18
19,Retrouvailles,,342,18,19
20,L'art de l'usure,,344,59,20
21,L'affaire des faux jetons,,344,60,21
22,L'envers du jeton,,344,61,22
23,Les éliminatoires,,344,79,23
24,Droits inaliénables,,344,80,24
25,Le tournoi,,344,81,25
26,Le baptême des Bourreaux,,344,99,26
27,Le bal des pirates,,344,100,27
28,Tous les coups sont permis,,344,101,28
29,Les comptoirs de l'auberge,,344,139,29
30,Les comptoirs de l'auberge,,344,140,30
31,Les comptoirs de l'auberge,,344,141,31
32,J'aimerais changer de partenaire,,344,143,32
33,Les flèches divines,,344,159,33
34,Sombre forêt,,344,160,34
35,Blessures du passé,,344,161,35
36,Les vigiles sombres,,344,179,36
37,Choc de cultures,,344,180,37
38,Un mal nécessaire,,344,181,38
39,Les contrats de vendetta,,344,239,39
40,La rivale,,344,240,40
41,La parole de Nald'thal,,344,241,41
42,Au service des esprits,,344,259,42
43,Le rêve du chevalier,,344,260,43
44,La voix des esprits,,344,261,44
45,De bien jeunes professeurs,,344,299,45
46,Les petits démons,,344,300,46
47,Le cadeau des esprits,,344,301,47
48,Dur d'oreille,,344,319,48
49,Le chant des sirènes,,344,320,49
50,L'île interdite,,344,321,50
51,Donner forme à la beauté,,344,359,51
52,La Fleur de F'lhaminn,,344,360,52
53,Percecœur,,344,361,53
54,Contrôle qualité,,344,379,54
55,Le deuxième Atelier,,344,380,55
56,Evaluation générale,,344,381,56
57,Acte I : Le rouge,,344,399,57
58,Acte II : La cendre,,344,400,58
59,Acte III : Le blanc,,344,401,59
60,Un sommeil sans fin,,344,419,60
61,Le garçon et le dragon,,344,420,61
62,Rêve... ou réalité ?,,344,421,62
63,Duel aux fourneaux,,344,439,63
64,Le gourmet disparu,,344,440,64
65,La soupe empoisonnée,,344,441,65
66,Un fragment du passé,,344,459,66
67,Sabotage,,344,460,67
68,La fugue,,344,461,68
69,Les racines de Gridania,,344,479,69
70,La Cité lumière,,344,480,70
71,Le champ de fleurs des Mogs,,344,481,71
