#,Name,Icon,Category,Order,ClassJob,Unknown0
0,,0,0,0,0,False
1,Arme principale,60102,0,0,0,False
2,Outil principal de synthèse,60113,0,0,0,False
3,Outil principal de récolte,60120,0,0,0,False
4,Armure,60126,0,0,0,False
5,Accessoire,60135,0,0,0,False
6,Consommable,60136,0,0,0,False
7,Matériau,60137,0,0,0,False
8,Autre,60159,0,0,0,False
9,Arme de pugiliste,60101,1,6,2,False
10,Arme de gladiateur,60102,1,0,1,False
11,Arme de maraudeur,60103,1,1,3,False
12,Arme d'archer,60105,1,10,5,False
13,Arme d'hast,60104,1,4,4,False
14,Arme d'occultiste,60108,1,13,7,False
15,Arme d'élémentaliste,60107,1,17,6,False
16,Arme d'arcaniste,60109,1,14,26,False
17,Bouclier,60110,2,0,0,False
18,Arme de jet,60111,0,0,0,False
19,Outil de menuisier,60112,1,21,8,False
20,Outil de forgeron,60113,1,22,9,False
21,Outil d'armurier,60114,1,23,10,False
22,Outil d'orfèvre,60115,1,24,11,False
23,Outil de tanneur,60116,1,25,12,False
24,Outil de couturier,60117,1,26,13,False
25,Outil d'alchimiste,60118,1,27,14,False
26,Outil de cuisinier,60119,1,28,15,False
27,Outil de mineur,60120,1,29,16,False
28,Outil de botaniste,60121,1,30,17,False
29,Outil de pêcheur,60122,1,31,18,False
30,Appât de pêche,60123,1,32,18,False
31,Tête,60124,2,1,0,False
32,Maillot,60125,0,0,0,False
33,Torse,60126,2,2,0,False
34,Sous-vêtement,60127,0,0,0,False
35,Jambes,60128,2,4,0,False
36,Mains,60129,2,3,0,False
37,Pieds,60130,2,5,0,False
38,Ceinture,60131,0,0,0,False
39,Collier,60132,2,7,0,False
40,Boucle d'oreille,60133,2,6,0,False
41,Bracelet,60134,2,8,0,False
42,Bague,60135,2,9,0,False
43,Médicament,60136,3,0,0,False
44,Ingrédient,60137,3,1,0,False
45,Plat ou boisson,60146,3,2,0,False
46,Produit de la pêche,60138,3,3,0,False
47,Pierre,60139,3,4,0,False
48,Métal,60140,3,5,0,False
49,Bois,60141,3,6,0,False
50,Tissu,60142,3,7,0,False
51,Cuir,60143,3,8,0,False
52,Os,60144,3,9,0,False
53,Réactif,60145,3,10,0,False
54,Teinture,60147,3,11,0,False
55,Composant,60148,3,12,0,False
56,Meuble,60164,4,3,0,False
57,Matéria,60150,3,13,0,False
58,Cristal,60151,3,14,0,False
59,Catalyseur,60152,3,15,0,False
60,Divers,60153,3,16,0,False
61,Cristal d'âme,60157,0,0,0,False
62,Flèche,60153,0,0,0,False
63,Objet de quête,60158,0,0,0,False
64,Autre,60159,0,0,0,False
65,Élément extérieur,60160,4,0,0,False
66,Élément intérieur,60161,4,1,0,False
67,Meuble de jardin,60168,4,2,0,False
68,Siège ou lit,60165,4,4,0,False
69,Table,60162,4,5,0,False
70,Mobilier de table,60163,4,6,0,False
71,Mobilier mural,60166,4,7,0,False
72,Tapis,60167,4,8,0,False
73,Arme de surineur,60106,1,8,29,False
74,Divers (événements),60154,3,17,0,False
75,Mascotte,60155,3,19,0,True
76,Arme de chevalier noir,60170,1,2,32,False
77,Arme de machiniste,60172,1,11,31,False
78,Arme d'astromancien,60171,1,19,33,False
79,Élément d'aéronef/sous-marin,60169,3,20,0,False
80,Élément d'orchestrion,60173,3,21,0,True
81,Article de jardinage,60174,4,9,0,False
82,Peinture,60175,4,10,0,False
83,Arme de samouraï,60177,1,7,34,False
84,Arme de mage rouge,60176,1,15,35,False
85,Arme d'érudit,60178,1,18,28,False
86,Arme de pistosabreur,60181,1,3,37,False
87,Arme de danseur,60182,1,12,38,False
88,Arme de faucheur,60183,1,5,39,False
89,Arme de sage,60184,1,20,40,False
90,Divers (récompenses),60185,3,18,0,True
91,Arme de rôdeur vipère,60187,1,9,41,False
92,Arme de pictomancien,60188,1,16,42,False
93,,0,0,0,0,False
94,,0,0,0,0,False
95,,0,0,0,0,False
96,,0,0,0,0,False
97,,0,0,0,0,False
98,,0,0,0,0,False
99,,0,0,0,0,False
100,,0,0,0,0,False
