#,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9,Unknown10,Unknown11,Unknown12,Unknown13,Unknown14,Unknown15,Unknown16,Unknown17
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4543,4538,0,0,0,0,1,1,2,6,7,8,5,4,1,2,16,16
2,4544,4539,0,0,0,0,1,1,4,5,8,9,5,4,8,1,16,8
3,4543,4542,0,0,0,0,1,1,3,6,9,7,5,4,2,2,8,16
4,4544,4537,0,0,0,0,1,1,4,5,7,8,5,4,8,1,16,16
5,4543,4540,0,0,0,0,1,1,4,6,8,9,5,4,8,2,16,8
6,4544,4541,0,0,0,0,1,1,3,5,9,7,5,4,2,1,8,16
7,4543,4533,0,0,0,0,1,1,2,6,7,8,5,3,1,2,16,16
8,4544,4528,0,0,0,0,1,1,4,5,8,9,5,3,8,1,16,8
9,4545,4534,0,0,0,0,1,1,3,6,7,8,5,3,2,2,16,16
10,4545,4538,0,0,0,0,1,1,2,5,8,9,5,4,1,1,16,8
11,4537,4535,0,0,0,0,1,1,4,6,9,7,4,3,8,2,8,16
12,4537,4539,0,0,0,0,1,1,3,5,7,8,4,4,2,1,16,16
13,4540,4532,0,0,0,0,1,1,4,6,8,9,4,3,8,2,16,8
14,4547,4542,0,0,0,0,1,1,4,5,9,7,5,4,8,1,8,16
15,4550,4533,0,0,0,0,1,1,3,6,7,8,5,3,2,2,16,16
16,4550,4528,0,0,0,0,1,1,2,5,8,9,5,3,1,1,16,8
17,4545,4528,0,0,0,0,1,1,4,6,7,8,5,3,8,2,16,16
18,4545,4536,0,0,0,0,1,1,3,5,8,9,5,4,2,1,16,8
19,4540,4534,0,0,0,0,1,1,2,6,9,7,4,3,1,2,8,16
20,4540,4542,0,0,0,0,1,1,4,5,7,8,4,4,8,1,16,16
21,4540,4538,0,0,0,0,1,1,3,6,8,9,4,4,2,2,16,8
22,4540,4544,0,0,0,0,1,1,2,5,9,7,4,5,1,1,8,16
23,4540,4528,0,0,0,0,1,1,4,6,7,8,4,3,8,2,16,16
24,4545,4535,0,0,0,0,1,1,3,5,8,9,5,3,2,1,16,8
25,4545,4529,0,0,0,0,1,1,4,6,7,8,5,3,8,2,16,16
26,4541,4535,0,0,0,0,1,1,4,5,8,9,5,3,8,1,16,8
27,4549,4533,0,0,0,0,1,1,3,6,9,7,5,3,2,2,8,16
28,4549,4538,0,0,0,0,1,1,2,5,7,8,4,4,1,1,16,16
29,4540,4542,0,0,0,0,1,1,4,6,8,9,4,4,8,2,16,8
30,4541,4539,0,0,0,0,1,1,3,5,9,7,4,4,2,1,8,16
31,4549,4532,0,0,0,0,1,1,2,6,7,8,5,3,1,2,16,16
32,4549,4534,0,0,0,0,1,1,4,5,8,9,5,3,8,1,16,8
33,4546,4542,0,0,0,0,1,1,3,6,7,8,5,4,2,2,16,16
34,4546,4539,0,0,0,0,1,1,2,5,8,9,5,4,1,1,16,8
35,4541,4535,0,0,0,0,1,1,4,6,9,7,4,3,8,2,8,16
36,4541,4528,0,0,0,0,1,1,3,5,7,8,4,3,2,1,16,16
37,4547,4532,0,0,0,0,1,1,2,6,8,9,5,3,1,2,16,8
38,4546,4528,0,0,0,0,1,1,4,5,9,7,5,3,8,1,8,16
39,4546,4544,0,0,0,0,1,1,3,6,7,8,5,5,2,2,16,16
40,4541,4532,0,0,0,0,1,1,4,5,8,9,4,3,8,1,16,8
41,4548,4539,0,0,0,0,1,1,4,6,7,8,5,4,8,2,16,16
42,4548,4542,0,0,0,0,1,1,3,5,8,9,5,4,2,1,16,8
43,4540,4530,0,0,0,0,1,1,2,6,9,7,4,3,1,2,8,16
44,4540,4535,0,0,0,0,1,1,4,5,7,8,4,3,8,1,16,16
45,4547,4538,0,0,0,0,1,1,3,6,8,9,5,4,2,2,16,8
46,4547,4529,0,0,0,0,1,1,2,5,9,7,5,3,1,1,8,16
47,4540,4539,0,0,0,0,1,1,4,6,7,8,4,4,8,2,16,16
48,4548,4533,0,0,0,0,1,1,3,5,8,9,5,3,2,1,16,8
49,4550,4537,0,0,0,0,1,1,4,6,7,8,5,4,8,2,16,16
50,4550,4530,0,0,0,0,1,1,4,5,8,9,5,3,8,1,16,8
51,4540,4533,0,0,0,0,1,1,3,6,9,7,4,3,2,2,8,16
52,4540,4529,0,0,0,0,1,1,2,5,7,8,4,3,1,1,16,16
53,4540,4536,0,0,0,0,1,1,4,6,8,9,4,4,8,2,16,8
54,4540,4534,0,0,0,0,1,1,3,5,9,7,4,3,2,1,8,16
55,4550,4539,0,0,0,0,1,1,2,6,7,8,5,4,1,2,16,16
56,4550,4538,0,0,0,0,1,1,4,5,8,9,5,4,8,1,16,8
57,4545,4542,0,0,0,0,1,1,3,6,7,8,5,4,2,2,16,16
58,4545,4532,0,0,0,0,1,1,4,5,8,9,5,3,8,1,16,8
59,4541,4538,0,0,0,0,1,1,4,6,9,7,4,4,8,2,8,16
60,4545,4539,0,0,0,0,1,1,3,5,7,8,5,4,2,1,16,16
61,4541,4534,0,0,0,0,1,1,2,6,8,9,4,3,1,2,16,8
62,4541,4529,0,0,0,0,1,1,4,5,9,7,4,3,8,1,8,16
63,4545,4536,0,0,0,0,1,1,3,6,7,8,5,4,2,2,16,16
64,4545,4530,0,0,0,0,1,1,2,5,8,9,5,3,1,1,16,8
65,4550,4539,0,0,0,0,1,1,4,6,7,8,5,4,8,2,16,16
66,4545,4533,0,0,0,0,1,1,3,5,8,9,5,3,2,1,16,8
67,4537,4532,0,0,0,0,1,1,2,6,9,7,4,3,1,2,8,16
68,4550,4536,0,0,0,0,1,1,4,5,7,8,5,4,8,1,16,16
69,4537,4530,0,0,0,0,1,1,3,6,8,9,4,3,2,2,16,8
70,4537,4544,0,0,0,0,1,1,2,5,9,7,4,5,1,1,8,16
71,4550,4529,0,0,0,0,1,1,4,6,7,8,5,3,8,2,16,16
72,4550,4534,0,0,0,0,1,1,3,5,8,9,5,3,2,1,16,8
73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,4536,4530,0,0,0,0,1,1,2,6,7,8,4,3,1,2,16,16
102,4536,4531,0,0,0,0,1,1,4,5,8,9,4,3,8,1,16,8
103,4536,4535,0,0,0,0,1,1,3,6,9,7,4,3,2,2,8,16
104,4538,4528,0,0,0,0,1,1,4,5,7,8,4,2,8,1,16,16
105,4536,4529,0,0,0,0,1,1,4,6,8,9,4,3,8,2,16,8
106,4536,4534,0,0,0,0,1,1,3,5,9,7,4,3,2,1,8,16
107,4538,4525,0,0,0,0,1,1,2,6,7,8,4,2,1,2,16,16
108,4536,4527,0,0,0,0,1,1,4,5,8,9,4,2,8,1,16,8
109,4537,4524,0,0,0,0,1,1,3,6,7,8,4,2,2,2,16,16
110,4540,4527,0,0,0,0,1,1,2,5,8,9,4,2,1,1,16,8
111,4531,4525,0,0,0,0,1,1,4,6,9,7,3,2,8,2,8,16
112,4530,4529,0,0,0,0,1,1,3,5,7,8,3,3,2,1,16,16
113,4531,4528,0,0,0,0,1,1,4,6,8,9,3,2,8,2,16,8
114,4530,4534,0,0,0,0,1,1,4,5,9,7,3,3,8,1,8,16
115,4537,4522,0,0,0,0,1,1,3,6,7,8,4,2,2,2,16,16
116,4540,4528,0,0,0,0,1,1,2,5,8,9,4,2,1,1,16,8
117,4537,4525,0,0,0,0,1,1,4,6,7,8,4,2,8,2,16,16
118,4540,4532,0,0,0,0,1,1,3,5,8,9,4,3,2,1,16,8
119,4531,4527,0,0,0,0,1,1,2,6,9,7,3,2,1,2,8,16
120,4530,4534,0,0,0,0,1,1,4,5,7,8,3,3,8,1,16,16
121,4531,4532,0,0,0,0,1,1,3,6,8,9,3,3,2,2,16,8
122,4540,4528,0,0,0,0,1,1,2,5,9,7,4,2,1,1,8,16
123,4537,4533,0,0,0,0,1,1,4,6,7,8,4,3,8,2,16,16
124,4540,4522,0,0,0,0,1,1,3,5,8,9,4,2,2,1,16,8
125,4535,4527,0,0,0,0,1,1,2,6,7,8,3,2,1,2,16,16
126,4540,4526,0,0,0,0,1,1,4,5,8,9,4,2,8,1,16,8
127,4535,4524,0,0,0,0,1,1,3,6,9,7,3,2,2,2,8,16
128,4531,4528,0,0,0,0,1,1,4,5,7,8,3,2,8,1,16,16
129,4531,4534,0,0,0,0,1,1,4,6,8,9,3,3,8,2,16,8
130,4535,4529,0,0,0,0,1,1,3,5,9,7,3,3,2,1,8,16
131,4540,4525,0,0,0,0,1,1,2,6,7,8,4,2,1,2,16,16
132,4540,4532,0,0,0,0,1,1,4,5,8,9,4,3,8,1,16,8
133,4541,4534,0,0,0,0,1,1,3,6,7,8,4,3,2,2,16,16
134,4541,4529,0,0,0,0,1,1,4,5,8,9,4,3,8,1,16,8
135,4535,4525,0,0,0,0,1,1,4,6,9,7,3,2,8,2,8,16
136,4535,4522,0,0,0,0,1,1,3,5,7,8,3,2,2,1,16,16
137,4538,4528,0,0,0,0,1,1,2,6,8,9,4,2,1,2,16,8
138,4541,4533,0,0,0,0,1,1,4,5,9,7,4,3,8,1,8,16
139,4541,4524,0,0,0,0,1,1,3,6,7,8,4,2,2,2,16,16
140,4535,4526,0,0,0,0,1,1,2,5,8,9,3,2,1,1,16,8
141,4542,4529,0,0,0,0,1,1,4,6,7,8,4,3,8,2,16,16
142,4531,4534,0,0,0,0,1,1,3,5,8,9,3,3,2,1,16,8
143,4531,4522,0,0,0,0,1,1,2,6,9,7,3,2,1,2,8,16
144,4542,4525,0,0,0,0,1,1,4,5,7,8,4,2,8,1,16,16
145,4542,4532,0,0,0,0,1,1,3,6,8,9,4,3,2,2,16,8
146,4542,4526,0,0,0,0,1,1,2,5,9,7,4,2,1,1,8,16
147,4531,4527,0,0,0,0,1,1,4,6,7,8,3,2,8,2,16,16
148,4531,4524,0,0,0,0,1,1,3,5,8,9,3,2,2,1,16,8
149,4537,4529,0,0,0,0,1,1,2,6,7,8,4,3,1,2,16,16
150,4540,4530,0,0,0,0,1,1,4,5,8,9,4,3,8,1,16,8
151,4537,4524,0,0,0,0,1,1,3,6,9,7,4,2,2,2,8,16
152,4531,4526,0,0,0,0,1,1,2,5,7,8,3,2,1,1,16,16
153,4535,4533,0,0,0,0,1,1,4,6,8,9,3,3,8,2,16,8
154,4538,4527,0,0,0,0,1,1,3,5,9,7,4,2,2,1,8,16
155,4537,4528,0,0,0,0,1,1,4,6,7,8,4,2,8,2,16,16
