#,Name,Description,Icon,Image
0,,,0,0
1,C'est du propre !,"Quelle surprise de découvrir que Silkie, l'ancien familier de ménage du palais sacré d'Ul'dah, appartenait en réalité à Mère ! Papashan l'ayant bien connue de son vivant, nous sommes allée l'interroger à ce sujet (évidemment de façon détournée, sans rien lui révéler de nos virées souterraines).
Selon ses dires, Mère était très à cheval sur la propreté, au point que dès son arrivée au palais, elle s'était mise à en éponger les coins et recoins elle-même. Catastrophées à l'idée que l'épouse du sultan se salisse les mains, ses servantes n'avaient eu d'autre choix que de soustraire à sa vue tout le nécessaire de nettoyage. Cependant, cela n'arrêta pas leur maîtresse, qui engagea alors un mage sharlayanais pour lui apprendre à créer un familier de ménage géant : Silkie. Dès qu'il apercevait la moindre trace de crasse, le rongeur se ruait aussitôt dessus, quitte à bousculer au passage quelques casques d'argent... Il était apparemment devenu une attraction locale lorsqu'un beau jour, on ne sait trop quand, il disparut du palais. Le conflit avec les monétaristes s'in­ten­si­fiant, on peut imaginer que Mère lui ait confié la garde de son jardin secret, sachant qu'elle aurait moins le temps d'y flâner.
Quelle hardiesse tout de même ! C'était déjà osé de sa part de créer un tel familier, mais qu'elle l'ait en plus doté d'une force prodigieuse... C'est le pompon, pourrait-on dire !",70501,70401
2,Une question de fierté,"Dans l'espoir de trouver quelque ren­sei­gne­ment utile, nous avons épluché les documents d'archives du palais concernant l'histoire de Sil'dih. Hélas, les rapports officiels contiennent, sans surprise, très peu d'in­for­ma­tions nouvelles. Notre seule découverte intéressante est le témoignage d'un soldat uldien ayant combattu avec les Amalj'aa durant la grande chasse aux zombis. Il y décrit une coopération loin d'être évidente, la faute à des divergences majeures dans la façon d'approcher le combat.
À l'époque, les canalisations sildiennes étaient envahies par d'innombrables zombis de taille et de force variables. Du point de vue du soldat, il était logique de s'attaquer en priorité aux plus faibles afin d'élaguer rapidement les rangs ennemis. Or, les Amalj'aa ne l'entendaient pas de cette oreille, et allaient systématiquement vers l'adversaire le plus coriace du lot en premier. Il leur demanda pourquoi ; ils répondirent qu'il s'agissait pour eux d'une manière d'afficher leur force, et que l'approche inverse ne pouvait que trahir un manque de confiance en soi.
Chacun aurait finalement respecté l'opinion de l'autre, et combattu selon sa préférence ; autrement dit, les Uldiens ont d'abord attaqué les zombis les plus faibles. Nous ne savons pas si cette information s'avérera utile, mais nous tenions tout de même à la noter, à tout hasard...",70502,70402
3,"À deux, au soleil","Lui était le sultan d'Ul'dah. Elle, la fille d'une modeste famille de marchands. Leur rencontre eut lieu lors d'un banquet d'affaires organisé au palais ; d'après eux, ce fut aussitôt le coup de foudre. Romantique, n'est-ce pas ? Et ce n'est pas tout : avant de s'unir, nos parents avaient, semble-t-il, pris l'habitude de se retrouver en privé dans leur “jardin secret” ; un lieu pro­fon­dé­ment enfoui sous la terre, mais pourtant ensoleillé, et même fleuri... exactement comme le coin de verdure que nous avons découvert au fond des canalisations sildiennes.
Par la suite, leurs fiançailles furent annoncées, et beaucoup d'Uldiens s'interrogèrent sur le lieu de demande en mariage du sultan... Des petits malins en auraient même profité pour prendre les paris, preuve s'il en est que nos concitoyens ont toujours eu le commerce dans le sang ! Malgré tout, personne ne découvrit jamais l'endroit en question, et on comprend facilement pourquoi.
Pour notre part, nous retiendrons cette image : celle de Père et de Mère passant un moment privilégié, dans leur petit coin de paradis caché sous le sable ardent du Thanalan... Rien que d'y penser, nous en avons le sourire aux lèvres. Après tant d'années, il était temps que leur souvenir nous évoque enfin des sentiments joyeux...",70503,70403
4,La clef des souvenirs,"Pour notre cinquième anniversaire, nos parents nous offrirent une clef en argent, sans toutefois nous en préciser l'utilité exacte. “Lorsque tu seras devenue une grande et gente dame, nous t'emmènerons découvrir un lieu qui nous est cher”, disait Mère. “Un lieu chargé d'histoire uldienne”, renchérissait Père. Pour l'enfant que nous étions, c'était comme recevoir un cadeau sans être autorisée à l'ouvrir – assez frustrant, il faut bien le dire... Néanmoins, nous gardons, avec le recul, un souvenir ému de ce moment.
Quelque temps plus tard, nos parents rejoignaient tous deux le royaume de Thal ; une séparation brutale, qui nous laissait seule et désemparée face aux res­pon­sa­bi­li­tés de sultane qui nous incombaient désormais. Nous avancions, pleine de tristesse et de doutes, comme à travers un désert au sable tantôt brûlant, tantôt glacial. La clef ? La promesse de nos parents ? Ce lieu si cher à leurs yeux ? Oubliés, perdus dans un coin de notre mémoire.
Pourquoi nous avoir fait un tel cadeau, et si précocement ? Pressentaient-ils le malheur qui allait s'abattre sur eux ? Ou y avait-il une autre raison que nous ignorons ? Nos parents ne sont plus là pour nous répondre, mais nous avons malgré tout une certitude : cette clef n'est pas entre nos mains par hasard.",70504,70404
5,Un combat politique,"Si l'on admet que le camp de Zahar'ak, construit par les Amalj'aa à l'époque de la grande chasse aux zombis, était leur fief principal, alors ce que nous avons découvert dans les canalisations sildiennes était sans doute un avant-poste. Une découverte loin d'être anodine, puisque c'est la clef de nos parents qui permet d'y accéder ; et que le journal laissé par Père après son décès mentionnait l'existence d'une “preuve formelle de notre alliance passée avec les Amalj'aa”.
Tout au long de sa vie, Père a été un fervent opposant à la loi bannissant les hommes-bêtes de la cité. Ce sont les monétaristes qui, dans leur propre intérêt, en avaient forcé la promulgation, contre sa volonté de sultan et avec l'appui du Cartel des Scorpions. À ce que l'on raconte, Père avait tenté de mobiliser l'opinion publique contre ladite loi, s'engageant à présenter non pas des écrits ou des rapports facilement falsifiables, mais une preuve tangible et incontestable d'un combat mené aux côtés des Amalj'aa, censée faire pencher la balance en faveur de la réconciliation. Hélas, un “accident” l'emporta avant qu'il n'achève sa lutte.
Quelle était cette “preuve formelle” et où se trouve-t-elle ? Aujourd'hui encore, nous sommes incapable de répondre à ces questions. Peut-être découvrirons-nous des indices au sein de ce fameux avant-poste...
À y repenser, nous n'avons jamais vraiment pu aider nos parents... Mais à présent que la paix avec les Amalj'aa semble plus que jamais à portée de main, nous aimerions pouvoir accomplir l'idéal de Père à sa place. Encore faut-il mettre la main sur cette “preuve”...",70505,70405
6,Le poids du péché,"Quelle macabre découverte que ce guerrier amalj'aa enfermé dans son sarcophage... Sans doute a-t-il subi, durant la chasse aux zombis, une blessure par laquelle le mal s'est insinué dans sa chair...
La poudre putréfactrice, préparation interdite permettant de ranimer les morts, fut mise au point jadis par des occultistes uldiens. Notre Cité l'employa contre sa rivale Sil'dih ; comble de la perfidie, le sultan Sasagan III accusa l'état-major sildien d'avoir concocté la poudre pour transformer ses propres citoyens en soldats serviles. En fin de compte, il fut traduit en justice par les Thorne, lors d'un procès qui signa la fin de la première dynastie des Ul. Cependant, le mensonge d'État lui survécut, et perdure encore aujourd'hui.
Cette histoire falsifiée est la résultante de volontés multiples : celle des Ul, qui se seraient accrochés au pouvoir par tous les moyens, et celle de l'ordre de Nald'thal, qui entretenait des liens étroits avec les occultistes. Évidemment, un grand nombre d'Uldiens auraient également refusé d'admettre que leur cité s'est construite sur les ruines d'une autre, au prix d'un ignoble crime de guerre.
Pourtant, nous avons la conviction que l'avenir ne s'envisage qu'en raccord avec le passé. L'image de cet Amalj'aa déchu nous rappelle à nous, descendante des Ul, la res­pon­sa­bi­li­té qui pèse sur nos épaules. À l'instar d'Ishgard, le moment est peut-être venu pour Ul'dah de renouer avec toute son histoire, aussi douloureuse soit-elle.",70506,70406
7,Des prières au parfum de myrrhe,"Nous voulions nous enquérir auprès des Amalj'aa d'un sujet précis concernant les canalisations sildiennes, mais nous ne sommes pas parvenue à l'aborder durant la dernière réunion générale. S'il venait à s'ébruiter que la sultane d'Ul'dah s'échappe en secret de ses appartements pour mener une enquête à l'abri des regards, cela aurait des répercussions fâcheuses sur notre garde du corps. Nous devons rester aussi discrète que possible.
Ainsi, après la fin de la réunion, nous avons opté pour une con­ver­sa­tion privée avec le chef amalj'aa, que nous avons habilement fait dévier des banalités d'usage à la question des rites funéraires pratiqués par sa tribu. Nous lui avons appris qu'un sarcophage renfermant un guerrier amalj'aa zombifié avait été découvert, puis nous lui avons demandé de bien vouloir nous enseigner la manière adéquate d'accompagner son esprit dans l'au-delà. Visiblement interloqué, le chef nous a répondu qu'il ne fallait surtout pas toucher directement le cercueil, car cela perturberait le sommeil du guerrier. Voici la procédure à suivre durant la prière telle qu'il nous l'a décrite avec ses propres mots : “Tout d'abord, devant le sarcophage inclinez-vous. Ensuite, avec respect recueillez-vous, puis des grandes victoires du héros trépassé réjouissez-vous. Enfin, pour lui dire adieu agenouillez-vous.” En guise de conclusion à ce rite traditionnel créé pour faire honneur aux victimes des champs de bataille, le chef a précisé qu'il fallait brûler de la résine de myrrhe afin de purifier l'âme du défunt.
En l'écoutant at­ten­ti­ve­ment, nous avons réalisé que notre ignorance des Amalj'aa et de leur culture était malheureusement bien plus grande que nous ne le pensions. Nous tâcherons de combler ce manquement de notre part dès que l'occasion se présentera.",70507,70407
8,Ul'dah et Sil'dih,"Jadis, la scission de l'antique cité de Belah'dia donna naissance à deux nouvelles entités : Ul'dah et Sil'dih. D'après les recueils d'histoire, au bout d'un rude conflit, les Sildiens connurent une fin atroce sous l'emprise d'une poudre putréfactrice qui les décima au complet. La nouvelle capitale, notre belle Ul'dah, fut ensuite fondée sur les décombres de sa jumelle, mais ces derniers peuvent encore être aperçus çà et là autour de la cité, et plus par­ti­cu­liè­rement dans ses souterrains. Les ins­tal­la­tions qui y avaient été construites prouvèrent qu'elles pouvaient encore être très utiles pour faire circuler l'eau dans les environs ; elles furent na­tu­rel­le­ment baptisées les “canalisations sildiennes”. L'ironie de ce nom ne manqua pas de frapper les esprits les plus aiguisés, puisque l'antagonisme entre Uldiens et Sildiens avait émergé en raison de disputes autour des sources d'eau.
Il n'y a rien de foncièrement surprenant à ce que ces canalisations mènent à d'autres vestiges de Sil'dih, mais en les parcourant, nous ne nous imaginions pas mettre sou­dai­ne­ment les pieds dans le palais abandonné ! S'il avait été situé à la surface, les vents brûlants du Thanalan auraient depuis longtemps provoqué son érosion, mais grâce à l'atmosphère plus clémente des profondeurs, il est en quelque sorte resté figé dans un passé révolu.
Voilà le genre de découverte que nous ne ferons cer­tai­ne­ment qu'une fois dans notre vie ! Un palais aussi bien conservé fera à coup sûr le bonheur de nos archéologues, pour autant qu'ils puissent parvenir jusqu'à lui sans encombre. Aménager une voie d'accès aussi sûre et rapide que possible doit désormais faire partie de nos priorités.",70508,70408
9,Drapeaux et symboles,"Lorsque nous avons posé les yeux sur le drapeau national sildien, nous nous sommes rappelé à quel point Ul'dah et Sil'dih partageaient des racines communes, notamment en raison de la gémellité de leurs souverains. Toutefois, ce n'est pas la seule et unique raison pour laquelle leurs bannières se ressemblent autant. Du temps de Belah'dia, la balance de la justice portait sur ses plateaux le feu sacré et le raisin. C'est par la suite qu'Ul'dah hérita symboliquement du feu, signe de pouvoir, tandis que Sil'dih s'appropria le raisin, signe de sagesse ; quant au joyau incarnant la richesse et au casque re­pré­sen­tant la force, ils servaient à maintenir l'équilibre de leurs plateaux respectifs. Si les Uldiens et les Sildiens se sont autant inspirés de Belah'dia pour leurs drapeaux, c'était aussi parce que chacun des deux peuples successeurs voulait prouver à l'autre la supériorité de sa légitimité.
En outre, malgré leur identique volonté de mettre en avant une repré­sen­ta­tion de l'idée de pouvoir sur leur étendard, celui envisagé par Ul'dah est prin­ci­pa­le­ment lié à la magie, tandis que celui de Sil'dih se rapporte en premier lieu à l'art de la guerre, ce qui indique une divergence de vues fondamentale. À ce propos, il nous paraît désormais évident que les gladiateurs qui s'affrontent dans notre Colisée sont davantage en symbiose avec la vision sildienne.
En y réfléchissant de plus près, la statue géante que notre garde du corps a affrontée au fond du palais en affichait également tous les symboles. Son casque était décoré de raisin aux motifs subtils ; quant à son armure, elle brillait du même éclat argenté que la balance sildienne, malgré le manque de luminosité des sous-sols. Quand nous pensons qu'elle devait errer là depuis une éternité, remplissant seule son devoir de gardienne malgré la disparition de ses maîtres, les larmes nous montent aux yeux...",70509,70409
