#,Name,Icon,IconDutyFinder,Unknown1,Unknown2
0,,0,0,0,0
1,Missions aléatoires,61807,0,0,0
2,Donjons,61801,60831,1,1
3,Opérations de guilde,61803,60833,2,2
4,Défis,61804,60834,1,3
5,Raids,61802,60832,1,4
6,JcJ,61806,60836,1,5
7,Batailles de quête,61805,60835,0,0
8,ALÉA,61809,0,0,0
9,Chasse aux trésors,61808,60838,0,0
10,Mandats,61811,0,0,0
11,Grandes compagnies,61812,0,0,0
12,Compagnon,61813,0,0,0
13,Quêtes des peuples alliés,61814,0,0,0
14,Bonus de réussites,61810,0,0,0
15,Honneurs,61817,0,0,0
16,Récolte,61815,60859,0,0
17,Artisanat,61816,0,0,0
18,Servants,61818,0,0,0
19,Gold Saucer,61820,60848,1,0
20,,61823,60846,0,0
21,Donjons sans fond,61824,60847,0,0
22,,61801,60831,0,0
23,,61821,61821,2,0
24,Aventures imaginaires,61825,0,0,0
25,Commandes spéciales,61827,0,0,0
26,Eurêka,61833,60851,0,0
27,La Grande Mascarade,61836,60853,0,0
28,Raids fatals,61832,60855,1,6
29,Garde-la-Reine,61838,61838,0,0
30,Donjons spéciaux,61846,61846,1,0
31,Pêche en mer,61756,0,0,0
32,Triple Triade,61820,0,0,0
33,Contrats de chasse,61819,0,0,0
34,Pêche,61756,0,0,0
35,JACTA,61820,0,0,0
36,Félicité insulaire,61847,0,0,0
37,Raids chaotiques,61850,60807,1,7
38,Île de Lunule,61851,60808,0,0
39,,61824,60847,0,0
40,,0,0,0,0
