#,Name,Description,LGBEventObject,LGBMapRange,Quest,Announce,IconObjective0,IconObjective1,Unknown6,Unknown7,Unknown2,EventType,EnemyType,MaxParticipants,Duration,Unknown5,SingleBattle,Unknown9,Unknown8
0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,Grandeur et pestilence,L'infâme Clarricie a libéré un monstre fait de putréfaction végétale sur le champ de bataille. Abattez cette horreur de Peeriefool avant que sa pestilence ne mette toutes vos troupes hors d'état de combattre.,8373717,8511877,69477,0,0,0,0,0,0,1,4,48,20,0,0,0,True
2,Le chien des enfers,"Les mages impériaux sèment le chaos sur le front et ont invoqué le féroce Canis Dirus, chien tricéphale enragé. Empêchez-le de faire des ravages parmi les rangs de la résistance.",8374110,8511881,69477,0,0,0,0,0,0,1,2,48,20,0,0,0,True
3,Vigile de feu,Une version améliorée du scorpion magitek piloté par Dabog sème la terreur sur le champ de bataille. Détruisez Vigile.,8367113,8511882,69477,0,0,0,0,0,0,1,1,48,20,0,0,0,True
4,Force divine,Dabog joue sa carte maîtresse en utilisant l'armure volante magitek Gabriel. Détruisez cette menace aérienne avant qu'elle ne décime les troupes.,8367033,8511886,69477,0,0,0,0,0,0,2,3,1,20,0,1,0,True
5,Les ailes noires de la mort,"Les dresseurs impériaux ont décidément plus d'une créature cauchemardesque dans leur poche. Akbaba, l'oiseau de mauvais augure, sème la panique sur le champ de bataille. Il vous faut l'arrêter à tout prix.",8342248,8511887,69477,0,0,0,0,0,0,1,4,48,20,0,0,0,True
6,Menace spectrale,"Alors que Llofii est parvenue à s'échapper avec son monocéros, les Impériaux ont lancé un terrible ennemi à sa poursuite : Spartoi, le spectre enragé. Abattez-le pour aider l'invocatrice à fuir.",8367316,8511891,69481,0,0,0,0,0,0,1,5,48,20,0,0,0,True
7,Une ruée en rouge,"Une horde de chocobos rouges a fait irruption sur le front sud ! Empêchez la meute de faire trop de dégâts en abattant son chef, Comète rouge !",8374867,8511892,69481,0,0,0,0,0,0,1,4,48,20,0,0,0,True
8,Le Roi bestial,"Lyon, le commandant de la cohorte bestiale vous défie en combat singulier ! Remportez la victoire contre ce redoutable ennemi pour apporter un avantage décisif à la résistance bozjienne.",8374963,8511893,69481,0,0,0,0,0,0,2,3,1,20,0,2,0,True
9,Brasier de guerre,Les pyromanciens de la centurie des tisons ont déployé des pyrobolos qui réduisent le champ de bataille en cendres. À vous de les arrêter !,8375462,8511895,69481,0,0,0,0,0,0,3,2,24,20,0,0,0,True
10,Les fusils du patriote,Les Impériaux ont fait appel à une de leurs plus infâmes créations technologiques pour défendre leur position. Détruisez la machine magitek Patriote afin de repousser les Garlemaldais !,8374781,8511898,69481,0,0,0,0,0,0,1,1,48,20,0,0,0,True
11,L'œil du malin,"La cohorte des incantateurs a invoqué Éale, un monstre au regard démoniaque, sur le champ de bataille. Abattez cette créature avant qu'elle ne fasse des ravages !",8377121,8511901,69484,0,0,0,0,0,0,1,2,24,20,0,0,0,True
12,L'envol du phénix,Le plus terrible des pyromanciens de la 4e légion sévit sur le champ de bataille. Affrontrez Sartauvoir le fer rouge pour enfin mettre un terme à ses exactions !,8374538,8511905,69484,0,0,0,0,0,0,2,3,1,20,0,3,0,True
13,Le guerrier de métal,"Sicinius, l'ingénieur magitek, a déployé une de ses nouvelles créations sur le front : Dáinsleif. Mettez ce monstre de métal en pièces !",8367337,8511910,69484,0,0,0,0,0,0,1,1,48,20,0,0,0,True
14,Le soulèvement des machines,Sicinius continue de vous mettre des bâtons dans les roues avec ses créations mécaniques. Sa dernière trouvaille a été de restaurer une arme antique. Elle sème maintenant la panique sur le champ de bataille. À vous d'arrêter ce colosse de métal !,8377886,8511912,69484,0,0,0,0,0,0,1,1,48,20,0,0,0,True
15,Le mastodonte enragé,La cohorte bestiale est parvenue à l'aide de potions extraordinaires à faire revenir le terrible mastodonte Chlevnik d'entre les morts. Empêchez-le de décimer vos rangs avec ses puissantes cornes !,8367328,8511913,69484,0,0,0,0,0,0,1,5,48,20,0,0,0,True
16,Assaut sur Castrum Lacus Litore,"L'heure est enfin venue de capturer Castrum Lacus Litore, base militaire des Impériaux et point névralgique du Front sud de Bozja. Avec vos camarades résistants à vos côtés, rien ne pourra vous arrêter !",0,0,69487,9626,0,0,0,0,0,4,6,48,20,1,0,0,True
17,Zirnitrop,"La centurie des invocateurs tente une poussée à grand renfort de familiers. Éliminez-les, eux et ces zirnitra qu'ils semblent adorer tant.",8664684,8664761,69620,0,0,0,0,0,0,3,2,48,20,0,0,0,True
18,On arrête le progrès,"L'Escarre semble être le successeur des plongeurs infernaux. Faites-en un amas de tôles froissées, histoire que la 4e légion abandonne pour de bon le développement de ces machines de mort.",8664685,8664762,69629,0,0,0,0,0,0,1,1,48,20,0,0,0,True
19,Dabog l'hyper-renforcé,"La cohorte d'infanterie mécanisée emploie des soldats entre homme et machine, mais Dabog ne semble plus rentrer dans l'une ou l'autre catégorie. Abattez le monstre qu'il est devenu.",8664686,8664763,69620,0,0,0,0,0,0,2,3,1,20,0,4,0,True
20,Le Sycophante,Un prêtre magitek de la 4e légion a utilisé une auralithe sacrée et s'est sacrifié pour invoquer une créature mythique. Envoyez Shemhazai dans l'au-delà puisqu'il tient tant à contrôler les âmes outre-tombe.,8664687,8664764,69620,0,0,0,0,0,0,1,8,48,20,0,0,0,True
21,C'est dans ma nature,"Les dresseurs de la 4e légion ont à leur disposition une véritable ménagerie. Preuve en est, ce scorpion mythique qu'ils ont capturé dans L'Escarre, un arachnide aussi inaccueillant que son lieu d'origine.",8664688,8664765,69620,0,0,0,0,0,0,1,4,48,20,0,0,0,True
