#,Name,Icon,StartAnimation,LoopAnimation,EndAnimation,CastTime
0,,1,0,0,0,0
1,Interaction,19603,80,81,82,2
2,Interaction,19603,80,81,82,2
3,Interaction,19603,80,81,82,5
4,Interaction,19603,80,81,82,10
5,Interaction,19603,80,81,82,15
6,Interaction,19603,80,81,82,2
7,Interaction,19603,80,81,82,5
8,Interaction,19603,80,81,82,10
9,Interaction,19603,80,81,82,15
10,En attente,19604,175,176,177,2
11,En attente,19604,175,176,177,2
12,En attente,19604,175,176,177,5
13,En attente,19604,175,176,177,10
14,Interaction,19603,80,81,82,2
15,Interaction,19603,80,81,82,2
16,Interaction,19603,80,81,82,5
17,Interaction,19603,80,81,82,10
18,Interaction,19603,80,81,82,2
19,Harmonisation,19605,169,170,171,5
20,Interaction,19603,80,81,82,1
21,Interaction,19603,80,81,82,2
22,Interaction,19603,80,81,82,5
23,Interaction,19603,172,173,174,1
24,Interaction,19603,172,173,174,2
25,Interaction,19603,172,173,174,5
26,Aide,19603,184,185,186,2
27,Sifflement,19604,178,179,180,2
28,Surveille,19604,175,176,177,10
29,Enregistrement,19603,172,173,174,1
30,Sifflement,19603,178,179,180,2
31,Interaction,19603,181,182,183,2
32,Interaction,19603,181,182,183,5
33,Interaction,19603,181,182,183,10
34,Aide,19603,184,185,186,2
35,Aide,19603,184,185,186,5
36,Aide,19603,184,185,186,10
37,Interaction,19603,178,179,180,2
38,Aide,19603,172,173,174,2
39,Aide,19603,172,173,174,5
40,Aide,19603,172,173,174,10
41,Interaction,19604,175,176,177,10
42,Délie,19603,181,182,183,10
43,Interaction,19603,172,173,174,10
44,Interaction,19603,184,185,186,10
45,Interaction,19603,172,173,174,2
46,Interaction,19603,172,173,174,5
47,Interaction,19603,172,173,174,10
48,Effrayer,19603,181,182,183,5
49,Interaction,19603,181,182,183,5
50,Observation,19604,175,176,177,5
51,Ouverture de la valve,19603,181,182,183,5
52,Interaction,19603,80,81,82,1
53,Interaction,19603,181,182,183,2
54,Interaction,19603,181,182,183,5
55,Interaction,19603,181,182,183,10
56,Surveille,19604,175,176,177,5
57,Occupation,19603,172,173,174,2
58,Occupation,19603,172,173,174,5
59,Occupation,19603,172,173,174,10
60,Communion,19603,172,173,174,5
61,Interaction,19603,0,0,0,2
62,Interaction,19603,80,81,82,8
63,Interaction,19603,0,0,0,5
64,Interaction,19603,0,0,0,0
65,Récupération de céruleum,19603,80,81,82,3
66,Occupation,19603,172,173,174,5
67,Manœuvre,19603,172,173,174,2
68,Observation,19603,175,176,177,2
69,Interaction,19603,172,173,174,1
70,Dépeçage,19603,181,182,183,5
71,Invocation,19603,172,173,174,2
72,Soin,19603,184,185,186,5
73,Magie curative,19673,0,5704,5705,5
74,Ramasser,19603,80,81,82,3
75,Obtention,19603,80,81,82,4
76,Transformation,19603,0,7347,151,7
77,Assemblage,19603,0,7346,151,10
78,Alimentation,19603,172,173,174,10
79,Passage de pacte,19603,80,81,82,6
80,Chargement,19603,0,4189,12632,3
81,Concassage,19603,0,7364,151,10
82,Mélangeage,19603,0,7365,151,7
83,Balayage,19603,0,7366,151,10
84,Obtention,19603,184,185,186,4
85,Réparation,19603,0,7399,151,10
86,Toucher la statue,19603,172,173,174,2
87,Construction,19603,0,7394,151,10
88,Découpage,19603,181,182,183,7
89,Obtention,19603,80,81,82,10
90,Confection,19603,0,7421,150,10
91,Transport,19603,80,81,82,3
92,Chargement,19603,0,4189,12632,2
93,Ouverture,19603,80,81,82,5
94,Monte,19603,172,173,174,2
95,Distribution,19603,0,4189,12632,3
96,Pose d'explosif,19603,181,182,183,5
97,Bon appétit,19603,0,8436,0,9
98,Bon appétit,19603,0,8436,0,3
99,Remplissage de carburant,19603,0,208,12632,3
100,Concentration,19603,0,155,0,5
101,Apaisement,19603,172,173,174,5
102,Partage d'éther,19603,172,173,174,5
103,Sifflement,19603,178,179,180,3
104,Aide,19603,181,182,183,5
105,Interaction,19603,181,182,183,3
106,Soin,19603,172,173,174,5
107,Décharge d'éther,19603,169,170,171,5
108,Apaisement,19603,11987,11988,11989,5
109,Ramassage,19603,0,0,0,1
110,Livraison,19603,172,173,174,3
111,Forage vertical,19603,0,12261,12481,6
112,Forage horizontal,19603,0,12260,12474,6
113,Aspiration,19603,0,12259,12474,6
114,Soudage,19603,0,12258,12474,6
115,Obtention de matériau,19603,172,173,12473,4
116,Manufacture de produit,19603,181,182,12480,5
117,Ramassage,19603,80,81,82,6
118,Stockage,19603,0,4189,12474,3
119,Récupération,19603,181,182,12470,4
120,Recharge,19603,172,173,12471,6
121,Remise en place,19603,181,182,12472,4
122,Ouvrage,19603,0,7394,12474,6
123,Obtention d'ingrédient,19603,181,182,183,1
124,Interaction,19612,181,182,183,2
125,Soudage,19603,0,12425,12474,6
126,Refroidissement,19603,0,12424,12468,5
127,Approvisionnement,19603,172,173,174,5
128,Refroidissement,19603,0,12467,12469,5
129,Forage vertical,19603,0,12261,12482,6
130,Dépeçage,19603,12483,12484,12485,3
131,,0,0,0,0,0
132,Picto Ballons,19730,12520,12521,12522,3
133,Picto Nixe,19730,12523,12524,12525,3
134,Creusage,19603,0,12534,151,5
135,Aspersion,19603,0,12537,12538,5
136,Ramassage,19603,80,81,12535,6
137,Levage,19603,181,182,12539,4
138,Levage,19603,181,182,12542,4
139,Canalisation éthérée,19603,12557,12558,12541,5
140,Canalisation éthérée,19603,12559,12560,12544,5
141,Forage vertical,19603,0,12261,12545,6
142,Approvisionnement,19603,172,173,174,5
143,,0,0,0,0,0
144,,0,0,0,0,0
