#,CostGCSeals,Item,RequiredGrandCompanyRank,SortKey
0.0,0,0,0,0
1.0,12,5594,1,50
1.1,34,5595,1,50
1.2,70,5596,1,50
1.3,120,4564,1,50
1.4,290,4566,1,50
1.5,200,21072,1,40
1.6,200,6017,1,50
1.7,500,15855,1,50
1.8,500,15856,1,50
1.9,1010,4568,2,100
1.10,1710,4567,2,100
1.11,1440,4632,3,150
1.12,1440,4633,3,150
1.13,138,5597,4,200
1.14,230,5598,4,200
1.15,0,0,0,0
2.0,1060,1619,1,50
2.1,1060,1691,1,50
2.2,1060,1761,1,50
2.3,1060,1830,1,50
2.4,1060,1903,1,50
2.5,1060,2008,1,50
2.6,1060,2114,1,50
2.7,1060,2154,1,50
2.8,1060,9191,1,50
2.9,1770,1630,4,200
2.10,1770,1703,4,200
2.11,1770,1773,4,200
2.12,1770,1842,4,200
2.13,1770,1912,4,200
2.14,1770,2018,4,200
2.15,1770,2074,4,200
2.16,1770,2163,4,200
2.17,1770,9200,4,200
2.18,1770,10420,4,200
2.19,1770,10482,4,200
2.20,1770,10544,4,200
2.21,0,0,0,0
3.0,680,2716,1,50
3.1,1040,3048,1,50
3.2,660,3566,1,50
3.3,730,3797,1,50
3.4,1390,3073,2,100
3.5,1390,3072,2,100
3.6,970,3815,2,100
3.7,970,3814,2,100
3.8,970,3816,2,100
3.9,540,4437,2,100
3.10,1520,2253,3,150
3.11,1470,3084,3,150
3.12,1470,3082,3,150
3.13,1470,3085,3,150
3.14,1470,3083,3,150
3.15,1050,3592,3,150
3.16,1080,3359,3,150
3.17,1080,3360,3,150
3.18,720,4319,3,150
3.19,1050,3593,3,150
3.20,1050,3591,3,150
3.21,1280,2761,4,200
3.22,1960,3113,4,200
3.23,1960,3114,4,200
3.24,1960,3112,4,200
3.25,1360,3375,4,200
3.26,1210,4123,4,200
3.27,0,0,0,0
4.0,4000,6020,5,50
4.1,2850,4561,5,50
4.2,6000,6021,6,100
4.3,2300,4634,7,150
4.4,2300,4635,7,150
4.5,2730,4636,8,200
4.6,8000,6022,8,200
4.7,500,6141,8,200
4.8,1000,7060,8,200
4.9,1500,7059,8,200
4.10,5050,6526,8,200
4.11,6900,6553,8,200
4.12,8300,6538,8,200
4.13,6700,6556,8,200
4.14,9070,6545,8,200
4.15,1100,6662,8,200
4.16,4900,6656,8,200
4.17,6800,6470,8,200
4.18,200,7621,8,200
4.19,200,21800,8,200
4.20,0,0,0,0
4.21,0,0,0,0
4.22,0,0,0,0
4.23,0,0,0,0
4.24,0,0,0,0
4.25,0,0,0,0
4.26,0,0,0,0
5.0,2970,1646,6,100
5.1,2970,1714,6,100
5.2,2970,1784,6,100
5.3,2970,1853,6,100
5.4,2970,1923,6,100
5.5,2970,2029,6,100
5.6,2970,2127,6,100
5.7,2970,2172,6,100
5.8,2970,9207,6,100
5.9,2970,10423,6,100
5.10,2970,10485,6,100
5.11,2970,10547,6,100
5.12,3530,1654,7,150
5.13,3530,1721,7,150
5.14,3530,1791,7,150
5.15,3530,1790,7,150
5.16,3530,1859,7,150
5.17,3530,1860,7,150
5.18,3530,1929,7,150
5.19,3530,2034,7,150
5.20,3530,2085,7,150
5.21,3530,2086,7,150
5.22,3530,2179,7,150
5.23,3530,9212,7,150
5.24,3530,10426,7,150
5.25,3530,10488,7,150
5.26,3530,10550,7,150
5.27,4200,1726,8,200
5.28,4200,1794,8,200
5.29,4200,1865,8,200
5.30,4200,1935,8,200
5.31,4200,2037,8,200
5.32,4200,2091,8,200
5.33,4200,2182,8,200
5.34,4200,9217,8,200
5.35,4200,10429,8,200
5.36,4200,10491,8,200
5.37,4200,10553,8,200
5.38,0,0,0,0
6.0,1620,3393,5,50
6.1,1620,3392,5,50
6.2,1620,3391,5,50
6.3,1190,4229,5,50
6.4,2540,2266,6,100
6.5,1960,3633,6,100
6.6,1960,3635,6,100
6.7,1960,3634,6,100
6.8,1710,4128,6,100
6.9,3380,2275,7,150
6.10,3280,3156,7,150
6.11,3280,3155,7,150
6.12,3280,3154,7,150
6.13,2710,3876,7,150
6.14,2710,3877,7,150
6.15,2710,3875,7,150
6.16,1710,4355,7,150
6.17,4020,2283,8,200
6.18,4020,2284,8,200
6.19,2860,2843,8,200
6.20,2860,2842,8,200
6.21,2860,2845,8,200
6.22,2860,2844,8,200
6.23,3040,3437,8,200
6.24,3040,3436,8,200
6.25,3040,3438,8,200
6.26,2500,4252,8,200
6.27,1900,4490,8,200
6.28,1900,4491,8,200
6.29,2010,4495,8,200
6.30,0,0,0,0
7.0,345,10386,9,10
7.1,20000,6170,9,90
7.2,48000,7799,9,90
7.3,19150,7095,9,90
7.4,10950,7133,9,90
7.5,10950,7143,9,90
7.6,14470,6600,9,90
7.7,20000,9539,9,30
7.8,4000,10124,9,40
7.9,600,10120,9,50
7.10,600,10121,9,50
7.11,600,10122,9,50
7.12,5000,13589,9,20
7.13,5000,13591,9,20
7.14,5000,13593,9,20
7.15,5000,13595,9,20
7.16,2000,14945,10,100
7.17,3000,15772,10,100
7.18,3000,15773,10,100
7.19,3000,15774,10,100
7.20,575,17837,9,10
7.21,500,20790,10,100
7.22,2000,21069,10,95
7.23,600,12858,9,15
7.24,550,13743,9,15
7.25,900,12844,9,15
7.26,550,12849,9,15
7.27,700,12847,9,15
7.28,800,12854,9,15
7.29,500,4720,9,15
7.30,500,4715,9,15
7.31,40000,21319,9,93
7.32,40000,21320,9,93
7.33,10000,22498,9,93
7.34,600,33916,9,10
7.35,20000,36635,11,200
