#,Name,Description,Score,IsVisible
0,,,0,False
1,Bleu vif,Défi réussi dans la limite du temps idéal.,15000,True
2,Ni en retard ni en avance,Défi réussi dans la limite du temps standard.,5000,True
3,10 nuances de bleu,Entre 2 et 10 actions différentes utilisées.,3000,True
4,4 nuances de bleu,Entre 2 et 4 actions différentes utilisées.,10000,True
5,Aucun bleu,Zéro dégât subi.,20000,True
6,Même pas mal,Aucun soin utilisé.,15000,True
7,Chutus incantatus !,Incantation ennemie interrompue.,1000,True
8,Promeneur du dimanche,Sprint jamais utilisé.,3000,True
9,Maîtrise du feu,Utilisation exclusive d'actions non élémentaires ou liées au feu.,10000,True
10,Maîtrise de l'eau,Utilisation exclusive d'actions non élémentaires ou liées à l'eau.,10000,True
11,Maîtrise de la terre,Utilisation exclusive d'actions non élémentaires ou liées à la terre.,10000,True
12,Maîtrise du vent,Utilisation exclusive d'actions non élémentaires ou liées au vent.,10000,True
13,Maîtrise de la glace,Utilisation exclusive d'actions non élémentaires ou liées à la glace.,10000,True
14,Maîtrise de la foudre,Utilisation exclusive d'actions non élémentaires ou liées à la foudre.,10000,True
15,Maîtrise des éléments,Utilisation d'un sort de chaque élément.,15000,True
16,Maîtrise absolue,Utilisation d'un sort de chaque élément et d'une frappe de chaque type.,20000,True
17,Tortionnaire,Plus de 6 malus infligés.,5000,True
18,Tyran,Plus de 9 malus infligés.,12000,True
19,Gare à la canne,Utilisation exclusive de dégâts physiques.,15000,True
20,Mage bleu foncé,Actions de rangs 4 et 5 uniquement.,15000,True
21,Mage bleu bleu,Actions de rangs 1 et 2 uniquement.,15000,True
22,Quadruple face,4 actions ou plus lancées à partir du visage.,10000,True
23,Le spécial Amajina,,20000,False
24,Mascarade mesquine,,-30000,False
25,Assaut primordial,,20000,False
26,Tueur de géants,,50000,False
27,Fan des poulpes,,50000,False
28,Le grand bleu,,80000,False
29,Octuple face,8 actions ou plus lancées à partir du visage.,20000,True
30,Soigneur de bleus,"Utilisation de Pompon soignant, Exuviation et Vent blanc.",10000,True
31,Alexandrin,,25000,False
32,Bleu céruléen,,80000,False
33,Bleu pur,,80000,False
34,Bleu doré,,80000,False
