#,Singular,Plural,NameRank,Unknown0,Adjective,PossessivePronoun,StartsWithVowel,Unknown1,Pronoun,Article
0,,,,,0,0,0,0,0,0
1,soldat 3e classe,soldats 3e classe,soldat,soldat 3e classe des sables,0,0,0,0,1,0
2,soldat 2e classe,soldats 2e classe,soldat,soldat 2e classe des sables,0,0,0,0,1,0
3,soldat 1re classe,soldats 1re classe,soldat,soldat 1re classe des sables,0,0,0,0,1,0
4,caporale,caporales,caporale,caporale des sables,0,0,0,0,1,0
5,adjudante,adjudantes,adjudante,adjudante des sables,0,0,1,0,1,0
6,sergente,sergentes,sergente,sergente des sables,0,0,0,0,1,0
7,sergent-major,sergents-majors,sergent-major,sergent-major des sables,0,0,0,0,1,0
8,major,majors,major,major des sables,0,0,0,0,1,0
9,sous-lieutenante,sous-lieutenantes,sous-lieutenante,sous-lieutenante des sables,0,0,0,0,1,0
10,lieutenante,lieutenantes,lieutenante,lieutenante des sables,0,0,0,0,1,0
11,capitaine,capitaines,capitaine,capitaine des sables,0,0,0,0,1,0
12,sous-commandante,sous-commandantes,sous-commandante,sous-commandante des sables,0,0,0,0,1,0
13,commandante,commandantes,commandante,commandante des sables,0,0,0,0,1,0
14,colonelle,colonelles,colonelle,colonelle des sables,0,0,0,0,1,0
15,sous-maréchale,sous-maréchales,sous-maréchale,sous-maréchale des sables,0,0,0,0,1,0
16,vice-maréchale,vice-maréchales,vice-maréchale,vice-maréchale des sables,0,0,0,0,1,0
17,maréchale,maréchales,maréchale,maréchale des sables,0,0,0,0,1,0
18,grande maréchale,grandes maréchales,grande maréchale,grande maréchale des sables,0,0,0,0,1,0
19,générale,générales,générale,générale des sables,0,0,0,0,1,0
