#,Name,Description,Icon,Action,UnlockLink,Unknown0,Recast,UIPriority,Unknown2,Unknown1
0,,,0,0,0,0,0,0,False,False
1,Attaque automatique,Vous portez des coups à une cible à intervalles réguliers. La rapidité dépend de l'arme.,101,0,0,1,0,7,False,False
2,Saut,Vous sautez pour éviter de petits obstacles ou simplement pour le plaisir de vous dépenser.,102,0,0,1,0,11,False,False
3,Transcendance,"Vous lancez une puissante technique de combat, déterminée par le rôle de l'équipier qui la lance et le degré de remplissage de la jauge de Transcendance.
**Tank :** diminue les dégâts reçus par l'équipe. (Rayon : 50y)
**DPS de mêlée :** inflige d'importants dégâts à une cible.
**DPS à distance :** inflige d'importants dégâts aux ennemis en ligne droite devant. (Rayon : 30y)
**Mage :** inflige d'importants dégâts aux ennemis dans l'aire d'effet. (Rayon : 8y/10y/15y)
**Soigneur :** soigne les PV des équipiers, et ressuscite au niveau 3. (Rayon : 50y)
Les personnages inconscients qui ne subissaient pas l'effet Affaiblissement ne le subissent pas non plus après résurrection. En revanche, ceux qui subissaient déjà Affaiblissement ou Mourant en voient la durée d'effet réinitialisée au moment de la résurrection.",103,0,0,1,0,4,False,False
4,Sprint,"Vous augmentez votre vitesse de déplacement.
**Durée en combat :** 10s
**Durée hors combat :** 20s
* Inutilisable en instance JcJ.",104,3,0,1,56,1,False,False
5,Recyclage,Vous désintégrez un objet pour récupérer certains de ses matériaux.,120,0,95,2,0,51,False,True
6,Réparation,Vous réparez l'équipement usé. L'utilisation de matière sombre de grade adéquat est nécessaire.,106,0,0,2,0,31,False,True
7,Téléportation,Vous utilisez des gils pour vous téléporter à une éthérite avec laquelle vous vous êtes harmonisée.,111,5,4,1,0,2,False,True
8,Rapatriement,Vous vous téléportez à votre point de retour.,112,6,1,1,57,3,False,True
9,Monture aléatoire,Vous appelez aléatoirement une de vos montures.,118,0,0,1,0,21,False,False
10,Mascotte aléatoire,Vous appelez aléatoirement une de vos mascottes.,117,0,0,1,0,23,False,False
11,,,0,0,0,0,0,0,False,False
12,Sertissage de matéria,Vous sertissez une matéria à une pièce d'équipement.,107,0,11,2,0,33,False,True
13,Sertissage avancé de matéria,"Vous sertissez une matéria à une pièce d'équipement. Vous pouvez sertir des matérias dans un objet qui n'a plus d'emplacements disponibles, mais cette opération est risquée et la réussite n'est pas garantie.",108,0,12,2,0,34,False,True
14,Matérialisation,"Vous extrayez l'énergie éthérée mémorielle d'un objet en parfaite symbiose avec vous, puis la cristallisez en une matéria.",109,0,13,2,0,32,False,True
15,Teinture,Vous utilisez une teinture pour teindre une pièce d'équipement.,110,0,14,2,0,41,False,True
16,Ciblage,Vous ciblez les ennemis dans le sens des aiguilles d'une montre en commençant par le plus proche.,113,0,0,3,0,12,False,True
17,Ciblage contraire,Vous ciblez les ennemis dans le sens contraire des aiguilles d'une montre en commençant par le plus proche.,114,0,0,3,0,13,False,True
18,Déposer,Vous posez par terre l'objet que vous avez entre les mains.,19612,0,0,1,0,0,False,False
19,Déchiffrage,Vous retirez les vieilles cartes de leur prison de verre et déchiffrez leurs mystérieux symboles.,115,1694,25,1,0,61,False,False
20,Excavation,"Vous sondez les environs et déterrez les coffres indiqués par les cartes au trésor.

**Aire d'effet :** 30y",116,1695,25,1,67,62,False,False
21,Éthérolyse,Vous manipulez l'éther contenu dans un objet collectionnable pour en affiner les qualités et en obtenir les matériaux.,121,0,256,2,0,52,False,True
22,Mirage,Vous projetez sur vous l'illusion d'un autre équipement grâce à un prisme magique.,119,0,15,2,0,42,False,True
23,Descente,Vous descendez de votre monture et mettez pied à terre.,19628,0,0,1,0,0,False,False
24,Monture volante aléatoire,Vous appelez aléatoirement une de vos montures volantes.,122,0,0,1,0,0,False,False
25,Planche mirage,Vous associez plusieurs pièces d'équipement pour les appliquer comme mirage.,125,0,15,2,0,43,False,True
26,Action de mission 1,Vous effectuez une action spécifique dans le cadre d'un donjon ou d'un défi.,123,0,0,1,0,1,True,False
27,Action de mission 2,Vous effectuez une action spécifique dans le cadre d'un donjon ou d'un défi.,124,0,0,1,0,2,True,False
28,Ranger,Vous rangez votre accessoire de mode.,19688,0,0,1,0,0,False,False
29,Trier les raccourcis spéciaux,Vous pouvez modifier l'ordre des actions dans la barre de raccourcis spéciale.,19692,0,0,1,0,0,False,True
30,Trier les raccourcis spéciaux,Vous pouvez modifier l'ordre des actions dans la barre de raccourcis spéciale.,19692,0,0,1,0,0,False,True
31,Action de soutien 1,Vous utilisez une action de soutien.,126,0,537,1,0,3,True,False
32,Action de soutien 2,Vous utilisez une action de soutien.,127,0,537,1,0,4,True,False
33,Action de soutien 3,Vous utilisez une action de soutien.,128,0,537,1,0,5,True,False
34,Action de soutien 4,Vous utilisez une action de soutien.,129,0,537,1,0,6,True,False
35,Action de soutien 5,Vous utilisez une action de soutien.,130,0,537,1,0,7,True,False
36,Cible : attaquer,"Vous ciblez la cible marquée comme à attaquer.
S'il y en a plusieurs, vous ciblez celle avec le chiffre le plus faible.",133,0,0,3,0,14,False,True
37,Cible : entraver,"Vous ciblez la cible marquée comme à entraver.
S'il y en a plusieurs, vous ciblez celle avec le chiffre le plus faible.",134,0,0,3,0,15,False,True
38,Cible : ignorer,"Vous ciblez la cible marquée comme à ignorer.
S'il y en a plusieurs, vous ciblez celle avec le chiffre le plus faible.",135,0,0,3,0,16,False,True
39,Cible : carré,Vous ciblez la cible marquée d'un carré.,136,0,0,3,0,17,False,True
40,Cible : cercle,Vous ciblez la cible marquée d'un cercle.,137,0,0,3,0,18,False,True
41,Cible : croix,Vous ciblez la cible marquée d'une croix.,138,0,0,3,0,19,False,True
42,Cible : triangle,Vous ciblez la cible marquée d'un triangle.,139,0,0,3,0,20,False,True
43,Avance tableau,Vous passez au tableau stratégique suivant.,140,0,0,3,0,71,False,True
44,Retour tableau,Vous retournez au tableau stratégique précédent.,141,0,0,3,0,72,False,True
