#,ChapterName,ChapterPart,Transient,Quest,Unknown0,QuestRedoUISmall,QuestRedoUILarge,QuestRedoUIWide,UITab,Category,Unknown1
0,,,,0,0,0,0,0,0,0,0
1,A Realm Reborn - 1er chapitre,1er chapitre,"C'est en Éorzéa, une terre bénie des Dieux, que vous commencez votre voyage. Des rêves de puissance, de gloire ou de fortune plein la tête, c'est en fait à un destin bien plus grand que vous êtes promise. Guidée par le Cristal-mère, vous vous apprêtez à devenir une héroïne de légende : la Guerrière de la Lumière...",66060,0,114766,114166,114466,1,30,1
2,A Realm Reborn - 2e chapitre,2e chapitre,"Alors que vous découvriez les trois grandes cités d'Éorzéa et les causes profondes des problèmes auxquels elles font face, vous avez fait la rencontre d'un membre des énigmatiques “Héritiers de la Septième Aube”. Vous espérez qu'une visite à leur base secrète vous permettra d'en savoir plus au sujet du pouvoir de l'Écho, entre autres mystères.",66060,0,114767,114167,114467,1,30,2
3,A Realm Reborn - 3e chapitre,3e chapitre,"Votre éclatante victoire sur le Primordial Ifrit n'est pas passée inaperçue, et d'aucuns voient en vous la nouvelle Guerrière de la Lumière. Désormais, votre attention se tourne vers les Asciens, des agents du chaos semant le trouble en Éorzéa, et vous décidez de suivre la piste de celui connu sous le nom de “Lahabrea”.",66060,0,114768,114168,114468,1,30,3
4,A Realm Reborn - 4e chapitre,4e chapitre,"Avec la bénédiction des ex-membres de la Fratrie des gabiers, vous avez défié et vaincu Titan, l'Ébranleur des terres. Y'shtola a remarqué que des indiscrets avaient épié votre morceau de bravoure, trois individus dont l'identité laisse redouter une complicité entre l'Empire et les Asciens... Mettant vos soupçons de côté, vous vous apprêtez à retourner au Refuge des sables afin de planifier la suite des opérations, sans vous douter du drame qui va s'y jouer...",66060,0,114769,114169,114469,1,30,4
5,A Realm Reborn - 5e chapitre,5e chapitre,"Grâce à votre aide, l'assaut sur le Praetorium a été couronné de succès, et le monde peut enfin tourner la page du septième fléau pour entamner un nouveau chapitre de son histoire : la 7e ère astrale. Les Héritiers, galvanisés par cette victoire n'auront par contre que peu de repos car de nouvelles menaces pèsent déjà sur Éorzéa.",66996,0,114770,114170,114470,1,30,5
6,A Realm Reborn - 6e chapitre,6e chapitre,"Malgré les innombrables espoirs des peuples d'Éorzéa, la 7e ère astrale est une nouvelle période de troubles sans fin pour le continent. Entre les hommes-bêtes et leurs Primordiaux, la disparition de l'île de Val, l'afflux incessant de réfugiés et les manigances des hérétiques du Coerthas, Alphinaud et son or­ga­ni­sa­tion des Braves du Cristal ne savent plus où donner de la tête...",65964,0,114771,114171,114471,1,30,6
7,Heavensward - 1er chapitre,1er chapitre,"Les machinations du seigneur Lolorito ont porté un coup dévastateur aux Héritiers. Vous, Tataru ainsi qu'un Alphinaud plus découragé que jamais, avez fui vers les terres du Coerthas, une région contrôlée par la puissante Ishgard. Mais que peut vous offrir une Cité qui mène une guerre millénaire contre les dragons ?",67205,0,114701,114101,114401,1,1,1
8,Heavensward - 2e chapitre,2e chapitre,"Votre équipée vous a conduite à la rencontre du dragon sacré Hraesvelgr. Il vous a révélé les cir­cons­tan­ces qui ont jadis provoqué la Guerre du chant des dragons ; une histoire de confiance, de trahison humaine et de vengeance jurée. Afin de mettre un terme à ce cycle infernal, Estinien et vous partez en chasse de Nidhogg.",67205,0,114702,114102,114402,1,1,2
9,Heavensward - 3e chapitre,3e chapitre,"La guerre contre les dragons faisait rage depuis mille ans, et grâce aux sacrifices de leurs alliés, nos héros ont enfin posé le pied sur le continent flottant d'Azys Lla et mis un terme à la folie meurtrière de leurs ennemis. Mais leur combat est loin d'être terminé... L'avenir radieux du peuple d'Ishgard va-t-il être assombri par les puissances des Ténèbres ? ",67783,0,114703,114103,114403,1,1,3
