#,Text,Unknown0,Unknown1,TYPE,PARAM,LINK
0,,,,0,0,0
1,Jouer,,,0,0,0
2,Configuration,,,0,0,0
3,Film d'in­tro­duc­tion,,,0,0,0
4,Générique,,,0,0,0
5,,,,0,0,0
6,"Paramétrer la manette ?
* Ces réglages sont accessibles à tout moment depuis le menu Configuration système.",,,0,0,0
7,Oui,,,0,0,0
8,Non,,,0,0,0
9,,,,0,0,0
10,Compte de service,,,0,0,0
11,Choisissez le compte de service.,,,0,0,0
12,Version du jeu : UNKNOWN(UNKNOWN) - exUNKNOWN : UNKNOWN,,,0,0,0
13,"**Attention** : Vous êtes en mode basse résolution (480p/i ou 576p/i).
Le mode haute résolution (720p) est recommandé pour un confort de jeu optimal.",,,0,0,0
14,,,,0,0,0
15,OK,,,0,0,0
16,Annuler,,,0,0,0
17,Choisissez la catégorie que vous voulez modifier dans la liste de droite. Les catégories indiquant “???” n'ont pas encore été définies.,,,0,0,0
18,"Choisissez la catégorie que vous voulez modifier dans la liste de droite. Une fois le changement effectué, cliquez sur OK pour valider.",,,0,0,0
19,Choisissez la catégorie que vous voulez modifier dans la liste de droite. Les catégories indiquant “???” n'ont pas encore été définies.,,,0,0,0
20,Supprimer le personnage,,,0,0,0
21,"En supprimant votre personnage, vous perdrez aussi son équipement, les objets qu'il portait, ainsi que ses gils et autres devises. Il en va de même pour ce qui concerne ses servants.
S'il était chef d'une compagnie libre, elle sera dissoute si personne ne remplit les conditions pour hériter de cette fonction. Dans ce cas, la maison et le coffre associés ainsi que leur contenu seront eux aussi perdus.",,,0,0,0
22,Je comprends. Achever la suppression.,,,0,0,0
23,Renommer,,,0,0,0
24,Renommer le servant,,,0,0,0
25,Se connecter avec UNKNOWN ?,,,0,0,0
26,Vous devez renommer ce personnage pour vous connecter avec. Veuillez choisir un nouveau nom.,,,0,0,0
27,Veuillez obtenir les données du personnage avant de le renommer.,,,0,0,0
28,Renommer ce personnage UNKNOWN ?,,,0,0,0
29,Renommer ce servant UNKNOWN ?,,,0,0,0
30,Nouveau personnage,,,0,0,0
31,"Quitter la création de personnage ?
Tous vos choix seront perdus.",,,0,0,0
32,Commencer le jeu avec ce personnage ?,,,0,0,0
33,Créer un nouveau personnage ?,,,0,0,0
34,,,,0,0,0
35,UNKNOWN/UNKNOWN,,,0,0,0
36,Zone,,,0,0,0
37,UNKNOWNer soleil de la 1re lune astrale,,,0,0,0
38,(UNKNOWN janvier),,,0,0,0
39,,,,0,0,0
40,Première lune astrale,,,0,0,0
41,Première lune ombrale,,,0,0,0
42,Deuxième lune astrale,,,0,0,0
43,Deuxième lune ombrale,,,0,0,0
44,Troisième lune astrale,,,0,0,0
45,Troisième lune ombrale,,,0,0,0
46,Quatrième lune astrale,,,0,0,0
47,Quatrième lune ombrale,,,0,0,0
48,Cinquième lune astrale,,,0,0,0
49,Cinquième lune ombrale,,,0,0,0
50,Sixième lune astrale,,,0,0,0
51,Sixième lune ombrale,,,0,0,0
52,,,,0,0,0
53,1er soleil de la 1re lune astrale,,,0,0,0
54,,,,0,0,0
55,,,,0,0,0
56,UNKNOWN ,,,0,0,0
57,Chargement de la liste des Mondes...,,,0,0,0
58,Impossible de charger la liste des Mondes.,,,0,0,0
59,Mettre à jour l'état des Mondes. Cette option ne peut être utilisée qu'une fois par minute.,,,0,0,0
60,"Vous avez atteint le nombre maximum de personnages autorisés pour ce compte. Pour en créer un nouveau, vous devez d'abord supprimer un personnage existant en choisissant “Effacer” à partir du sous-menu.",,,0,0,0
61,"Vous avez atteint le nombre maximum de personnages autorisés. Pour en créer un nouveau, vous devez d'abord supprimer un personnage existant en choisissant “Effacer” à partir du sous-menu.",,,0,0,0
62,Vous ne pouvez pas créer de personnage sup­plé­men­tai­re sur ce Monde.,,,0,0,0
63,"Ce Monde est plein et il n'est plus possible de créer de nouveaux personnages dessus. Vous devez attendre que la restriction soit levée, ou choisir un autre Monde.",,,0,0,0
64,Vous ne pouvez pas utiliser ce personnage avec le type de service actuel de votre abonnement.,,,0,0,0
65,"Vous pouvez changer une fois le nom, la race, le sexe et l'apparence de votre personnage.",,,0,0,0
66,Veuillez obtenir les données du personnage avant de renommer un servant.,,,0,0,0
67,"La race, le sexe et l'apparence du personnage peuvent être modifiés. (UNKNOWN minute restante)",,,0,0,0
68,"Vous ne pouvez pas vous connecter avec ce personnage, car il est dans une zone nécessitant “”.",,,0,0,0
69,"Vous ne pouvez pas changer la race, le sexe ou l'apparence de ce personnage, car il est dans une zone nécessitant “”.",,,0,0,0
70,"Ce personnage hérite de données de la version 1.0. Pour commencer le jeu avec, vous devez choisir sa classe de départ.",,,0,0,0
71,OK,,,0,0,0
72,Annuler,,,0,0,0
73,La classe sera . La cité de départ sera par conséquent .,,,0,0,0
74,OK,,,0,0,0
75,Annuler,,,0,0,0
76,"Ce personnage hérite de données de la version 1.0. Pour commencer le jeu avec, vous devrez choisir sa classe de départ. Il sera alors possible de changer une fois ses race/sexe/apparence ainsi que son nom.",,,0,0,0
77,Modifier maintenant,,,0,0,0
78,Modifier plus tard,,,0,0,0
79,Modifier l'apparence,,,0,0,0
80,Créer à partir des données sauvegardées,,,0,0,0
81,Sauvegarder les données de création,,,0,0,0
82,Charger des données sauvegardées,,,0,0,0
83,"Afin de faciliter le processus de connexion, l'affichage des données du personnage a été simplifié.
Pour changer son apparence ou le renommer, veuillez utiliser la sous-commande “Obtention des données d'un personnage”.",,,0,0,0
84,"Bienvenue dans l'univers de FINAL FANTASY XIV.
Créez un personnage pour commencer l'aventure.",,,0,0,0
85,OK,,,0,0,0
86,"Bienvenue dans l'univers de FINAL FANTASY XIV.
Créez un personnage pour commencer l'aventure, ou choisissez un personnage existant.
Vous avez sélectionné le Monde UNKNOWN sur lequel vous avez UNKNOWN personnage. Pour voir un autre Monde, appuyez sur le bouton prévu à cet effet en haut à droite.",,,0,0,0
87,OK,,,0,0,0
88,Choisissez le Monde dont vous voulez voir les personnages.,,,0,0,0
89,,,,0,0,0
90,,,,0,0,0
91,,,,0,0,0
92,,,,0,0,0
93,,,,0,0,0
94,,,,0,0,0
95,"Vous allez vous connecter avec UNKNOWN.

**Ce personnage se trouve ac­tu­el­le­ment hors de son Monde d'origine.
Pour quitter le Monde visité, interagissez avec l'une des grandes éthérites de Limsa Lominsa, Gridania ou Ul'dah et consultez la rubrique Voyager vers un autre Monde.**",,,0,0,0
