#,Unknown0,Unknown1,Unknown2,Unknown3,Pet,Action,Location,Unknown7,Unknown8,Unknown9,LocationKey,Unknown11[0],Unknown11[1],Unknown11[2],Unknown11[3],Unknown11[4],Unknown11[5],Unknown11[6],Unknown11[7],Unknown11[8],Unknown11[9],Unknown11[10],Unknown11[11],Unknown11[12],Unknown11[13],Unknown11[14],Unknown11[15]
0,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False
1,"Un animal carnivore originaire du continent d'Ilsabard. Les cu sith peuplaient jadis un vaste territoire de la région de Landis. Hélas, leur nombre a drastiquement chuté sous la domination de l'empire de Garlemald, au point qu'ils sont désormais vus comme des créatures légendaires. Ils sont connus pour le profond attachement qu'ils portent à leurs semblables.",Attaque physique tranchante,6 Attaques physiques tranchantes,242001,47,45187,0,1,42,3,0,100,91,100,79,100,False,False,False,False,False,False,False,False,False,False,False
2,"Un rongeur aux incisives particulièrement développées. Répandus dans le monde entier, les écureuils sont des nuisibles des vergers et des greniers à céréales, mais ils sont néanmoins appréciés de la population, qui les considère comme des serviteurs de Nophica. Ils font d'ailleurs souvent l'objet de peintures ou de sculptures sur bois.",Attaque magique de feu,Hâte aux alliés,242002,48,48643,54,1,35,3,1,91,100,91,91,91,False,False,False,False,False,False,False,False,False,False,False
3,"Domestiqués à l'époque de la grande glaciation, les moutons ont bénéficié d'un élevage sélectif sur de nombreuses générations, devenant de véritables boules de laine sur pattes ainsi que des animaux incontournables de la ferme. Ceux en liberté ayant une clochette autour du cou sont généralement des fugueurs échappés de leur enclos.",Attaque physique contondante,Sommeil + Résistance à Sommeil des alliés augmentée,242003,49,45188,30,1,21,4,1,82,82,82,82,82,False,False,False,False,False,False,False,True,False,False,False
4,"La nature a doté ce poisson d'une poche qu'il peut remplir de gaz pour flotter à quelques ilms du sol, ce qui lui a permis de coloniser les rivages. Il se meut à l'aide de ses grandes nageoires, tandis que sa gueule fine et allongée lui sert à attraper des proies dans les cours d'eau. Très territorial, il ne quitte jamais son terrain de pêche.",Attaque magique d'eau,Vulnérabilité magique des alliés réduite + Résistance à Paralysie augmentée,242004,50,48648,30,5,45,2,1,100,100,100,100,100,False,False,False,False,False,False,False,False,False,False,False
5,"Une espèce de singe vivant dans les régions forestières. Très sociaux, les opo-opo forment des colonies de dizaines d'individus rassemblés autour d'un chef. Du fait de leur intelligence redoutable, ils sont la bête noire des fermiers dont ils chapardent les récoltes... mais de solides alliés pour qui sait les apprivoiser.",Attaque physique contondante,Attaque magique neutre + Paralysie,242005,52,49696,57,1,18,3,1,97,97,97,97,76,False,False,True,False,False,False,False,False,False,False,False
6,"Originaire de l'île de Mazlaya, le dodo est un gros oiseau incapable de voler. Sa chair est comestible – le blanc de dodo est particulièrement savoureux – mais l'animal possède une glande à poison qu'il faut ôter en cas d'élevage. Les dodos ont peu à peu colonisé toutes les régions du monde, formant des lignées aux plumages de couleurs variées.",Attaque magique de terre + Cécité,Résistance à la terre des alliés augmentée + Résistance à Cécité augmentée,242006,53,48647,31,3,5,2,1,91,91,100,100,100,False,False,False,False,True,False,False,False,False,False,False
7,"Ce drôle de monstre passe son temps à sillonner son habitat à la recherche des minerais qui lui serviront à fabriquer sa carapace. La couleur et la dureté de cette dernière dépendent des gisements disponibles, et varient donc selon les régions. Les coblyns ne sont absolument pas comestibles, leurs tentacules étant extrêmement venimeux.",Attaque magique de foudre,Vulnérabilité physique des alliés réduite + Résistance à Poison augmentée,242007,54,48645,42,7,43,1,1,100,100,91,100,100,False,False,False,True,False,False,False,False,False,False,False
8,Cet arthropode géant possède une organisation sociale distincte où les mâles adultes sont chargés de protéger les quelques femelles en mesure de pondre. L'acarus peut sécréter une toile lui permettant de capturer et de conserver ses proies.,Attaque physique perforante + Poison,Attaque magique neutre + Projection + Entrave,242008,55,45187,54,2,27,1,1,100,100,100,100,100,False,False,False,False,False,True,False,False,True,False,False
9,Un énorme crabe présent le long des côtes de la Noscea ainsi qu'aux abords de rivières comme la Velodyna ou la Hathoeva. Sous son épaisse carapace se cache une chair généreuse et réputée succulente. Cette même carapace est d'ailleurs fréquemment utilisée comme récipient pour réaliser de délicieuses recettes.,Attaque magique d'eau,Attaque magique d'eau + Résistance à l'eau réduite,242009,56,49695,30,5,8,2,1,97,97,97,97,97,False,False,False,False,False,False,False,False,False,False,False
10,"Ces guêpes géantes ont été importées depuis le continent de Tural à la faveur d'échanges commerciaux. Leur taille et leur vitesse de reproduction suscitent des inquiétudes quant au devenir des espèces locales. Toute intervention exigera cependant la plus grande prudence, les frelons étant capables de projeter des dards empoisonnés.",Attaque physique perforante + Poison,Attaque physique perforante + Renvoi forcé,242010,57,45187,43,2,37,1,1,97,97,97,97,97,False,False,False,False,False,True,False,False,False,False,False
11,"Un mystérieux volatile que l'on croise partout en Éorzéa. Son attrait pour les viandes faisandées lui vaut d'être fréquemment présenté comme un oiseau de mauvais augure dans les mythes et les légendes. Les soldats en particulier ont tendance à le détester, car il les suit à la trace, dans l'espoir de s'en repaître en cas de défaite.",Attaque magique de vent,Attaque magique de vent + Dissipation,242011,58,48646,42,3,5,2,1,100,100,91,91,91,False,False,False,False,False,False,False,False,False,False,False
12,"Une plante apparue après le Fléau, et dont on sait très peu de chose. Elle semble dotée d'une certaine forme d'intelligence et d'un moyen de communication qui lui permet d'intéragir avec ses semblables. On a constaté ces dernières années l'existence de nombreuses conspirations fomentées de concert par des plantes de différentes espèces...",Attaque physique contondante,Attaque magique neutre + Pesanteur,242012,59,45188,30,4,36,2,1,91,91,100,100,100,False,False,False,False,False,True,False,False,False,True,False
13,"Un puissant spectre qui erre dans les brumes nocturnes. Il partage de nombreux points communs avec les tourmenteurs, dont des motifs rappelant des visages sur la tête ou le torse. Certaines personnes pensent qu'il s'agit d'incarnations des craintes et des anxiétés des vivants, du fait de leurs apparitions dans les cimetières et sur les champs de bataille.",Attaque magique de foudre,Absorbtion de PV pour les alliés,242013,60,49692,54,8,6,5,1,100,100,100,100,100,False,False,False,False,False,False,False,False,False,False,False
