#,Name,Abbreviation,NameFemale,CanQueueForDuty,NameEnglish,ItemSoulCrystal,UnlockQuest,RelicQuest,Prerequisite,Unknown_70_1,Unknown_70_2,Unknown9,ItemStartingWeaponMainHand,ItemStartingWeaponOffHand,ModifierHitPoints,ModifierManaPoints,ModifierStrength,ModifierVitality,ModifierDexterity,ModifierIntelligence,ModifierMind,ModifierPiety,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,LimitBreak1,LimitBreak2,LimitBreak3,ClassJobCategory,Unknown8,JobIndex,PvPBaseParamValue,PvPActionSortRow,PvPInitialSelectActionTrait,ClassJobParent,Role,StartingTown,PrimaryStat,UIPriority,StartingLevel,PartyBonus,JobType,ExpArrayIndex,BattleClassIndex,DohDolJobIndex,MonsterNote,IsLimitedJob,Unknown10
0,,,,False,Adventurer,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,30,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,-1,-1,127,False,False
1,gladiateur,GLA,gladiatrice,True,Gladiator,0,0,0,0,1,0,0,1601,0,130,100,95,100,90,50,95,100,100,100,100,100,100,100,197,198,199,30,1,0,0,0,0,1,1,3,1,2,1,1,0,1,0,-1,0,False,True
2,pugiliste,PGL,pugiliste,True,Pugilist,0,0,0,0,2,0,0,1680,0,105,100,100,95,100,45,85,100,100,100,100,100,100,100,200,201,202,30,2,0,0,0,0,2,2,3,1,22,1,3,0,0,1,-1,1,False,False
3,maraudeur,MRD,maraudeuse,True,Marauder,0,0,0,0,3,0,0,1749,0,135,100,100,100,90,30,50,100,100,100,100,100,100,100,197,198,4240,30,3,0,0,0,0,3,1,1,1,4,1,1,0,2,2,-1,2,False,False
4,maître d'hast,HAS,maître d'hast,True,Lancer,0,0,0,0,4,0,0,1819,0,110,100,105,100,95,40,60,100,100,100,100,100,100,100,200,201,4242,30,4,0,0,0,0,4,2,2,1,24,1,3,0,4,3,-1,3,False,False
5,archer,ARC,archère,True,Archer,0,0,0,0,5,0,0,1889,0,100,100,85,95,105,80,75,100,100,100,100,100,100,100,4238,4239,4244,30,5,0,0,0,0,5,3,2,2,32,1,4,0,3,4,-1,4,False,False
6,élémentaliste,ÉLM,élémentaliste,True,Conjurer,0,0,0,0,6,0,0,1995,0,100,100,50,95,100,100,105,100,100,100,100,100,100,100,206,207,208,31,6,0,0,0,0,6,4,2,5,12,1,2,2,6,5,-1,5,False,True
7,occultiste,OCC,occultiste,True,Thaumaturge,0,0,0,0,7,0,0,2055,0,100,100,40,95,95,105,70,100,100,100,100,100,100,100,203,204,205,31,7,0,0,0,0,7,3,3,4,42,1,5,0,5,6,-1,6,False,True
8,menuisier,MEN,menuisière,False,Carpenter,10337,0,0,0,0,0,0,0,0,100,100,90,105,100,90,90,100,100,100,100,100,100,100,0,0,0,33,0,0,0,0,0,8,0,0,0,101,1,7,0,7,-1,0,127,False,False
9,forgeron,FRG,forgeronne,False,Blacksmith,10338,0,0,0,0,0,0,0,0,100,100,105,90,90,90,100,100,100,100,100,100,100,100,0,0,0,33,0,0,0,0,0,9,0,0,0,102,1,7,0,8,-1,1,127,False,False
10,armurier,ARM,armurière,False,Armorer,10339,0,0,0,0,0,0,0,0,100,100,100,105,90,90,90,100,100,100,100,100,100,100,0,0,0,33,0,0,0,0,0,10,0,0,0,103,1,7,0,9,-1,2,127,False,False
11,orfèvre,ORF,orfèvre,False,Goldsmith,10340,0,0,0,0,0,0,0,0,100,100,90,90,105,100,90,100,100,100,100,100,100,100,0,0,0,33,0,0,0,0,0,11,0,0,0,104,1,7,0,10,-1,3,127,False,False
12,tanneur,TAN,tanneuse,False,Leatherworker,10341,0,0,0,0,0,0,0,0,100,100,90,105,90,100,90,100,100,100,100,100,100,100,0,0,0,33,0,0,0,0,0,12,0,0,0,105,1,7,0,11,-1,4,127,False,False
13,couturier,COU,couturière,False,Weaver,10342,0,0,0,0,0,0,0,0,100,100,90,90,105,90,100,100,100,100,100,100,100,100,0,0,0,33,0,0,0,0,0,13,0,0,0,106,1,7,0,12,-1,5,127,False,False
14,alchimiste,ALC,alchimiste,False,Alchemist,10343,0,0,0,0,0,0,0,0,100,100,90,90,90,105,90,100,100,100,100,100,100,100,0,0,0,33,0,0,0,0,0,14,0,0,0,107,1,7,0,13,-1,6,127,False,False
15,cuisinier,CUI,cuisinière,False,Culinarian,10344,0,0,0,0,0,0,0,0,100,100,90,90,90,90,105,100,100,100,100,100,100,100,0,0,0,33,0,0,0,0,0,15,0,0,0,108,1,7,0,14,-1,7,127,False,False
16,mineur,MIN,mineuse,False,Miner,0,0,0,0,0,0,0,0,0,100,100,100,90,90,90,100,100,100,100,100,100,100,100,0,0,0,32,0,0,0,0,0,16,0,0,0,201,1,6,0,15,-1,0,127,False,False
17,botaniste,BTN,botaniste,False,Botanist,0,0,0,0,0,0,0,0,0,100,100,90,90,100,100,90,100,100,100,100,100,100,100,0,0,0,32,0,0,0,0,0,17,0,0,0,202,1,6,0,16,-1,1,127,False,False
18,pêcheur,PÊC,pêcheuse,False,Fisher,0,0,0,0,22,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,32,0,0,0,0,0,18,0,0,0,203,1,6,0,17,-1,2,127,False,False
19,paladin,PLD,paladin,True,Paladin,4542,66591,66656,66596,1,23,0,0,0,140,100,100,110,95,60,100,100,100,100,100,100,100,100,197,198,199,30,8,1,1,1,0,1,1,0,1,1,1,1,1,1,-1,-1,0,False,True
20,moine,MOI,moine,True,Monk,4543,66597,66657,66602,2,24,0,0,0,110,100,110,100,105,50,90,100,100,100,100,100,100,100,200,201,202,30,9,2,2,4,0,2,2,0,1,21,1,3,3,0,-1,-1,1,False,False
21,guerrier,GUE,guerrière,True,Warrior,4544,66585,66655,66590,3,25,0,0,0,145,100,105,110,95,40,55,100,100,100,100,100,100,100,197,198,4240,30,10,3,3,2,0,3,1,0,1,3,1,1,1,2,-1,-1,2,False,False
22,chevalier dragon,DRG,chevalier dragon,True,Dragoon,4545,66603,66658,66608,4,26,0,0,0,115,100,115,105,100,45,65,100,100,100,100,100,100,100,200,201,4242,30,11,4,4,5,0,4,2,0,1,23,1,3,3,4,-1,-1,3,False,False
23,barde,BRD,barde,True,Bard,4546,66621,66661,66626,5,27,0,0,0,105,100,90,100,115,85,80,100,100,100,100,100,100,100,4238,4239,4244,30,12,5,5,8,0,5,3,0,2,31,1,4,4,3,-1,-1,4,False,False
24,mage blanc,MBL,mage blanc,True,White Mage,4547,66615,66660,66620,6,28,0,0,0,105,100,55,100,105,105,115,100,100,100,100,100,100,100,206,207,208,31,13,6,6,13,0,6,4,0,5,11,1,2,2,6,-1,-1,5,False,True
25,mage noir,MNO,mage noir,True,Black Mage,4548,66609,66659,66614,7,29,0,0,0,105,100,45,100,100,115,75,100,100,100,100,100,100,100,203,204,205,31,14,7,7,10,0,7,3,0,4,41,1,5,5,5,-1,-1,6,False,True
26,arcaniste,ACN,arcaniste,True,Arcanist,0,0,0,0,8,0,0,2142,0,100,100,85,95,95,105,75,100,100,100,100,100,100,100,203,204,4246,31,15,0,0,0,0,26,3,1,4,44,1,5,0,18,7,-1,7,False,False
27,invocateur,INV,invocatrice,True,Summoner,4549,66627,66662,66632,8,30,0,0,0,105,100,90,100,100,115,80,100,100,100,100,100,100,100,203,204,4246,31,16,8,8,11,0,26,3,0,4,43,1,5,5,18,-1,-1,7,False,False
28,érudit,ÉRU,érudite,True,Scholar,4550,66633,66663,66638,9,31,0,0,0,105,100,90,100,100,105,115,100,100,100,100,100,100,100,206,207,4247,31,17,9,9,14,0,26,4,0,5,13,1,2,6,18,-1,-1,7,False,False
29,surineur,SUR,surineuse,True,Rogue,0,0,0,0,10,0,0,0,0,103,100,80,95,100,60,70,100,100,100,100,100,100,100,200,201,4243,30,18,0,0,0,0,29,2,0,2,26,1,4,0,19,8,-1,11,False,False
30,ninja,NIN,ninja,True,Ninja,7886,65748,67115,65770,10,32,0,0,0,108,100,85,100,110,65,75,100,100,100,100,100,100,100,200,201,4243,30,19,10,10,6,0,29,2,0,2,25,1,4,3,19,-1,-1,11,False,False
31,machiniste,MCH,machiniste,True,Machinist,8574,67232,0,0,11,33,0,0,0,105,100,85,100,115,80,85,100,100,100,100,100,100,100,4238,4239,4245,30,20,11,11,9,0,31,3,0,2,33,30,4,4,20,9,-1,-1,False,False
32,chevalier noir,CHN,chevalier noir,True,Dark Knight,8839,67589,0,0,12,34,0,0,0,140,100,105,110,95,60,40,100,100,100,100,100,100,100,197,198,4241,30,21,12,12,3,0,32,1,0,1,5,30,1,1,21,10,-1,-1,False,False
33,astromancien,AST,astromancienne,True,Astrologian,8840,67548,0,0,13,35,0,0,0,105,100,50,100,100,105,115,100,100,100,100,100,100,100,206,207,4248,31,22,13,13,15,0,33,4,0,5,14,30,2,2,22,11,-1,-1,False,False
34,samouraï,SAM,samouraï,True,Samurai,17741,68095,0,0,14,36,0,0,0,109,100,112,100,108,60,50,100,100,100,100,100,100,100,200,201,7861,30,23,14,14,7,0,34,2,0,1,27,50,3,3,23,12,-1,-1,False,False
35,mage rouge,MRG,mage rouge,True,Red Mage,17740,68112,0,0,15,37,0,0,0,105,100,55,100,105,115,110,100,100,100,100,100,100,100,203,204,7862,31,24,15,15,12,0,35,3,0,4,45,50,5,5,24,13,-1,-1,False,False
36,mage bleu,MBU,mage bleu,False,Blue Mage,22747,68728,0,0,0,0,0,0,0,105,100,70,100,110,115,105,100,100,100,100,100,100,100,0,0,0,31,25,16,0,0,0,36,3,0,4,47,1,5,5,25,14,-1,-1,True,False
37,pistosabreur,PSB,pistosabreuse,False,Gunbreaker,25216,68797,0,0,16,38,0,0,0,140,100,100,110,95,60,100,100,100,100,100,100,100,100,197,198,17105,30,26,17,16,21,0,37,1,0,1,6,60,1,1,26,15,-1,-1,False,False
38,danseur,DNS,danseuse,False,Dancer,25217,68785,0,0,17,39,0,0,0,105,100,90,100,115,85,80,100,100,100,100,100,100,100,4238,4239,17106,30,27,18,17,22,0,38,3,0,2,34,60,4,4,27,16,-1,-1,False,False
39,faucheur,FCH,faucheuse,False,Reaper,33354,69609,0,0,18,40,0,0,0,115,100,115,105,100,80,40,100,100,100,100,100,100,100,200,201,24858,30,28,19,18,23,0,39,2,0,1,28,70,3,3,28,17,-1,-1,False,False
40,sage,SAG,sage,False,Sage,33355,69603,0,0,19,41,0,0,0,105,100,60,100,100,115,115,100,100,100,100,100,100,100,206,207,24859,31,29,20,19,24,0,40,4,0,5,15,70,2,6,29,18,-1,-1,False,False
41,rôdeur vipère,VPR,rôdeuse vipère,False,Viper,41456,70384,0,0,20,42,0,0,0,111,100,100,100,110,45,55,100,100,100,100,100,100,100,200,201,34866,30,30,21,20,25,0,41,2,0,2,29,80,4,3,30,19,-1,-1,False,False
42,pictomancien,PIC,pictomancienne,False,Pictomancer,41455,70390,0,0,21,43,0,0,0,105,100,50,100,110,115,80,100,100,100,100,100,100,100,203,204,34867,31,31,22,21,26,0,42,3,0,4,46,80,5,5,31,20,-1,-1,False,False
43,,,,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
44,,,,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
45,,,,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
