#,Masculine,Feminine,Hp,Mp,STR,VIT,DEX,INT,MND,PIE
0,,,0,0,0,0,0,0,0,0
1,Hyurois,Hyuroise,0,0,2,0,-1,3,-1,0
2,Hyurgoth,Hyurgothe,0,0,3,2,0,-2,0,0
3,Sylvestre,Sylvestre,0,0,0,-1,3,2,-1,0
4,Crépusculaire,Crépusculaire,0,0,0,-1,0,3,1,0
5,Peuple des Plaines,Peuple des Plaines,0,0,-1,-1,3,2,0,0
6,Peuple des Dunes,Peuple des Dunes,0,0,-1,-2,1,2,3,0
7,Tribu du Soleil,Tribu du Soleil,0,0,2,0,3,-1,-1,0
8,Tribu de la Lune,Tribu de la Lune,0,0,-1,-2,2,1,3,0
9,Clan de la Mer,Clan de la Mer,0,0,2,3,-1,-2,1,0
10,Clan du Feu,Clan du Feu,0,0,0,3,-2,0,2,0
11,Raen,Raen,0,0,-1,-1,2,0,3,0
12,Xaela,Xaela,0,0,3,2,0,0,-2,0
13,Hélion,Hélionne,0,0,3,3,-3,-3,3,0
14,Éloigné,Éloignée,0,0,3,3,-3,-3,3,0
15,Rava,Rava,0,0,0,-2,3,1,1,0
16,Veena,Veena,0,0,-1,-1,0,3,2,0
