#,Name,BasePlate,Backing,PatternOverlay,PortraitFrame,PlateFrame,Accent,SortKey,TopBorder,BottomBorder
0,Personnalisé,0,0,0,0,0,0,0,0,0
1,Basique,2,11,1,0,0,0,1,1,0
2,Moderne,3,11,2,0,0,0,2,3,3
3,Stylé,9,18,0,0,0,0,3,8,8
4,Pop,4,13,3,0,0,0,4,3,3
5,Tank,5,11,10,24,0,0,5,0,1
6,DPS,6,11,10,25,0,0,7,0,1
7,Soigneur,7,11,10,26,0,0,6,0,1
8,Limsa Lominsa,6,20,4,28,35,42,8,5,5
9,Gridania,10,20,4,28,36,42,9,7,7
10,Ul'dah,9,20,4,28,37,42,10,4,4
11,Aventurier,8,19,9,28,38,49,11,9,9
12,Explorateur,8,14,9,30,38,44,12,10,10
13,Abîme infini de Bahamut (fatal),54,160,0,161,162,163,2500,11,0
14,Fantasmagorie d'Ultima (fatal),55,164,0,165,166,167,2501,12,0
15,Odyssée d'Alexander (fatal),56,168,0,169,170,171,2502,13,0
16,Guerre du chant des dragons (fatal),57,172,0,173,174,175,2503,14,0
17,Donjon à embranchements : Les canalisations sildiennes,3,0,176,177,0,0,2402,0,0
18,Quêtes des Omicrons,58,0,0,0,0,179,2315,15,15
19,Motifs géométriques : cercles,60,0,0,0,191,0,13,0,0
20,Salon de thé,59,0,180,0,0,194,14,0,0
21,Musical,61,0,0,0,0,196,15,16,16
22,Quêtes des Pixies,63,0,0,0,0,257,2311,21,21
23,Quêtes des Qitari,64,0,0,0,0,258,2312,22,22
24,Quêtes des Nains,65,0,0,0,0,259,2313,23,23
25,Quêtes des Arkasodaras,66,0,0,0,0,260,2314,24,24
26,Quêtes des Loporrites,67,0,0,0,0,261,2316,25,25
27,Protocole Oméga (fatal),68,262,0,263,264,265,2504,26,0
28,Eurêka Orthos,69,0,0,296,0,0,2358,0,0
29,Enaretos,70,0,0,297,0,0,2359,0,0
30,Conte des quatre animaux sacrés,71,0,0,0,298,0,2251,0,0
31,Félicité insulaire 1,72,0,0,0,299,301,2340,0,0
32,Félicité insulaire 2,73,0,0,0,300,302,2341,0,0
33,Quêtes des Kojin,74,0,0,0,0,333,2308,27,27
34,Quêtes des Anantas,75,0,0,0,0,334,2309,28,28
35,Quêtes des Namazu,76,0,0,0,0,335,2310,29,29
36,La fin d'une ère,77,354,0,336,337,338,2250,0,0
37,10e anniversaire,78,0,0,0,339,340,3950,30,0
38,Donjon à embranchements : Le mont Rokkon,3,0,341,342,0,0,2403,0,0
39,Grand pêcheur,79,343,0,344,345,346,2346,31,0
40,Pêcheur de légendes,80,347,0,348,349,350,2347,32,0
41,Tuiles essentielles,81,351,0,0,352,353,2350,33,33
42,Quêtes des Vanu Vanu,82,0,0,0,0,388,2305,34,34
43,Quêtes des Gnathes,83,0,0,0,0,389,2306,35,35
44,Quêtes des Mogs,84,0,0,0,0,390,2307,36,36
45,Le Mythe éorzéen : Halone,85,0,0,391,392,393,2252,37,0
46,Le Mythe éorzéen : Menphina,86,0,0,391,392,393,2253,37,0
47,Le Mythe éorzéen : Thaliak,87,0,0,391,392,393,2254,37,0
48,Le Mythe éorzéen : Nymeia,88,0,0,391,392,393,2255,37,0
49,Le Mythe éorzéen : Llymlaen,89,0,0,391,392,393,2256,37,0
50,Le Mythe éorzéen : Oschon,90,0,0,391,392,393,2257,37,0
51,Le Mythe éorzéen : Byregot,91,0,0,391,392,393,2258,37,0
52,Le Mythe éorzéen : Rhalgr,92,0,0,391,392,393,2259,37,0
53,Le Mythe éorzéen : Azeyma,93,0,0,391,392,393,2260,37,0
54,Le Mythe éorzéen : Nald'thal,94,0,0,391,392,393,2261,37,0
55,Le Mythe éorzéen : Nophica,95,0,0,391,392,393,2262,37,0
56,Le Mythe éorzéen : Althyk,96,0,0,391,392,393,2263,37,0
57,La Tarufacture de Tataru,97,0,0,394,395,0,2242,38,0
58,Donjon à embranchements : L'île d'Aloalo,3,0,396,397,0,0,2404,0,0
59,Aventures imaginaires de Khloe,98,398,0,399,400,401,2351,39,0
60,Touché-tourné,99,402,0,403,404,405,2352,40,0
61,Blunderville 1,100,406,0,0,0,0,3951,41,0
62,Blunderville 2,101,407,0,0,0,0,3952,42,0
63,Blunderville 3,102,408,0,0,0,0,3953,43,0
64,Yo-kai Watch,103,409,0,0,410,411,3954,44,0
65,Quêtes des Kobolds,104,0,0,0,0,452,2302,45,45
66,Quêtes des Sylphes,105,0,0,0,0,453,2301,46,46
67,Quêtes des Amalj'aa,106,0,0,0,0,454,2300,47,47
68,Quêtes des Sahuagins,107,0,0,0,0,455,2303,48,48
69,Quêtes des Ixali,108,0,0,0,0,456,2304,49,49
70,Tuliyollal 1,109,457,0,458,459,0,1036,50,0
71,Tuliyollal 2,110,460,0,461,462,0,1037,51,0
72,Solution Neuf 1,111,463,0,464,465,0,1038,52,0
73,Solution Neuf 2,112,466,0,467,468,0,1039,53,0
