#,Item[0],Item[1],BaseExperience,GilMultiplier,GCSealsMultiplier,CurrencyA,CurrencyB,CurrencyC,ItemQuantity[0],ItemQuantity[1],ItemMaxLevelCondition[0],ItemMaxLevelCondition[1]
0,0,0,0,0,0,0,0,0,0,0,0,0
1,43944,43942,500,2500,42000,0,0,0,1,2,6,6
2,0,0,500,1500,0,0,0,0,0,0,0,0
3,0,0,500,1500,0,0,0,0,0,0,0,0
4,0,0,125,375,2650,0,0,0,0,0,0,0
5,0,0,500,1500,0,0,0,0,0,0,0,0
6,0,0,500,900,0,0,0,0,0,0,0,0
7,0,0,500,1500,0,0,0,0,0,0,0,0
8,0,0,500,1500,0,0,0,0,0,0,0,0
9,43944,43942,500,1500,0,0,0,0,1,2,6,6
10,0,0,100,300,0,0,0,0,0,0,0,0
