#,Name,Icon,UnlockLink,TextCommand,ActionTimeline[0],ActionTimeline[1],ActionTimeline[2],ActionTimeline[3],ActionTimeline[4],ActionTimeline[5],ActionTimeline[6],Order,LogMessageTargeted,LogMessageUntargeted,Patch,EmoteCategory,EmoteMode,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,HasCancelEmote,DrawsWeapon,Unknown6
0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,True,True,True,False,False,False,False,False
1,Surprise,246201,0,402,689,0,674,674,674,0,0,5016,100,200,1,1,0,True,True,True,False,True,False,False,False
2,Se fâcher,246202,0,403,690,0,639,639,639,0,0,5010,101,201,1,1,0,True,True,True,False,True,False,False,False
3,Furieux,246203,0,404,691,0,664,664,664,0,0,5003,102,202,1,1,0,True,True,True,False,True,False,False,False
4,Rougir,246204,0,405,693,0,0,0,0,0,0,1006,103,203,1,1,0,False,False,False,False,True,False,False,False
5,S'incliner,246205,0,406,694,0,0,0,0,0,0,1,104,204,1,1,0,False,False,False,False,True,False,False,False
6,Encourager,246206,0,407,695,0,675,675,675,0,0,2004,105,205,1,1,0,True,True,True,False,True,False,False,False
7,Applaudir,246207,0,408,696,0,656,645,676,0,0,2002,106,206,1,1,0,True,True,True,False,True,False,False,False
8,Inviter,246208,0,409,697,0,0,0,0,0,0,5101,107,207,1,1,0,False,False,False,False,True,False,False,False
9,Consoler,246209,0,410,698,0,677,677,677,0,0,1007,108,208,1,1,0,True,True,True,False,True,False,False,False
10,Pleurer,246210,0,411,699,0,678,678,678,0,0,5002,109,209,1,1,0,True,True,True,False,True,False,False,False
11,Danser,246211,0,412,700,0,0,0,0,0,0,1040,110,210,1,1,0,False,False,False,False,True,False,False,False
12,Questionner,246212,0,413,702,0,0,0,0,0,0,5018,111,211,1,1,0,False,False,False,False,True,False,False,False
13,Somnoler,246213,0,414,703,0,657,646,679,0,0,5107,112,212,1,1,0,True,True,True,False,True,False,False,False
14,Dépit,246214,0,415,704,0,0,0,0,0,0,5004,113,213,1,1,0,False,False,False,False,True,False,False,False
15,Au revoir,246215,0,416,705,0,680,680,680,0,0,6,114,214,1,1,0,True,True,True,False,True,False,False,False
16,Signe de la main,246216,0,417,706,0,663,652,681,0,0,7,115,215,1,1,0,True,True,True,False,True,False,False,False
17,Consterner,246217,0,418,707,0,660,649,682,0,0,5012,116,216,1,1,0,True,True,True,False,True,False,False,False
18,Se réjouir,246218,0,419,708,0,683,683,683,0,0,1002,117,217,1,1,0,True,True,True,False,True,False,False,False
19,S'agenouiller,246219,0,420,710,0,0,0,0,0,0,8,118,218,1,1,0,False,False,False,False,True,False,False,False
20,Rire,246220,0,421,711,0,662,651,685,0,0,1000,119,219,1,1,0,True,True,True,False,True,False,False,False
21,S'esclaffer,246221,0,422,712,0,638,635,686,0,0,1001,120,220,1,1,0,True,True,True,False,True,False,False,False
22,Scruter,246222,0,423,713,0,665,665,665,0,0,5111,121,221,1,1,0,True,True,True,False,True,False,False,False
23,Moi,246223,0,424,715,0,745,745,745,0,0,5113,122,222,1,1,0,True,True,True,False,True,False,False,False
24,Non,246224,0,425,716,0,666,666,666,0,0,5000,123,223,1,1,0,True,True,True,False,True,False,False,False
25,Refuser,246225,0,426,717,0,746,746,746,0,0,5001,124,224,1,1,0,True,True,True,False,True,False,False,False
26,Paniquer,246226,0,427,719,0,0,0,0,0,0,5006,125,225,1,1,0,False,False,False,False,True,False,False,False
27,Montrer,246227,0,428,720,0,687,687,687,0,0,5108,126,226,1,1,0,True,True,True,False,True,False,False,False
28,Toucher,246228,0,429,721,0,748,748,748,0,3185,5109,127,227,1,1,0,True,True,True,False,True,False,False,False
29,Féliciter,246229,0,430,723,0,749,749,749,0,0,2003,128,228,1,1,0,True,True,True,False,True,False,False,False
30,Se motiver,246230,0,431,724,0,0,0,0,0,0,1008,129,229,1,1,0,False,False,False,False,True,False,False,False
31,Saluer,246231,0,432,725,0,750,750,750,0,0,9,130,230,1,1,0,True,True,True,False,True,False,False,False
32,Choc,246232,0,433,729,0,751,751,751,0,0,5013,131,231,1,1,0,True,True,True,False,True,False,False,False
33,Hausser les épaules,246233,0,434,730,0,752,752,752,0,0,5014,132,232,1,1,0,True,True,True,False,True,False,False,False
34,Stimuler,246234,0,435,731,0,0,0,0,0,0,1004,133,233,1,1,0,False,False,False,False,True,False,False,False
35,Apaiser,246235,0,436,732,0,753,753,753,0,0,1005,134,234,1,1,0,True,True,True,False,True,False,False,False
36,Tituber,246236,0,437,733,0,0,0,0,0,0,5015,135,235,1,1,0,False,False,False,False,True,False,False,False
37,S'étirer,246237,0,438,734,0,588,588,588,0,0,5110,136,236,1,1,0,True,True,True,False,True,False,False,False
38,Bouder,246238,0,439,735,0,0,0,0,0,0,5009,137,237,1,1,0,False,False,False,False,True,False,False,False
39,Penser,246239,0,440,736,0,589,589,589,0,0,5105,138,238,1,1,0,True,True,True,False,True,False,False,False
40,Déception,246240,0,441,737,0,670,590,590,0,0,5007,139,239,1,1,0,True,True,True,False,True,False,False,False
41,Accueillir,246241,0,442,738,0,591,591,591,0,0,4,140,240,1,1,0,True,True,True,False,True,False,False,False
42,Oui,246242,0,443,739,0,671,671,671,0,0,2000,141,241,1,1,0,True,True,True,False,True,False,False,False
43,Accord,246243,0,444,740,0,592,592,592,0,0,2001,142,242,1,1,0,True,True,True,False,True,False,False,False
44,Se regarder,246244,0,445,714,0,744,744,744,0,0,5106,143,243,1,1,0,True,True,True,False,True,False,False,False
45,Poser,246245,0,446,722,0,0,0,0,0,0,5050,144,244,1,1,0,False,False,False,False,True,False,False,False
46,Envoyer un baiser,246249,0,447,692,0,0,0,0,0,0,1020,148,248,1,1,0,False,False,False,False,True,False,False,False
47,Se prosterner,246251,0,448,701,0,0,0,0,0,0,5019,150,250,1,1,0,False,False,False,False,True,False,False,False
