#,Unknown0,Text,Unknown2,Unknown3,Unknown4
0.0,0,0,0,0,False
1.0,21700,6,1,0,False
1.1,21701,6,1,1,False
1.2,21702,6,1,2,False
1.3,21703,6,1,3,False
1.4,21704,6,1,4,False
1.5,21707,6,1,5,False
2.0,21500,6,1,0,False
2.1,21501,6,1,1,False
2.2,21502,6,1,2,False
2.3,21503,6,1,3,False
2.4,21504,6,1,4,False
2.5,21505,6,1,5,False
3.0,21800,6,1,0,False
3.1,21801,6,1,1,False
3.2,21802,6,1,2,False
3.3,21803,6,1,3,False
3.4,21804,6,1,4,False
3.5,21808,6,1,5,False
4.0,20400,6,1,0,False
4.1,20401,6,1,1,False
4.2,20402,6,1,2,False
4.3,20403,6,1,3,False
4.4,20404,6,1,4,False
4.5,20414,6,1,5,False
5.0,21400,6,1,0,False
5.1,21401,6,1,1,False
5.2,21402,6,1,2,False
5.3,21403,6,1,3,False
5.4,21404,6,1,4,False
5.5,21419,6,1,5,False
6.0,22100,6,1,0,False
6.1,22101,6,1,1,False
6.2,22102,6,1,2,False
6.3,22103,6,1,3,False
6.4,22104,6,1,4,False
6.5,22105,6,1,5,False
7.0,23200,6,1,0,False
8.0,22209,6,1,0,False
9.0,22814,6,1,0,False
10.0,23111,6,1,0,False
11.0,7,6,6,0,False
11.1,23500,6,1,0,True
11.2,23501,6,1,1,True
11.3,23502,6,1,2,True
11.4,23503,6,1,3,True
11.5,23504,6,1,4,True
11.6,23505,6,1,5,True
12.0,23941,2,6,0,False
13.0,24400,6,1,0,False
14.0,24100,6,1,0,False
14.1,24101,6,1,1,False
14.2,24102,6,1,2,False
14.3,24103,6,1,3,False
14.4,24104,6,1,4,False
14.5,24105,6,1,5,False
15.0,24500,6,1,0,False
16.0,24600,6,1,0,False
17.0,24826,6,1,0,False
18.0,25000,6,1,0,False
18.1,25001,6,1,1,False
18.2,25002,6,1,2,False
18.3,25003,6,1,3,False
18.4,25004,6,1,4,False
18.5,25005,6,1,5,False
19.0,7,6,6,0,False
19.1,25500,6,1,0,True
19.2,25501,6,1,1,True
19.3,25502,6,1,2,True
19.4,25503,6,1,3,True
19.5,25504,6,1,4,True
19.6,25505,6,1,5,True
20.0,25900,6,1,0,False
20.1,25901,6,1,1,False
20.2,25902,6,1,2,False
20.3,25903,6,1,3,False
20.4,25904,6,1,4,False
20.5,25905,6,1,5,False
21.0,2400,6,1,0,False
21.1,2401,6,1,1,False
21.2,2402,6,1,2,False
21.3,2403,6,1,3,False
21.4,2404,6,1,4,False
21.5,2405,6,1,5,False
21.6,2406,6,1,6,True
21.7,2407,6,1,7,True
21.8,2406,6,1,8,True
22.0,2401,6,1,0,False
22.1,2402,6,1,1,False
22.2,2403,6,1,2,False
22.3,2404,6,1,3,False
22.4,2405,6,1,4,False
22.5,2406,6,1,5,False
23.0,26100,6,1,0,False
24.0,26400,6,1,0,False
25.0,26013,6,1,0,False
26.0,25600,6,1,0,True
26.1,25601,6,1,1,True
27.0,7,6,6,0,False
27.1,26700,6,1,0,True
27.2,26701,6,1,1,True
27.3,26702,6,1,2,True
27.4,26703,6,1,3,True
27.5,26704,6,1,4,True
27.6,26705,6,1,5,True
28.0,25100,6,1,0,False
28.1,25101,6,1,1,False
28.2,25102,6,1,2,False
28.3,25103,6,1,3,False
28.4,25104,6,1,4,False
28.5,25105,6,1,5,False
29.0,27000,6,1,0,False
29.1,27001,6,1,1,False
29.2,27002,6,1,2,False
29.3,27003,6,1,3,False
29.4,27004,6,1,4,False
29.5,27005,6,1,5,False
30.0,30300,6,1,0,False
30.1,30301,6,1,1,False
30.2,30302,6,1,2,False
30.3,30303,6,1,3,False
30.4,30304,6,1,4,False
30.5,30305,6,1,5,False
31.0,30100,6,1,0,False
31.1,30101,6,1,1,False
31.2,30102,6,1,2,False
31.3,30103,6,1,3,False
31.4,30104,6,1,4,False
31.5,30105,6,1,5,False
32.0,30500,6,1,0,False
32.1,30501,6,1,1,False
32.2,30502,6,1,2,False
32.3,30503,6,1,3,False
32.4,30504,6,1,4,False
32.5,30505,6,1,5,False
33.0,30200,6,1,0,False
33.1,30201,6,1,1,False
33.2,30202,6,1,2,False
33.3,30203,6,1,3,False
33.4,30204,6,1,4,False
33.5,30205,6,1,5,False
34.0,30800,6,1,0,False
34.1,30801,6,1,1,False
34.2,30802,6,1,2,False
34.3,30803,6,1,3,False
34.4,30804,6,1,4,False
34.5,30805,6,1,5,False
35.0,27100,6,1,0,False
35.1,27101,6,1,1,False
35.2,27102,6,1,2,False
35.3,27103,6,1,3,False
35.4,27104,6,1,4,False
35.5,27105,6,1,5,False
36.0,30600,6,1,0,False
36.1,30601,6,1,1,False
36.2,30602,6,1,2,False
36.3,30603,6,1,3,False
36.4,30604,6,1,4,False
36.5,30605,6,1,5,False
37.0,0,4,0,1,True
37.1,30721,3,100,1,True
37.2,0,4,0,3,True
37.3,30725,3,100,3,True
37.4,0,4,0,5,True
37.5,30736,3,34,5,True
37.6,30713,2,0,0,False
37.7,30700,6,1,0,False
37.8,30701,6,1,1,False
37.9,30702,6,1,2,False
37.10,30703,6,1,3,False
37.11,30704,6,1,4,False
37.12,30705,6,1,5,False
38.0,32100,6,1,0,False
39.0,30902,6,1,0,False
40.0,32200,6,1,0,False
41.0,32500,6,1,0,False
42.0,31801,1,0,0,True
42.1,31815,1,0,1,True
42.2,31821,6,1,2,True
42.3,31822,6,1,2,True
42.4,31823,6,1,2,True
42.5,31818,1,0,5,True
43.0,32621,6,100,1,True
43.1,32622,6,100,2,True
44.0,4400,6,1,0,False
44.1,4401,6,1,1,False
44.2,4402,6,1,2,False
45.0,32800,6,1,0,False
45.1,32801,6,1,1,False
45.2,32802,6,1,2,False
45.3,32803,6,1,3,False
45.4,32804,6,1,4,False
45.5,32805,6,1,5,False
46.0,33300,6,1,0,False
46.1,33301,6,1,1,False
46.2,33302,6,1,2,False
46.3,33303,6,1,3,False
46.4,33304,6,1,4,False
46.5,33305,6,1,5,False
47.0,33500,6,1,0,False
47.1,33501,6,1,1,False
47.2,33502,6,1,2,False
47.3,33503,6,1,3,False
47.4,33504,6,1,4,False
47.5,33505,6,1,5,False
48.0,7,6,6,0,False
48.1,33000,6,1,0,True
48.2,33001,6,1,1,True
48.3,33002,6,1,2,True
48.4,33003,6,1,3,True
48.5,33004,6,1,4,True
48.6,33005,6,1,5,True
49.0,32910,6,1,0,False
49.1,32911,6,1,1,False
49.2,32912,6,1,2,False
49.3,32913,6,1,3,False
49.4,32914,6,1,4,False
49.5,32915,6,1,5,False
50.0,33900,6,1,0,False
50.1,33901,6,1,1,False
50.2,33902,6,1,2,False
50.3,33903,6,1,3,False
50.4,33904,6,1,4,False
50.5,33905,6,1,5,False
51.0,34900,6,1,0,False
52.0,34612,6,1,0,False
53.0,35033,6,1,0,False
54.0,34700,6,1,0,False
55.0,34267,1,0,0,False
56.0,34268,6,1,0,False
56.1,34269,6,1,1,False
56.2,34270,6,1,2,False
56.3,34271,6,1,3,False
56.4,34272,6,1,4,False
57.0,7,8,8,0,False
57.1,41448,6,1,0,True
57.2,41449,6,1,1,True
57.3,41450,6,1,2,True
57.4,41451,6,1,3,True
57.5,41452,6,1,4,True
57.6,41453,6,1,5,True
57.7,41454,6,1,6,True
57.8,41455,6,1,7,True
58.0,35221,6,1,0,False
58.1,35222,6,1,1,False
58.2,35223,6,1,2,False
58.3,35224,6,1,3,False
58.4,35225,6,1,4,False
58.5,35226,6,1,5,False
59.0,7,8,6,0,False
59.1,35120,6,1,0,True
59.2,35121,6,1,1,True
59.3,35122,6,1,2,True
59.4,35123,6,1,3,True
59.5,35124,6,1,4,True
59.6,35125,6,1,5,True
60.0,36223,6,1,0,False
61.0,37100,6,1,0,False
62.0,37000,6,1,0,False
63.0,36900,6,1,0,False
64.0,36600,6,1,0,False
64.1,36601,6,1,1,False
64.2,36602,6,1,2,False
64.3,36603,6,1,3,False
64.4,36604,6,1,4,False
64.5,36605,6,1,5,False
65.0,36300,1,0,0,False
66.0,36301,6,1,0,False
66.1,36302,6,1,1,False
66.2,36303,6,1,2,False
66.3,36304,6,1,3,False
66.4,36305,6,1,4,False
67.0,37800,6,1,0,False
67.1,37801,6,1,1,False
67.2,37802,6,1,2,False
67.3,37803,6,1,3,False
67.4,37804,6,1,4,False
67.5,37805,6,1,5,False
68.0,7,8,6,0,False
68.1,34300,6,1,0,True
68.2,34301,6,1,1,True
68.3,34302,6,1,2,True
68.4,34303,6,1,3,True
68.5,34304,6,1,4,True
68.6,34305,6,1,5,True
69.0,37400,1,0,0,False
70.0,37401,6,1,0,False
70.1,37402,6,1,1,False
70.2,37403,6,1,2,False
70.3,37404,6,1,3,False
70.4,37405,6,1,4,False
71.0,37900,6,1,0,False
72.0,38100,6,1,0,False
72.1,38101,6,1,1,False
72.2,38102,6,1,2,False
72.3,38103,6,1,3,False
72.4,38104,6,1,4,False
72.5,38105,6,1,5,False
73.0,38200,6,1,0,False
73.1,38201,6,1,1,False
73.2,38202,6,1,2,False
73.3,38203,6,1,3,False
73.4,38204,6,1,4,False
73.5,38205,6,1,5,False
73.6,38206,6,1,6,False
74.0,38400,6,1,0,False
74.1,38401,6,1,1,False
74.2,38402,6,1,2,False
74.3,38403,6,1,3,False
74.4,38404,6,1,4,False
74.5,38405,6,1,5,False
75.0,38600,6,1,0,False
75.1,38601,6,1,1,False
75.2,38602,6,1,2,False
75.3,38603,6,1,3,False
75.4,38604,6,1,4,False
75.5,38605,6,1,5,False
76.0,38800,6,1,0,False
76.1,38801,6,1,1,False
76.2,38802,6,1,2,False
76.3,38803,6,1,3,False
76.4,38804,6,1,4,False
76.5,38805,6,1,5,False
77.0,38700,6,1,0,False
77.1,38701,6,1,1,False
77.2,38702,6,1,2,False
77.3,38703,6,1,3,False
77.4,38704,6,1,4,False
77.5,38705,6,1,5,False
78.0,39400,6,1,0,False
78.1,39401,6,1,1,False
78.2,39402,6,1,2,False
78.3,39403,6,1,3,False
78.4,39404,6,1,4,False
78.5,39405,6,1,5,False
79.0,38300,6,1,0,False
79.1,38301,6,1,1,False
79.2,38302,6,1,2,False
79.3,38303,6,1,3,False
79.4,38304,6,1,4,False
79.5,38305,6,1,5,False
80.0,39501,1,0,1,True
80.1,39502,6,1,2,True
80.2,39501,1,0,3,True
80.3,39503,6,1,4,True
80.4,39504,6,1,4,True
